label,density,success,cost,route_completion,collision,out_of_road,lane_deviation,ttc_risk,status,paper_role,claim_note,source
no_action_guard,0.0,0.02666666666666667,0.9733333333333333,0.2538295089003128,0.0,0.9733333333333333,0.3270800982011668,0.0,accepted,key mechanism ablation,去掉 action guard 后 held-out 彻底失败，是最强必要性证据。,outputs/tuned_ablation_no_action_guard_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
no_action_guard,0.08,0.0,1.0,0.20152717800816802,0.2933333333333334,0.7066666666666667,0.31626933643272914,0.11988216056767793,accepted,key mechanism ablation,去掉 action guard 后 held-out 彻底失败，是最强必要性证据。,outputs/tuned_ablation_no_action_guard_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
no_action_guard,0.15,0.0,1.0,0.17240217399724542,0.5133333333333333,0.48666666666666664,0.2806960288043037,0.19533471412479608,accepted,key mechanism ablation,去掉 action guard 后 held-out 彻底失败，是最强必要性证据。,outputs/tuned_ablation_no_action_guard_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_ttc,0.0,0.9866666666666667,0.0,0.9910384625177334,0.0,0.0,0.1292961809700606,0.0,accepted,reward component ablation,去掉 TTC 高密度更差，支持 TTC 是 refinement。,outputs/tuned_ablation_wo_ttc_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_ttc,0.08,0.9,0.06666666666666667,0.9502187497792272,0.06666666666666667,0.0,0.1410109094099237,0.00350420329299786,accepted,reward component ablation,去掉 TTC 高密度更差，支持 TTC 是 refinement。,outputs/tuned_ablation_wo_ttc_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_ttc,0.15,0.54,0.36000000000000004,0.8229038416289298,0.36000000000000004,0.0,0.1741564455591258,0.013732581454007575,accepted,reward component ablation,去掉 TTC 高密度更差，支持 TTC 是 refinement。,outputs/tuned_ablation_wo_ttc_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_lane,0.0,0.96,0.0,0.9903037864282057,0.0,0.0,0.349049127275667,0.0,accepted,reward component ablation,去掉 lane reward 不必然崩，但 lane deviation 明显升高。,outputs/tuned_ablation_wo_lane_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_lane,0.08,0.9133333333333334,0.06,0.9692962081122408,0.06,0.0,0.3633405179128959,0.002339137825358956,accepted,reward component ablation,去掉 lane reward 不必然崩，但 lane deviation 明显升高。,outputs/tuned_ablation_wo_lane_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_lane,0.15,0.6066666666666666,0.28,0.8438792274583347,0.28,0.0,0.3616515198199242,0.014137449987069459,accepted,reward component ablation,去掉 lane reward 不必然崩，但 lane deviation 明显升高。,outputs/tuned_ablation_wo_lane_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_smooth,0.0,0.9733333333333333,0.0,0.9893499221754488,0.0,0.0,0.17781528837022523,0.0,accepted,reward component ablation,smooth/accel 是稳定性项，种子方差较高。,outputs/tuned_ablation_wo_smooth_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_smooth,0.08,0.82,0.14666666666666667,0.918392603013372,0.14,0.006666666666666667,0.19458995227331535,0.004620920975982423,accepted,reward component ablation,smooth/accel 是稳定性项，种子方差较高。,outputs/tuned_ablation_wo_smooth_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
wo_smooth,0.15,0.5666666666666668,0.2866666666666666,0.821030144373819,0.28,0.006666666666666667,0.2445272598936176,0.017354671684004664,accepted,reward component ablation,smooth/accel 是稳定性项，种子方差较高。,outputs/tuned_ablation_wo_smooth_nenv16_seed0_seed1_seed2_aggregate/mean_by_density.csv
guard_only,0.0,0.9733333333333333,0.0,0.9902073727309076,0.0,0.0,0.061805349798109116,0.0,accepted,positive mechanism control,保留 action guard 的强阳性机制对照。,outputs/tuned_ablation_guard_only_nenv16_aggregate/mean_by_density.csv
guard_only,0.08,0.8733333333333334,0.09333333333333334,0.9404938454525765,0.09333333333333334,0.0,0.0791711927576199,0.0037571173315305508,accepted,positive mechanism control,保留 action guard 的强阳性机制对照。,outputs/tuned_ablation_guard_only_nenv16_aggregate/mean_by_density.csv
guard_only,0.15,0.6333333333333333,0.20666666666666667,0.867815496168541,0.19999999999999998,0.006666666666666667,0.13634125812863734,0.01627759066310022,accepted,positive mechanism control,保留 action guard 的强阳性机制对照。,outputs/tuned_ablation_guard_only_nenv16_aggregate/mean_by_density.csv
