variant,density,n_seeds,success_mean,success_std,success_min,success_max,cost_mean,cost_std,cost_min,cost_max,route_completion_mean,route_completion_std,route_completion_min,route_completion_max,collision_mean,collision_std,collision_min,collision_max,out_of_road_mean,out_of_road_std,out_of_road_min,out_of_road_max,mean_speed_kmh_mean,mean_speed_kmh_std,mean_speed_kmh_min,mean_speed_kmh_max
full_proposed_candidate,0.2,3,0.38,0.034641016151377546,0.36,0.42,0.4,0.1,0.3,0.5,0.7443113213329334,0.022186136130902298,0.7275425233187566,0.7694686209922267,0.38,0.0721110255092798,0.3,0.44,0.02,0.034641016151377546,0.0,0.06,13.905461471212735,0.5874080762365059,13.397211347307273,14.548571888533036
full_proposed_candidate,0.25,3,0.20666666666666667,0.061101009266077866,0.14,0.26,0.5866666666666667,0.09451631252505219,0.48,0.66,0.5869420460229963,0.0709375460394801,0.5106914448731457,0.6509810457996597,0.56,0.09165151389911683,0.48,0.66,0.02666666666666667,0.046188021535170064,0.0,0.08,12.150922530140303,0.7639674342035448,11.288206895878478,12.74177185589694
guard_only,0.2,3,0.41333333333333333,0.08082903768654762,0.32,0.46,0.4066666666666667,0.05033222956847168,0.36,0.46,0.7334469886454233,0.02318496101471863,0.7110483666722739,0.7573454617119143,0.38,0.020000000000000018,0.36,0.4,0.02666666666666667,0.046188021535170064,0.0,0.08,13.8046004769249,0.38309725599007677,13.407064168296515,14.171407823211425
guard_only,0.25,3,0.26666666666666666,0.011547005383792526,0.26,0.28,0.4866666666666667,0.11015141094572208,0.36,0.56,0.658403345698857,0.02008565883356139,0.6352129080828421,0.6702924916432723,0.46,0.10583005244258362,0.34,0.54,0.026666666666666665,0.030550504633038933,0.0,0.06,12.144666061473426,0.517138351023622,11.547528064507562,12.44455169738835
proposed_gated_risk,0.2,3,0.44666666666666666,0.05033222956847166,0.4,0.5,0.3666666666666667,0.023094010767585018,0.34,0.38,0.7658929663491492,0.014648451248908255,0.7527329111875712,0.7816755389637758,0.3666666666666667,0.023094010767585018,0.34,0.38,0.0,0.0,0.0,0.0,14.467252313166911,0.2622944032491867,14.199582756091504,14.723818954467054
proposed_gated_risk,0.25,3,0.22,0.01999999999999999,0.2,0.24,0.5266666666666666,0.08082903768654762,0.48,0.62,0.6282889355080004,0.018875599716422362,0.6122575417057979,0.6490926765998147,0.5266666666666666,0.08082903768654762,0.48,0.62,0.0,0.0,0.0,0.0,12.5925113226172,0.448992498394547,12.17015487077282,13.064084506830918
retune_proposed_ttc4_cost10_lane1,0.2,3,0.45333333333333337,0.05033222956847166,0.4,0.5,0.38,0.06928203230275509,0.34,0.46,0.7529680841143321,0.015891774052543217,0.7379179124056056,0.7695853496408351,0.34,0.01999999999999999,0.32,0.36,0.04,0.052915026221291815,0.0,0.1,14.355979034017707,0.09947312635887594,14.257136873464747,14.456071342230029
retune_proposed_ttc4_cost10_lane1,0.25,3,0.17333333333333334,0.0808290376865476,0.08,0.22,0.6866666666666666,0.011547005383792462,0.68,0.7,0.5707261714463111,0.039504884975159665,0.5262214713304142,0.6016465482460365,0.6466666666666667,0.05773502691896263,0.58,0.68,0.04,0.06928203230275509,0.0,0.12,12.848026496397503,0.4354725833107276,12.583924585722727,13.350649990381198
risk,0.2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009206070298710255,0.0003119287882520721,0.008988201496812905,0.009563398455237177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013543700026894671,3.017961015506422e-05,0.013508944533665477,0.013563280189661638
risk,0.25,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00898959963310597,0.0002237459871427117,0.00873124135715032,0.0091194982822965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013664889233125387,0.00012013630438538605,0.01355232776339753,0.013791385125048933
shield_only,0.2,3,0.48,0.01999999999999999,0.46,0.5,0.36,0.04000000000000001,0.32,0.4,0.7775696482189013,0.009107139194971315,0.7719230165929207,0.7880758442064706,0.34,0.01999999999999999,0.32,0.36,0.02,0.034641016151377546,0.0,0.06,14.302851999960195,0.34428476609859715,13.993753475767694,14.673908945347545
shield_only,0.25,3,0.19333333333333333,0.05033222956847166,0.14,0.24,0.5866666666666667,0.11015141094572203,0.48,0.7,0.6092649382729954,0.030336306208094913,0.5760750603516367,0.6355611903935143,0.5333333333333333,0.08082903768654759,0.44,0.58,0.05333333333333333,0.061101009266077866,0.0,0.12,11.869576039182222,0.6480269712484911,11.457372795538944,12.61651527056237
