variant,algo,seed,density,episode,reward,shaped_reward,success,collision,out_of_road,cost,mean_speed_kmh,steering_variation,ttc_risk
baseline,ppo,0,0.05,0,56.91786427445936,56.91786427445936,0.0,0.0,1.0,1.0,34.397134368643314,0.023352593028297026,0.0
baseline,ppo,0,0.05,1,13.198216374560715,13.198216374560715,0.0,0.0,1.0,1.0,19.62405982463028,0.016198839966414705,0.0
baseline,ppo,0,0.05,2,216.70109990099542,216.70109990099542,0.0,1.0,0.0,1.0,57.720328545617924,0.02544937066181942,0.09127236511531397
baseline,ppo,0,0.05,3,160.6462438256555,160.6462438256555,0.0,0.0,1.0,1.0,53.75851512709767,0.010802148956668759,0.0
baseline,ppo,0,0.05,4,203.31109559241855,203.31109559241855,0.0,1.0,0.0,1.0,57.51849245618463,0.033756757868104614,0.12880259909563194
baseline,ppo,0,0.05,5,92.32452150198162,92.32452150198162,0.0,1.0,0.0,1.0,43.83314035136685,0.021456165693234653,0.18475564171591785
baseline,ppo,0,0.05,6,62.8674338030077,62.8674338030077,0.0,1.0,0.0,1.0,36.30500356178464,0.0313254528776256,0.19055797485468867
baseline,ppo,0,0.05,7,50.5623424638653,50.5623424638653,0.0,1.0,0.0,1.0,32.188583154529475,0.013150823768228292,0.21457457558735157
baseline,ppo,0,0.05,8,44.02768150007783,44.02768150007783,0.0,0.0,1.0,1.0,31.155524767274187,0.01740983542825641,0.0
baseline,ppo,0,0.05,9,19.39390469414882,19.39390469414882,0.0,0.0,1.0,1.0,22.379314378809372,0.008943964023052193,0.0
baseline,ppo,0,0.15,0,58.49528697198383,58.49528697198383,0.0,0.0,1.0,1.0,34.77334512024445,0.02957964331300846,0.21462658326953687
baseline,ppo,0,0.15,1,29.710037459067067,29.710037459067067,0.0,0.0,1.0,1.0,26.521128694440307,0.015084913266556603,0.09390467055944811
baseline,ppo,0,0.15,2,100.12185006487613,100.12185006487613,0.0,1.0,0.0,1.0,44.35503584176753,0.02139714968335979,0.18611079850576534
baseline,ppo,0,0.15,3,71.74465425545769,71.74465425545769,0.0,0.0,1.0,1.0,39.290260217451454,0.023635399645902742,0.20700175237637897
baseline,ppo,0,0.15,4,130.08590875245704,130.08590875245704,0.0,1.0,0.0,1.0,49.86299994044044,0.028582934949857492,0.22738787511246392
baseline,ppo,0,0.15,5,99.40213115953459,99.40213115953459,0.0,1.0,0.0,1.0,43.99575883667966,0.03797343880111395,0.08656631444593585
baseline,ppo,0,0.15,6,69.30022929209703,69.30022929209703,0.0,1.0,0.0,1.0,37.8166289012318,0.025453489805970873,0.1680756268278853
baseline,ppo,0,0.15,7,150.58539083610611,150.58539083610611,0.0,1.0,0.0,1.0,50.28432696278938,0.04498378653925928,0.22098060277502296
baseline,ppo,0,0.15,8,44.027685478137826,44.027685478137826,0.0,0.0,1.0,1.0,31.155527474343835,0.017409835909974986,0.0
baseline,ppo,0,0.15,9,18.17983001256857,18.17983001256857,0.0,0.0,1.0,1.0,21.84632359013309,0.008978840638883412,0.0008083292485912136
baseline,ppo,0,0.3,0,46.0360180503445,46.0360180503445,0.0,0.0,1.0,1.0,31.59703043348133,0.030656492337584496,0.20964325817974458
baseline,ppo,0,0.3,1,13.198196115761977,13.198196115761977,0.0,0.0,1.0,1.0,19.624122768799783,0.016313419134045642,0.0
baseline,ppo,0,0.3,2,51.712117608785704,51.712117608785704,0.0,1.0,0.0,1.0,33.03211806060576,0.03404133972371855,0.23188848547054802
baseline,ppo,0,0.3,3,76.21965962595206,76.21965962595206,0.0,0.0,1.0,1.0,40.38877897647469,0.021012307348826975,0.18659935637300296
baseline,ppo,0,0.3,4,107.74705573422314,107.74705573422314,0.0,1.0,0.0,1.0,44.63197169498808,0.05398977562888629,0.26957499572760313
baseline,ppo,0,0.3,5,38.179349447638955,38.179349447638955,0.0,1.0,0.0,1.0,29.515591059462576,0.030774082626319595,0.24444733873732793
baseline,ppo,0,0.3,6,49.94881230563013,49.94881230563013,0.0,0.0,1.0,1.0,33.49218259495344,0.021376630974312624,0.012088970340457854
baseline,ppo,0,0.3,7,38.66079686364855,38.66079686364855,0.0,1.0,0.0,1.0,28.186522938299216,0.014315751930033522,0.23892712537399102
baseline,ppo,0,0.3,8,58.352955742163125,58.352955742163125,0.0,1.0,0.0,1.0,34.494630611491345,0.027223146266557953,0.1800883058721031
baseline,ppo,0,0.3,9,21.89792797687895,21.89792797687895,0.0,0.0,1.0,1.0,23.4287462021191,0.015479680518944596,0.07066101331068209
