variant,algo,seed,density,episode,reward,shaped_reward,success,collision,out_of_road,cost,mean_speed_kmh,steering_variation,ttc_risk
proposed,ppo,0,0.05,0,103.17703856699045,79.32544568486732,0.0,1.0,0.0,1.0,44.35166563885391,0.012662973169280195,0.13799233087704893
proposed,ppo,0,0.05,1,100.8392138819145,94.13272581035231,0.0,0.0,1.0,1.0,44.33796265786963,0.010542479668592298,0.0
proposed,ppo,0,0.05,2,72.53212643049343,60.84555509939926,0.0,0.0,1.0,1.0,38.76932127884784,0.02188713808084698,0.09681245167580023
proposed,ppo,0,0.05,3,112.05042781910628,101.90999026724641,0.0,0.0,1.0,1.0,47.48586370617807,0.005927714902844111,0.0
proposed,ppo,0,0.05,4,179.02267328765237,165.58071533917777,0.0,0.0,1.0,1.0,55.65327575817667,0.016279134969028015,0.03409089157177795
proposed,ppo,0,0.05,5,75.06143089866974,58.29798821841965,0.0,1.0,0.0,1.0,40.01767912623344,0.01147804986168113,0.17508428504086185
proposed,ppo,0,0.05,6,11.131655966036735,9.171794204746618,0.0,0.0,1.0,1.0,18.817184046303865,0.012754984623329206,0.0
proposed,ppo,0,0.05,7,71.26891913170205,58.236675148318426,0.0,0.0,1.0,1.0,37.48769756734087,0.011254124875130082,0.15040417539290254
proposed,ppo,0,0.05,8,68.06896625357311,62.953435099233175,0.0,0.0,1.0,1.0,37.15988701938915,0.009984911816247123,0.0
proposed,ppo,0,0.05,9,104.48241995799137,98.15158040643573,0.0,0.0,1.0,1.0,45.0852010384908,0.010891832729758716,0.0
proposed,ppo,0,0.15,0,45.35320244021613,27.478241694978877,0.0,1.0,0.0,1.0,30.958737449397898,0.013455092528108822,0.19059135288702111
proposed,ppo,0,0.15,1,65.35376231674638,50.835256384556594,0.0,1.0,0.0,1.0,36.653983440059285,0.011359526364105766,0.17064621717668682
proposed,ppo,0,0.15,2,47.68725649414623,32.6871340929922,0.0,1.0,0.0,1.0,31.883748404197473,0.013401458971202374,0.2124807845963609
proposed,ppo,0,0.15,3,77.10897900485934,57.32838187800979,0.0,1.0,0.0,1.0,40.223750311844675,0.005805199656456913,0.1817723716958061
proposed,ppo,0,0.15,4,88.30735693753377,68.20521995807833,0.0,1.0,0.0,1.0,42.958283756788965,0.012561745404337462,0.1936678240828683
proposed,ppo,0,0.15,5,111.2491965066865,86.75539345824264,0.0,0.0,1.0,1.0,47.54941504837507,0.028003343002637848,0.24035112592244776
proposed,ppo,0,0.15,6,11.131655989393323,9.171794227581673,0.0,0.0,1.0,1.0,18.81718471568904,0.012754985018435753,0.0
proposed,ppo,0,0.15,7,47.171231932760364,33.10271883076074,0.0,1.0,0.0,1.0,31.23298903326978,0.004794843678103119,0.22169479030876255
proposed,ppo,0,0.15,8,31.475004972222244,27.00741086010973,0.0,0.0,1.0,1.0,27.020471768195918,0.008116478100419044,0.03173040433277632
proposed,ppo,0,0.15,9,46.407375283559276,31.232497216436,0.0,1.0,0.0,1.0,31.584745330158714,0.010988202364326028,0.2283575353636477
proposed,ppo,0,0.3,0,69.07085870938312,44.29453396065446,0.0,1.0,0.0,1.0,37.26900781263882,0.02133230686498185,0.24606976982943574
proposed,ppo,0,0.3,1,78.83089174944845,58.74560334365103,0.0,0.0,1.0,1.0,39.992491702843175,0.019588714949541577,0.24042054699155616
proposed,ppo,0,0.3,2,63.567771672706016,42.25607683724997,0.0,0.0,1.0,1.0,36.35912930573294,0.030750161381033453,0.27177482521436497
proposed,ppo,0,0.3,3,63.911634132615816,44.49935255212742,0.0,1.0,0.0,1.0,37.0045952326276,0.006169627493580998,0.20966359789272068
proposed,ppo,0,0.3,4,35.688431002222714,21.50230155734159,0.0,1.0,0.0,1.0,28.55346305329681,0.017899239364151772,0.20895802167014815
proposed,ppo,0,0.3,5,36.01812558085881,21.768432633959748,0.0,1.0,0.0,1.0,28.92330655004735,0.014484435946752246,0.23076874638228928
proposed,ppo,0,0.3,6,11.131656049927404,9.171793843952376,0.0,0.0,1.0,1.0,18.81718628802727,0.012754986034424015,0.0
proposed,ppo,0,0.3,7,50.72332739306936,37.16806535272269,0.0,1.0,0.0,1.0,32.03159310054222,0.004744645189641724,0.21150614303348284
proposed,ppo,0,0.3,8,44.35665171720478,32.44350400931249,0.0,1.0,0.0,1.0,31.227822404834715,0.012681441365516391,0.18955182123183087
proposed,ppo,0,0.3,9,86.33118116641465,69.70522645174194,0.0,0.0,1.0,1.0,41.688580898414315,0.017075106433793147,0.17416705231989577
