variant,algo,seed,density,episode,reward,shaped_reward,success,collision,out_of_road,cost,mean_speed_kmh,steering_variation,ttc_risk
risk,ppo,0,0.05,0,82.48186245878993,71.43060662715885,0.0,0.0,1.0,1.0,37.66466297327639,0.054291818380714896,0.0
risk,ppo,0,0.05,1,53.868401218515224,48.57412961720235,0.0,0.0,1.0,1.0,33.47902668985046,0.05112991310306825,0.0
risk,ppo,0,0.05,2,199.20400828600444,171.83728512875877,0.0,1.0,0.0,1.0,54.47539102769466,0.07124607812585239,0.11073128601245777
risk,ppo,0,0.05,3,114.42134428198638,106.38742536431481,0.0,0.0,1.0,1.0,46.04835722678503,0.06169463902391413,0.0
risk,ppo,0,0.05,4,114.37778374503881,94.22101258630406,0.0,1.0,0.0,1.0,47.57992395910648,0.02788659943832775,0.13527912356460176
risk,ppo,0,0.05,5,47.012179193488755,30.21037362455884,0.0,1.0,0.0,1.0,31.39095639258599,0.07424667318824862,0.2037782538827364
risk,ppo,0,0.05,6,61.64081342842388,51.72408723471335,0.0,0.0,1.0,1.0,35.873281519897624,0.04910611136079724,0.0
risk,ppo,0,0.05,7,48.69150572040737,31.924532418182075,0.0,1.0,0.0,1.0,31.23553330019904,0.020258406950761716,0.20414480991479517
risk,ppo,0,0.05,8,48.24047263756291,41.55179195637719,0.0,0.0,1.0,1.0,31.989312937133345,0.05749190904077937,0.0
risk,ppo,0,0.05,9,63.26570025419434,60.08568749786282,0.0,0.0,1.0,1.0,35.4643904622497,0.01908423923136518,0.0
risk,ppo,0,0.15,0,90.60639581691075,68.93801384624422,0.0,1.0,0.0,1.0,38.80790298979799,0.07996818460312417,0.16093780164644367
risk,ppo,0,0.15,1,53.86701296857643,48.598581409058156,0.0,0.0,1.0,1.0,33.48115806528957,0.050950655073393136,0.0
risk,ppo,0,0.15,2,67.65250674399121,43.770742993609204,0.0,1.0,0.0,1.0,35.43880766476182,0.0782500255604585,0.25068305838229965
risk,ppo,0,0.15,3,67.17293919828086,54.64396493597241,0.0,0.0,1.0,1.0,36.96920262781142,0.06444620320074995,0.11224059060473184
risk,ppo,0,0.15,4,63.778637094739466,55.45653460669156,0.0,0.0,1.0,1.0,37.29574739159398,0.02739128114572212,0.0231489425821966
risk,ppo,0,0.15,5,87.76972430991232,67.1994611251075,0.0,1.0,0.0,1.0,40.82224380931142,0.07325572016217359,0.1737063679644722
risk,ppo,0,0.15,6,59.851183686840216,50.02561690832305,0.0,0.0,1.0,1.0,35.49499795362333,0.0500529898669232,0.0
risk,ppo,0,0.15,7,79.32933485354978,58.96373604598208,0.0,0.0,1.0,1.0,39.00939680764415,0.04276265264249956,0.212460595625092
risk,ppo,0,0.15,8,46.12242557884355,35.97298221737138,0.0,0.0,1.0,1.0,31.29091015866167,0.06593061592429876,0.05437265330842486
risk,ppo,0,0.15,9,66.34377537586867,62.499948480956185,0.0,0.0,1.0,1.0,35.960905286873945,0.021667232399176752,0.013785130487491571
risk,ppo,0,0.3,0,49.73179560494568,32.024693672225474,0.0,0.0,1.0,1.0,32.13993170133628,0.07111429139262154,0.21644610514862941
risk,ppo,0,0.3,1,41.53804673386567,25.967793419443616,0.0,0.0,1.0,1.0,30.108654630624926,0.05594707953563908,0.22182694439237285
risk,ppo,0,0.3,2,55.75263477271302,35.84803901158538,0.0,1.0,0.0,1.0,33.48316005455854,0.08264791548474511,0.2309656182010988
risk,ppo,0,0.3,3,77.0294183901257,61.825163447750725,0.0,0.0,1.0,1.0,39.16135095383801,0.06288231992603917,0.14893539712132073
risk,ppo,0,0.3,4,61.82135230334953,42.672066357826104,0.0,1.0,0.0,1.0,36.49893357006743,0.025065190411017586,0.21831790098243078
risk,ppo,0,0.3,5,48.433638851589315,32.512557995541485,0.0,0.0,1.0,1.0,32.20506602965308,0.08240513629730671,0.1874339830884457
risk,ppo,0,0.3,6,41.56565763104476,24.114545273436903,0.0,0.0,1.0,1.0,30.720627348141537,0.05078961723484099,0.18820425916782546
risk,ppo,0,0.3,7,58.55368653515096,40.215431633023016,0.0,1.0,0.0,1.0,33.3804109219017,0.044726636048461145,0.20774064331127423
risk,ppo,0,0.3,8,41.47493466051708,23.446058964443303,0.0,1.0,0.0,1.0,29.702316121424293,0.04683510446104042,0.22883174010646137
risk,ppo,0,0.3,9,49.84737057247554,35.76851637094131,0.0,1.0,0.0,1.0,32.74437215824345,0.024195314652179598,0.22694632731009962
