source_csv,variant,algo,seeds,densities,episodes,protocol_class,config_json,run_dir
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_stable_proposed_multiseed/evaluations/proposed_ppo_s1.csv,proposed,ppo,1,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_stable_proposed_multiseed/runs/proposed_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_stable_proposed_multiseed/runs/proposed_ppo_s1
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_multiseed/evaluations/proposed_ppo_s1.csv,proposed,ppo,1,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_multiseed/runs/proposed_ppo_s1/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_multiseed/runs/proposed_ppo_s1
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_multiseed/evaluations/proposed_ppo_s2.csv,proposed,ppo,2,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_multiseed/runs/proposed_ppo_s2/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_multiseed/runs/proposed_ppo_s2
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s0/evaluations/proposed_ppo_s0.csv,proposed,ppo,0,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s0/runs/proposed_ppo_s0/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s0/runs/proposed_ppo_s0
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s10s11_independent_nenv32/evaluations/proposed_ppo_s10.csv,proposed,ppo,10,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s10s11_independent_nenv32/runs/proposed_ppo_s10/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s10s11_independent_nenv32/runs/proposed_ppo_s10
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s10s11_independent_nenv32/evaluations/proposed_ppo_s11.csv,proposed,ppo,11,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s10s11_independent_nenv32/runs/proposed_ppo_s11/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s10s11_independent_nenv32/runs/proposed_ppo_s11
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/evaluations/proposed_ppo_s12.csv,proposed,ppo,12,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/runs/proposed_ppo_s12/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/runs/proposed_ppo_s12
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/evaluations/proposed_ppo_s13.csv,proposed,ppo,13,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/runs/proposed_ppo_s13/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s12s13_gpu0_nenv24/runs/proposed_ppo_s13
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s3_nenv8/evaluations/proposed_ppo_s3.csv,proposed,ppo,3,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s3_nenv8/runs/proposed_ppo_s3/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s3_nenv8/runs/proposed_ppo_s3
/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s4s5_nenv16/evaluations/proposed_ppo_s4.csv,proposed,ppo,4,0.00|0.08|0.15,150,final_benchmark,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s4s5_nenv16/runs/proposed_ppo_s4/config.json,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/stage1000_true_proposed_s4s5_nenv16/runs/proposed_ppo_s4
