variant	algo	seed	rows	densities	eval_n_envs	train_n_envs	timesteps	horizon	summary	path
baseline	ppo		12	0.00,0.10,0.25					d0.00:n4:s0.01:c0.99:rna | d0.10:n4:s0.00:c1.00:rna | d0.25:n4:s0.00:c1.00:rna	outputs/evaluations/summary.csv
baseline			47	0.00,0.08,0.10,0.15,0.25					d0.00:n13:sna:cna:rna | d0.08:n12:sna:cna:rna | d0.10:n5:sna:cna:rna | d0.15:n12:sna:cna:rna | d0.25:n5:sna:cna:rna	outputs/final_iscsic_results/evaluations/summary_by_method_density.csv
baseline			47	0.00,0.08,0.10,0.15,0.25					d0.00:n13:sna:cna:rna | d0.08:n12:sna:cna:rna | d0.10:n5:sna:cna:rna | d0.15:n12:sna:cna:rna | d0.25:n5:sna:cna:rna	outputs/final_iscsic_results_nenv16/evaluations/summary_by_method_density.csv
baseline			47	0.00,0.08,0.10,0.15,0.25					d0.00:n13:sna:cna:rna | d0.08:n12:sna:cna:rna | d0.10:n5:sna:cna:rna | d0.15:n12:sna:cna:rna | d0.25:n5:sna:cna:rna	outputs/final_iscsic_results_nenv32/evaluations/summary_by_method_density.csv
baseline			47	0.00,0.08,0.10,0.15,0.25					d0.00:n13:sna:cna:rna | d0.08:n12:sna:cna:rna | d0.10:n5:sna:cna:rna | d0.15:n12:sna:cna:rna | d0.25:n5:sna:cna:rna	outputs/final_iscsic_results_nenv8/evaluations/summary_by_method_density.csv
baseline	ppo	0	60	0.00,0.10,0.25			100000	1000	d0.00:n20:s0.05:c0.95:rna | d0.10:n20:s0.00:c1.00:rna | d0.25:n20:s0.00:c1.00:rna	outputs/evaluations/baseline_ppo_s0.csv
baseline	ppo	0	119	0.00,0.08,0.10,0.15,0.25			100000	1000	d0.00:n37:s0.70:c0.20:r0.90 | d0.08:n36:s0.70:c0.18:r0.87 | d0.10:n5:s0.03:c0.95:r0.51 | d0.15:n36:s0.45:c0.47:r0.73 | d0.25:n5:s0.00:c1.00:r0.21	outputs/final_iscsic_results/evaluations/summary_by_seed.csv
baseline	ppo	0	131	0.00,0.08,0.10,0.15,0.25			100000	1000	d0.00:n41:s0.66:c0.25:r0.86 | d0.08:n40:s0.65:c0.25:r0.82 | d0.10:n5:s0.03:c0.95:r0.51 | d0.15:n40:s0.41:c0.51:r0.69 | d0.25:n5:s0.00:c1.00:r0.21	outputs/final_iscsic_results_nenv16/evaluations/summary_by_seed.csv
baseline	ppo	0	128	0.00,0.08,0.10,0.15,0.25			100000	1000	d0.00:n40:s0.65:c0.26:r0.86 | d0.08:n39:s0.64:c0.25:r0.82 | d0.10:n5:s0.03:c0.95:r0.51 | d0.15:n39:s0.41:c0.51:r0.69 | d0.25:n5:s0.00:c1.00:r0.21	outputs/final_iscsic_results_nenv32/evaluations/summary_by_seed.csv
baseline	ppo	0	128	0.00,0.08,0.10,0.15,0.25			100000	1000	d0.00:n40:s0.65:c0.26:r0.86 | d0.08:n39:s0.64:c0.25:r0.82 | d0.10:n5:s0.03:c0.95:r0.51 | d0.15:n39:s0.41:c0.51:r0.69 | d0.25:n5:s0.00:c1.00:r0.21	outputs/final_iscsic_results_nenv8/evaluations/summary_by_seed.csv
baseline	ppo	0	150	0.00,0.08,0.15		4	600000	1200	d0.00:n50:s0.00:c1.00:r0.40 | d0.08:n50:s0.00:c1.00:r0.32 | d0.15:n50:s0.00:c1.00:r0.21	outputs/paper_comparison_seed0/evaluations/baseline_ppo_s0.csv
baseline	ppo	0	12	0.00,0.08,0.15		4	600000	1200	d0.00:n4:s0.43:c0.48:r0.70 | d0.08:n4:s0.38:c0.54:r0.61 | d0.15:n4:s0.22:c0.74:r0.47	outputs/paper_comparison_seed0/evaluations/summary.csv
baseline	ppo	0	6	0.00,0.10,0.25			2048	150	d0.00:n2:s0.00:c1.00:r0.06 | d0.10:n2:s0.00:c1.00:r0.06 | d0.25:n2:s0.00:c1.00:r0.06	outputs/smoke/evaluations/baseline_ppo_s0.csv
baseline	ppo	0	6	0.00,0.10,0.25			2048	150	d0.00:n2:s0.00:c1.00:r0.08 | d0.10:n2:s0.00:c1.00:r0.08 | d0.25:n2:s0.00:c1.00:r0.06	outputs/smoke/evaluations/summary.csv
baseline	ppo	1	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.00:c1.00:r0.33 | d0.08:n50:s0.00:c1.00:r0.22 | d0.15:n50:s0.00:c1.00:r0.21	outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s1.csv
baseline	ppo	2	150	0.00,0.08,0.15	10	10	1500000	1200	d0.00:n50:s0.00:c1.00:r0.35 | d0.08:n50:s0.14:c0.86:r0.41 | d0.15:n50:s0.04:c0.96:r0.36	outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv
curriculum	ppo	0	60	0.00,0.10,0.25			100000	1000	d0.00:n20:s0.00:c1.00:rna | d0.10:n20:s0.00:c1.00:rna | d0.25:n20:s0.00:c1.00:rna	outputs/evaluations/curriculum_ppo_s0.csv
curriculum	ppo	0	150	0.00,0.08,0.15		4	600000	1200	d0.00:n50:s0.06:c0.94:r0.45 | d0.08:n50:s0.02:c0.98:r0.30 | d0.15:n50:s0.00:c1.00:r0.20	outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv
