variant,density,map_seed,success,cost,collision,out_of_road,route_completion,steps
guard_only,0.15,10000,1.0,0.0,0.0,0.0,0.9906239509354621,1206
shield_only,0.15,10000,1.0,0.0,0.0,0.0,0.9594715233347573,1270
retuned_full,0.15,10000,0.0,1.0,1.0,0.0,0.3841887628593466,527
proposed_gated_risk,0.15,10000,1.0,0.0,0.0,0.0,0.9907273316915786,1142
no_action_guard,0.15,10000,0.0,1.0,0.0,1.0,0.41241429427176207,265
risk_only,0.15,10000,0.0,0.0,0.0,0.0,0.009384576420128656,1500
guard_only,0.15,10001,0.0,1.0,1.0,0.0,0.7447228800615019,769
shield_only,0.15,10001,1.0,0.0,0.0,0.0,0.9906745183777002,1041
retuned_full,0.15,10001,0.0,1.0,1.0,0.0,0.8552684706528987,950
proposed_gated_risk,0.15,10001,1.0,0.0,0.0,0.0,0.9904441578195541,1022
no_action_guard,0.15,10001,0.0,1.0,1.0,0.0,0.09701613216502726,57
risk_only,0.15,10001,0.0,0.0,0.0,0.0,0.00964911545351375,1500
guard_only,0.15,10002,1.0,0.0,0.0,0.0,0.9908580027841183,1203
shield_only,0.15,10002,0.0,1.0,1.0,0.0,0.5336647532198251,612
retuned_full,0.15,10002,1.0,0.0,0.0,0.0,0.9912213357145404,1223
proposed_gated_risk,0.15,10002,0.0,1.0,1.0,0.0,0.621121271198272,1159
no_action_guard,0.15,10002,0.0,1.0,1.0,0.0,0.23875934266704102,125
risk_only,0.15,10002,0.0,0.0,0.0,0.0,0.008910535806689787,1500
guard_only,0.15,10003,1.0,0.0,0.0,0.0,0.9903343543503083,953
shield_only,0.15,10003,1.0,0.0,0.0,0.0,0.9900910430981337,993
retuned_full,0.15,10003,1.0,0.0,0.0,0.0,0.9902389452737903,978
proposed_gated_risk,0.15,10003,1.0,0.0,0.0,0.0,0.9904156603142906,976
no_action_guard,0.15,10003,0.0,1.0,0.0,1.0,0.35817449910863364,141
risk_only,0.15,10003,0.0,0.0,0.0,0.0,0.010536993115171684,1500
