variant,density,map_seed,steps,success,cost,collision,out_of_road,route_completion,mean_speed_kmh,mean_lane_deviation,ttc_risk,risk_gate_rate,shield_intervention_rate,shaped_reward,source_config,source_model
guard_only,0.15,10000,956,0.0,1.0,1.0,0.0,0.7408154066872975,14.973211578004147,0.4026169737072567,0.026815803756291234,0.0,0.6830543933054394,336.9482643125699,outputs/tuned_ablation_guard_only_nenv16_seed0_1m/runs/guard_only_ppo_s0/config.json,outputs/tuned_ablation_guard_only_nenv16_seed0_1m/runs/guard_only_ppo_s0/model/final_model.zip
guard_only,0.25,10000,474,0.0,1.0,1.0,0.0,0.4017777822108706,15.990377827486572,0.08893640538992839,0.04606294950135477,0.0,0.7362869198312236,191.96185174882706,outputs/tuned_ablation_guard_only_nenv16_seed0_1m/runs/guard_only_ppo_s0/config.json,outputs/tuned_ablation_guard_only_nenv16_seed0_1m/runs/guard_only_ppo_s0/model/final_model.zip
shield_only,0.15,10000,433,0.0,1.0,1.0,0.0,0.39009662955682156,16.911299800196442,0.0909104232670102,0.03969195911710448,0.0,0.7782909930715936,183.38138170663942,outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0/config.json,outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0/model/final_model.zip
shield_only,0.25,10000,429,0.0,1.0,1.0,0.0,0.3958864625636045,17.3569746477152,0.12285936030120846,0.002105603883394139,0.0,0.7342657342657343,179.8551194485421,outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0/config.json,outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0/model/final_model.zip
retuned_full,0.15,10000,432,0.0,1.0,1.0,0.0,0.3900689690746012,16.93883379531791,0.12826543572773844,0.018246621651992846,1.0,0.7569444444444444,-51.71667859917475,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
retuned_full,0.25,10000,941,0.0,1.0,1.0,0.0,0.4540542473756906,9.162667704429001,0.14425291539242044,0.09626124568768107,1.0,0.5143464399574921,-430.44329617936114,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed_gated_risk,0.15,10000,1239,1.0,0.0,0.0,0.0,0.9912673593263711,15.22009750550654,0.1451152841429341,0.08571776062134848,0.6852300242130751,0.7659402744148507,216.98273104265778,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
proposed_gated_risk,0.25,10000,595,0.0,1.0,1.0,0.0,0.3881217194078369,12.253500818211952,0.2709364871308299,0.12076161296257337,0.6084033613445378,0.626890756302521,-116.0366605852831,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/config.json,outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip
no_action_guard,0.15,10000,250,0.0,1.0,0.0,1.0,0.4099227761842035,31.95305325213133,0.41620686629202963,0.029837780329405712,1.0,0.0,-826.6066119939259,outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0/config.json,outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0/model/final_model.zip
no_action_guard,0.25,10000,110,0.0,1.0,1.0,0.0,0.16531549451541766,28.002907473701097,0.3031286363500836,0.32990950067317043,1.0,0.0,-540.1326919251544,outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0/config.json,outputs/tuned_ablation_no_action_guard_nenv16_seed0_1m/runs/no_action_guard_ppo_s0/model/final_model.zip
risk_only,0.15,10000,1500,0.0,0.0,0.0,0.0,0.00938382110395466,0.013856517355014924,0.011671232277390992,0.0,1.0,0.0,-224.7120112166788,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk_only,0.25,10000,1500,0.0,0.0,0.0,0.0,0.009384160772766634,0.013892888476964791,0.012345963636809332,0.0,1.0,0.0,-224.73706566947698,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
