group	density	episodes	success	cost	collision	out	route
s26	0.00	50	0.920	0.000	0.000	0.000	0.990
s26	0.08	50	0.860	0.080	0.080	0.000	0.946
s26	0.15	50	0.660	0.100	0.100	0.000	0.930
s27	0.00	50	0.980	0.000	0.000	0.000	0.990
s27	0.08	50	0.880	0.080	0.080	0.000	0.961
s27	0.15	50	0.560	0.340	0.340	0.000	0.815
s28	0.00	50	0.980	0.000	0.000	0.000	0.991
s28	0.08	50	0.880	0.080	0.080	0.000	0.943
s28	0.15	50	0.480	0.380	0.380	0.000	0.751
mean	0.00	150	0.960	0.000	0.000	0.000	0.990
mean	0.08	150	0.873	0.080	0.080	0.000	0.950
mean	0.15	150	0.567	0.273	0.273	0.000	0.832
