variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,0,10000,7,0.0,0,507.061796254879,325.8537268687463,1.0,0.9906706351946372,0.0,0.0,0.0,0.0,0.0,945,20.01189650044429,0.11256802750637908,0.41086002317819686,0.015341839656525134,0.20981648788250312,0.2096029551571639,0.0,
proposed,ppo,0,10001,7,0.0,1,474.6009114954194,304.2430954528393,1.0,0.9901533254868703,0.0,0.0,0.0,0.0,0.0,920,19.999743189719563,0.14918879682171038,0.5422490548690243,0.01633236340155987,0.2118108779191971,0.21327276463093964,0.0,
proposed,ppo,0,10002,7,0.0,2,570.3751197937821,364.11561974061914,1.0,0.9913174861452353,0.0,0.0,0.0,0.0,0.0,995,20.014760803067475,0.046604095023039534,0.2714797276873104,0.01541317936182771,0.21096597999783617,0.21082112489633226,0.0,
proposed,ppo,0,10003,7,0.0,3,447.3228131379642,297.2045265171025,1.0,0.9902760612550152,0.0,0.0,0.0,0.0,0.0,838,19.99650814954379,0.12369133050777056,0.5163347542108293,0.013329256748833954,0.20035219704621163,0.20198258579773096,0.0,
proposed,ppo,0,10004,7,0.0,4,495.294481657397,305.5523580449275,1.0,0.991672026528422,0.0,0.0,0.0,0.0,0.0,1012,20.08354356337153,0.20008014006014258,0.6430764086399685,0.01320962100648671,0.2020072900495039,0.20271299373019824,0.0,
proposed,ppo,0,10005,7,0.0,5,505.86498120763594,331.8795270616682,1.0,0.9902613520831274,0.0,0.0,0.0,0.0,0.0,880,20.007100706664453,0.04941253421503127,0.32112402045757144,0.013313611618501786,0.19804932989857413,0.1995569203387607,0.0,
proposed,ppo,0,10006,7,0.0,6,571.9041008216229,342.33970295091694,1.0,0.9923432566847398,0.0,0.0,0.0,0.0,0.0,1121,20.07887693558535,0.15838218553762604,0.8032118312315428,0.013769223611472868,0.20179057110642665,0.20300017298597187,0.0,
proposed,ppo,0,10007,7,0.0,7,622.6723013744405,326.4106852568167,0.0,0.8148284875407339,0.0,0.0,0.0,0.0,0.0,1200,20.05681755587447,0.11151144540085281,0.329454302554467,0.013524790411283903,0.21714431991179783,0.21830578784147897,0.0,
proposed,ppo,0,10008,7,0.0,8,460.597711850523,296.2070653604028,1.0,0.990914136066931,0.0,0.0,0.0,0.0,0.0,897,19.984578715683668,0.15686537133551168,0.6024648722144199,0.015504039238947324,0.21002224629273517,0.21154065488307106,0.0,
proposed,ppo,0,10009,7,0.0,9,421.59586969206214,275.62016733379096,1.0,0.989460977814791,0.0,0.0,0.0,0.0,0.0,835,19.984197355222772,0.17504947630185572,0.4602437256634315,0.014606340150878637,0.20876005024253252,0.2104130666412993,0.0,
proposed,ppo,0,10010,7,0.0,10,551.3123114913834,346.72188046964595,1.0,0.9913403661258174,0.0,0.0,0.0,0.0,0.0,1024,19.983342980989864,0.1071200244128361,0.5316456821295594,0.016172285067568737,0.22061256389133632,0.22044458438176662,0.0,
proposed,ppo,0,10011,7,0.0,11,580.3037426030171,365.4484681409212,1.0,0.9925621265717217,0.0,0.0,0.0,0.0,0.0,1067,20.068741202859925,0.10015858216602953,0.1388276441374959,0.012793431157593623,0.2038234741529127,0.20513027710901205,0.0,
