variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,0,10000,7,0.0,0,330.6510582348282,170.15868688060584,1.0,0.9915008476552613,0.0,0.0,0.0,0.0,0.0,890,20.100729020842117,0.37067157742199436,0.9957094263719516,0.02321577973747521,0.2233492245834865,0.22737136838141453,0.0,
proposed,ppo,0,10001,7,0.0,1,302.5174862764766,115.74879899405286,1.0,0.9915092370209312,0.0,0.0,0.0,0.0,0.0,908,20.12833102879992,0.4844453855096476,0.9218439703290636,0.018366645996988083,0.22311977011516756,0.22165948270701102,0.0,
proposed,ppo,0,10002,7,0.0,2,321.40284325768897,116.14746733328366,1.0,0.9923574255749779,0.0,0.0,0.0,0.0,0.0,983,20.150747608246185,0.49409069450435095,0.7527577455363476,0.017294667515285987,0.2224285557699349,0.2216846095218057,0.0,
proposed,ppo,0,10003,7,0.0,3,288.16169841213207,131.78132393674463,1.0,0.9895218295579759,0.0,0.0,0.0,0.0,0.0,834,20.13048034688328,0.46303072471615253,0.6453280081631482,0.013747594927882047,0.20913912009278077,0.21010641428492338,0.0,
proposed,ppo,0,10004,7,0.0,4,421.59886178779817,233.35651562088043,1.0,0.9912412103880949,0.0,0.0,0.0,0.0,0.0,1009,20.173971439503493,0.32979667144312347,0.48191512243842477,0.012722183071534686,0.20755938732234172,0.2091566727111786,0.0,
proposed,ppo,0,10005,7,0.0,5,267.93453819765307,85.8429032341362,1.0,0.9901576599020044,0.0,0.0,0.0,0.0,0.0,873,20.14786454606471,0.5310687814589927,0.8562561054932653,0.014484040167093072,0.20621401597270989,0.20996658881232227,0.0,
proposed,ppo,0,10006,7,0.0,6,366.68356577215656,116.04727625013982,1.0,0.9928097578230508,0.0,0.0,0.0,0.0,0.0,1106,20.20844774133561,0.48457055729682746,0.9485363104471146,0.014953674989370174,0.21185560263087047,0.21029380023156108,0.0,
proposed,ppo,0,10007,7,0.0,7,404.628326623458,101.42580675834398,0.0,0.8216533416826843,0.0,0.0,0.0,0.0,0.0,1200,20.155741392771105,0.4402708798116353,0.8302839675384752,0.013047354583007594,0.22447833398977915,0.22585490812857945,0.0,
proposed,ppo,0,10008,7,0.0,8,328.02863849269323,157.59961790091106,1.0,0.9906939170954284,0.0,0.0,0.0,0.0,0.0,893,20.133430997760655,0.4219482148983456,0.6607118981193226,0.016868558971989328,0.2222969234323448,0.2184275690411934,0.0,
proposed,ppo,0,10009,7,0.0,9,292.8237437704278,153.3022300774926,1.0,0.9892494874221004,0.0,0.0,0.0,0.0,0.0,831,20.104800141242972,0.40077679927047294,0.8186412281823578,0.016004155526693046,0.21746567971152664,0.21959000603530093,0.0,
