variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,21,10000,7,0.0,0,480.4083571987105,311.661409948866,1.0,0.991085029241747,0.0,0.0,0.0,0.0,0.0,1028,18.317631266315555,0.16369055040232286,0.4169012331569941,0.010003153990287377,0.223481283345575,0.22724022985896247,0.0,
proposed,ppo,21,10001,7,0.0,1,487.27465091941013,321.9733164978866,1.0,0.9902419521736386,0.0,0.0,0.0,0.0,0.0,1000,18.316112519452247,0.1246993740069413,0.3714644184387374,0.01090971096791327,0.22743341302871703,0.22747017312049866,0.0,
proposed,ppo,21,10002,7,0.0,2,519.7335894843063,337.2098107046286,1.0,0.9914083062722878,0.0,0.0,0.0,0.0,0.0,1084,18.322541476724275,0.1378620300662938,0.321117768028033,0.010149983861019691,0.22324723247232472,0.22503374654428546,0.0,
proposed,ppo,21,10003,7,0.0,3,455.37550473670746,311.3615893146907,1.0,0.9896455742179106,0.0,0.0,0.0,0.0,0.0,915,18.321316499060178,0.1074763440671287,0.2099009081485436,0.0069330158378786404,0.21202185792349726,0.21420765027322405,0.0,
proposed,ppo,21,10004,7,0.0,4,589.3535566906774,381.1551937429394,1.0,0.9914878394011926,0.0,0.0,0.0,0.0,0.0,1108,18.355473482269026,0.0356855965367853,0.32769054894515487,0.006010089695389763,0.2111913357400722,0.21299638989169675,0.0,
proposed,ppo,21,10005,7,0.0,5,454.4313617117113,302.84064268555346,1.0,0.9906173861273972,0.0,0.0,0.0,0.0,0.0,960,18.339445796303874,0.15467827201849527,0.3450549533356875,0.007420320135133806,0.21034431047737598,0.2124276438107093,0.0,
proposed,ppo,21,10006,7,0.0,6,574.6589082905466,354.41731792129497,1.0,0.9925084472426238,0.0,0.0,0.0,0.0,0.0,1222,18.366155410426316,0.1551317802228647,0.3873017111288197,0.007804057403862379,0.21273729278295989,0.21437395399408918,0.0,
proposed,ppo,21,10007,7,0.0,7,725.5258694031531,381.55931410984454,0.0,0.9259653468453151,0.0,0.0,0.0,0.0,0.0,1500,18.330194450469588,0.09468205256637094,0.3301427876421189,0.007596180279428761,0.23166916950543723,0.23166916950543723,0.0,
proposed,ppo,21,10008,7,0.0,8,489.505668698805,327.9944051130634,1.0,0.9904237417682851,0.0,0.0,0.0,0.0,0.0,980,18.301689970031603,0.1007508400745926,0.2656011697038084,0.009985438010617331,0.2244202888741785,0.22244571714985129,0.0,
proposed,ppo,21,10009,7,0.0,9,464.38406226207303,315.77389104602196,1.0,0.9893966445122023,0.0,0.0,0.0,0.0,0.0,912,18.29955085940925,0.0845621447830982,0.32898975780782214,0.008009245362859872,0.22212674455684528,0.22212674455684528,0.0,
proposed,ppo,21,10010,7,0.0,10,531.7945484431125,341.5479162642696,1.0,0.9913336466451529,0.0,0.0,0.0,0.0,0.0,1119,18.288568091524734,0.1424543249849577,0.2859039157854638,0.010111225741458483,0.23585495435307344,0.23498698906561857,0.0,
proposed,ppo,21,10011,7,0.0,11,588.5719539259906,377.97162429570267,1.0,0.9922463604043881,0.0,0.0,0.0,0.0,0.0,1167,18.34247066952198,0.08680563152569594,0.11541420817112247,0.005704184500907565,0.2150814053127678,0.21679520137103683,0.0,
proposed,ppo,21,10012,7,0.0,12,434.9709683943555,302.8459394368215,1.0,0.9897055859496208,0.0,0.0,0.0,0.0,0.0,860,18.27999163556908,0.09251752500051548,0.23725048258876966,0.009833817070804883,0.22556699708450673,0.22556699708450673,0.0,
