variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,1,10000,7,0.08,0,176.27235510281022,-56.297602726237386,0.0,0.39964187022449305,1.0,1.0,0.0,0.0,1.0,427,17.584543209494676,0.15936174569184697,0.6647263614155956,0.013441447527376844,0.22210066742863532,0.23610786964519243,0.009130215690522586,0.12537621122663103
proposed,ppo,1,10001,7,0.08,1,501.23017160465804,321.7095408632673,1.0,0.9900565390867097,0.0,0.0,0.0,0.0,0.0,1004,18.313859396284272,0.09822942381652097,0.49596260314331453,0.011977688445101132,0.22428995133396165,0.22428995133396165,0.0,9.420204503131322
proposed,ppo,1,10002,7,0.08,2,510.02732066122036,298.1507274418425,1.0,0.9913697936779432,0.0,0.0,0.0,0.0,0.0,1107,18.008295533251207,0.15646177735358616,0.9169976139926862,0.015551376591041994,0.22149797883675565,0.22286895394002196,0.0029639930684673987,4.388149174569731
proposed,ppo,1,10003,7,0.08,3,474.984573111334,314.6082687364635,1.0,0.9896080307689805,0.0,0.0,0.0,0.0,0.0,915,18.323522621445427,0.06560648677335418,0.2269394881561941,0.008868776461811828,0.21202185792349726,0.21420765027322405,0.0,
proposed,ppo,1,10004,7,0.08,4,581.1302982211527,365.56671271422715,1.0,0.9915693193278272,0.0,0.0,0.0,0.0,0.0,1109,18.34492867183332,0.05029426502582483,0.3198053486533019,0.009000193632927507,0.21388638417284375,0.21568981068321344,5.720699418980503e-05,7.49245954754805
proposed,ppo,1,10005,7,0.08,5,466.9755147978338,302.24482275998577,1.0,0.99022432519493,0.0,0.0,0.0,0.0,0.0,963,18.300897287923146,0.12947000054041183,0.4004194434521619,0.010979664275521337,0.21433021816756742,0.2184839045642445,7.033502684251725e-05,7.6316043657552814
proposed,ppo,1,10006,7,0.08,6,599.8426400290795,338.2758731494426,1.0,0.9923442141127812,0.0,0.0,0.0,0.0,0.0,1240,18.146509901540867,0.1152423858062825,0.410985776849982,0.009818121698504734,0.21115049037241165,0.21596463043843547,0.0054759651172635315,1.0494444569034256
proposed,ppo,1,10007,7,0.08,7,718.6895721735602,367.21233824820433,0.0,0.9216340442899389,0.0,0.0,0.0,0.0,0.0,1500,18.255336008695714,0.09921349839496495,0.2964098692080966,0.010802630453680953,0.23119463113943736,0.2343035340309143,0.0009506117932144894,2.6532629227108515
proposed,ppo,1,10008,7,0.08,8,501.7714269750669,325.84073190984407,1.0,0.9904739043048675,0.0,0.0,0.0,0.0,0.0,982,18.305207690913885,0.07665650941280423,0.3380872952652875,0.011450024517992789,0.2236085462473075,0.22259021630840728,0.0,10.961699046411312
proposed,ppo,1,10009,7,0.08,9,470.56674119412526,310.0091732827122,1.0,0.9894544338851505,0.0,0.0,0.0,0.0,0.0,915,18.287967174336462,0.07200623610659793,0.35951309515258445,0.011084271036088467,0.22426229513408055,0.22426229513408055,5.570824742732929e-05,7.59221562883195
