setting,density,success,route_completion,collision,out_of_road,cost,reward,episode_length,mean_speed_kmh
ckpt702_defensive_ttc10_v16,0.08,0.75,0.9615125028163239,0.0,0.0,0.0,482.805911707385,1247.4,15.95783336995718
ckpt702_defensive_ttc10_v16,0.15,0.5,0.8183249533080961,0.15,0.1,0.25,402.0494992185219,1186.55,14.155784878209733
s1_defensive_ttc10_v16,0.08,0.75,0.93565344828978,0.05,0.0,0.05,524.6209909002338,1201.2,16.193281832742652
s1_defensive_ttc10_v16,0.15,0.55,0.800144481214992,0.1,0.05,0.15,399.74088487927185,1206.7,13.979958574198823
s1_defensive_ttc10_v18,0.08,0.7,0.908125592802897,0.15,0.0,0.15,506.4578769821197,1059.0,17.949697962675394
s1_defensive_ttc10_v18,0.15,0.6,0.8385377792682567,0.15,0.1,0.25,406.1805801522175,1101.2,15.70649252117876
s1_defensive_ttc12_v18,0.08,0.8,0.9552172053416763,0.05,0.0,0.05,531.4235783810898,1116.8,17.879167101439428
s1_defensive_ttc12_v18,0.15,0.6,0.8683079732994861,0.1,0.0,0.1,418.5259372371626,1222.1,14.838869280712334
s1_defensive_ttc8_v18,0.08,0.8,0.954039798473463,0.05,0.0,0.05,537.6236197825033,1100.6,18.16086529680931
s1_defensive_ttc8_v18,0.15,0.65,0.8315293733738793,0.3,0.0,0.3,408.05285397294506,1078.9,15.668312716917924
