variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate
proposed,ppo,26,10400,7,0.0,0,8,398.81975573993816,264.2376264377612,1.0,0.9898190499029009,0.0,0.0,0.0,0.0,0.0,880,18.294005754925827,0.19286255628483115,0.8521473302399797,0.030811543799989686,0.22954545454545455,0.2340909090909091,0.0,,761,0,0,761,0.8647727272727272,0.0,0.0,0.8647727272727272
proposed,ppo,26,10100,7,0.0,1,8,473.4350993148638,316.62733218899365,1.0,0.9904598103616536,0.0,0.0,0.0,0.0,0.0,970,18.290585877190328,0.12231404046739833,0.39305674182953587,0.027553983798164143,0.2288659793814433,0.2288659793814433,0.0,,843,0,0,843,0.8690721649484536,0.0,0.0,0.8690721649484536
proposed,ppo,26,10000,7,0.0,2,8,548.4076765503395,347.9203316748574,1.0,0.9924856108903287,0.0,0.0,0.0,0.0,0.0,1168,18.332006729430596,0.1540561139477319,0.18211154560187306,0.02603727786571317,0.2226027397260274,0.2243150684931507,0.0,,1022,0,0,1022,0.875,0.0,0.0,0.875
proposed,ppo,26,10200,7,0.0,3,8,541.6155676716836,336.218906057595,1.0,0.9915104244282456,0.0,0.0,0.0,0.0,0.0,1172,18.33286034756727,0.17065508494653758,0.5659348092211579,0.02709070842458037,0.2235494880546075,0.22525597269624573,0.0,,1025,0,0,1025,0.8745733788395904,0.0,0.0,0.8745733788395904
proposed,ppo,26,10500,7,0.0,4,8,562.28399506372,338.0196593866589,1.0,0.992289351611951,0.0,0.0,0.0,0.0,0.0,1243,18.287962207314894,0.1817833053794107,0.6359781665652504,0.036082767011943906,0.25583266291230894,0.25422365245374096,0.0,,1063,0,0,1063,0.8551890587288817,0.0,0.0,0.8551890587288817
proposed,ppo,26,10700,7,0.0,5,8,582.227707035507,346.90095837522597,1.0,0.9928083319666815,0.0,0.0,0.0,0.0,0.0,1284,18.354235493462575,0.1850828229937449,0.8327988874557468,0.026075126706786467,0.21962616822429906,0.22118380062305296,0.0,,1127,0,0,1127,0.8777258566978193,0.0,0.0,0.8777258566978193
proposed,ppo,26,10300,7,0.0,6,8,614.8101499553719,371.353079942775,1.0,0.993104921335981,0.0,0.0,0.0,0.0,0.0,1320,18.318880605012932,0.1586032935495232,0.4975529343858397,0.027337700231212445,0.2318181818181818,0.23333333333333334,0.0,,1150,0,0,1150,0.8712121212121212,0.0,0.0,0.8712121212121212
proposed,ppo,26,10600,7,0.0,7,8,630.4608984504229,380.51240505985675,1.0,0.9927889862829592,0.0,0.0,0.0,0.0,0.0,1342,18.350792415325074,0.1516556128956874,0.4820915487857646,0.025814049557301086,0.22205663189269748,0.22354694485842028,0.0,,1177,0,0,1177,0.8770491803278688,0.0,0.0,0.8770491803278688
proposed,ppo,26,10101,7,0.0,8,8,382.86518020867413,258.37580182251264,1.0,0.9885209925626481,0.0,0.0,0.0,0.0,0.0,860,18.246033994477724,0.20937450186379,0.7475807143139717,0.028002817155847456,0.23488372093023255,0.2372093023255814,0.0,,742,0,0,742,0.8627906976744186,0.0,0.0,0.8627906976744186
proposed,ppo,26,10001,7,0.0,9,8,412.0712152393413,283.02696912309153,1.0,0.9891562544739018,0.0,0.0,0.0,0.0,0.0,858,18.268256941478914,0.14292426095647326,0.5995448734138232,0.02904910590344419,0.23193473193473194,0.23193473193473194,0.0,,742,0,0,742,0.8648018648018648,0.0,0.0,0.8648018648018648
