variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate
proposed,ppo,28,11200,7,0.0,0,16,393.3946024567727,285.7958354058376,1.0,0.9866628135345478,0.0,0.0,0.0,0.0,0.0,730,18.235913291740236,0.03187940002146827,0.2830966430107067,0.03238434112592511,0.2328767123287671,0.2328767123287671,0.0,,629,0,0,629,0.8616438356164383,0.0,0.0,0.8616438356164383
proposed,ppo,28,10600,7,0.0,1,16,424.7507602019575,300.12036358309314,1.0,0.988374511326318,0.0,0.0,0.0,0.0,0.0,799,18.25016591236917,0.04351522853573199,0.2822541733528709,0.03289518713862524,0.23529411764705882,0.23654568210262827,0.0,,688,0,0,688,0.8610763454317898,0.0,0.0,0.8610763454317898
proposed,ppo,28,10700,7,0.0,2,16,436.60307459212225,303.1790684006206,1.0,0.9894316336239695,0.0,0.0,0.0,0.0,0.0,867,18.22735570081046,0.09335942670547753,0.2879475652764514,0.033309319436833726,0.24452133794694347,0.24682814302191464,0.0,,743,0,0,743,0.8569780853517878,0.0,0.0,0.8569780853517878
proposed,ppo,28,10300,7,0.0,3,16,446.8105780047393,306.08265636840036,1.0,0.9900423722417558,0.0,0.0,0.0,0.0,0.0,897,18.289957788425234,0.10664914029049442,0.27629271798609234,0.03444132232496571,0.22965440356744704,0.2318840579710145,0.0,,777,0,0,777,0.8662207357859532,0.0,0.0,0.8662207357859532
proposed,ppo,28,10000,7,0.0,4,16,468.9497990946914,319.33726498561253,1.0,0.9905490833063935,0.0,0.0,0.0,0.0,0.0,918,18.24004559442827,0.0778597784269054,0.39644627821377254,0.03352080269316962,0.2440087145969499,0.2440087145969499,0.0,,789,0,0,789,0.8594771241830066,0.0,0.0,0.8594771241830066
proposed,ppo,28,11100,7,0.0,5,16,497.51692651425935,337.10806774787284,1.0,0.992218867144094,0.0,0.0,0.0,0.0,0.0,929,18.264683335522882,0.028700553652296866,0.24928592438256297,0.032614952239004416,0.2378902045209903,0.24004305705059203,0.0,,801,0,0,801,0.8622174381054898,0.0,0.0,0.8622174381054898
proposed,ppo,28,10100,7,0.0,6,16,489.08045206657795,325.59135844331195,1.0,0.9908380794331295,0.0,0.0,0.0,0.0,0.0,990,18.261944119718425,0.10857610285635885,0.3076220154857773,0.03579335182933419,0.24545454545454545,0.24545454545454545,0.0,,851,0,0,851,0.8595959595959596,0.0,0.0,0.8595959595959596
proposed,ppo,28,10900,7,0.0,7,16,513.9243788156407,332.06330485822593,1.0,0.9889813534716198,0.0,0.0,0.0,0.0,0.0,1036,18.317887489950532,0.1074315275107683,0.502926509114186,0.0315149482735163,0.22393822393822393,0.22586872586872586,0.0,,904,0,0,904,0.8725868725868726,0.0,0.0,0.8725868725868726
proposed,ppo,28,10400,7,0.0,8,16,528.4425213196832,342.36409856392356,1.0,0.9906204064954648,0.0,0.0,0.0,0.0,0.0,1050,18.311705214237012,0.09206021298882415,0.4720826082192299,0.03242160350527792,0.23047619047619047,0.23238095238095238,0.0,,913,0,0,913,0.8695238095238095,0.0,0.0,0.8695238095238095
proposed,ppo,28,10800,7,0.0,9,16,515.7949470647181,335.71819153288266,1.0,0.9906815319258078,0.0,0.0,0.0,0.0,0.0,1061,18.268503118794232,0.11842007443132677,0.5704347866772318,0.03578065976967489,0.24599434495758718,0.2478793590951932,0.0,,907,0,0,907,0.8548539114043355,0.0,0.0,0.8548539114043355
proposed,ppo,28,11500,7,0.0,10,16,547.5264482893577,354.1241908742976,1.0,0.9919366204605409,0.0,0.0,0.0,0.0,0.0,1103,18.298460269990446,0.102506813326767,0.30448520853194755,0.033299766655704,0.23753399818676338,0.23753399818676338,0.0,,955,0,0,955,0.8658204895738894,0.0,0.0,0.8658204895738894
proposed,ppo,28,10500,7,0.0,11,16,561.2972593704985,362.0111331732229,1.0,0.9919520194784165,0.0,0.0,0.0,0.0,0.0,1126,18.32415568913347,0.09866584251481737,0.29884730923216013,0.03131887297018648,0.22646536412078153,0.22824156305506216,0.0,,982,0,0,982,0.872113676731794,0.0,0.0,0.872113676731794
proposed,ppo,28,11300,7,0.0,12,16,596.4828954173067,380.0313244066376,1.0,0.9926856091885994,0.0,0.0,0.0,0.0,0.0,1170,18.313264850914912,0.0747041067078955,0.32062716867571617,0.03163367762254217,0.23076923076923078,0.23162393162393163,0.0,,1018,0,0,1018,0.8700854700854701,0.0,0.0,0.8700854700854701
