#{"t_start": 1782744516.805075, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-199.010699,1200,10.632809,0.0,0.0,9.53484192384363,-199.01069934511625,0.0,0.0,0.0,0.0,0.0304181608348674,1200,0.5984808803005327,0.04870395676626159,0.11043489998658755,0.8204566156926254,0.7864498451615994,0.5885811504690598,0.0,71.26923117947517,0,0,0,0,0.0,0.0,0.0,0.0,3.0
-313.9813,1200,19.379346,0.0,0.0,8.241826995342988,-313.98130043465426,0.0,0.0,0.0,0.0,0.033447451095094824,1200,0.6564150740079051,0.28399535314091406,0.8477143956642299,0.823984247179081,0.7760088732109095,0.5969884090591222,0.016561510567278247,0.5814724615702709,40,13,27,0,0.03333333333333333,0.010833333333333334,0.0225,0.0,3.0
-199.91066,1200,28.252556,0.0,0.0,9.323783693450107,-199.91065972983807,0.0,0.0,0.0,0.0,0.024109521217531595,1200,0.6253689296052792,0.061676645441161436,0.2585745605050522,0.7800825855943064,0.8204470347395788,0.6466652032919228,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,3.0
-396.199794,1200,38.519166,0.0,0.0,6.0150505530184395,-396.199793817516,0.0,0.0,0.0,0.0,0.028553273786258306,1200,0.691264489912814,0.5060654755186543,0.9975529490868009,0.7949002358317375,0.8519896421022713,0.602902406839033,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,3.0
-298.466327,1200,49.42357,0.0,0.0,7.328922318391612,-298.46632717660594,0.0,0.0,0.0,0.0,0.031531421985171434,1200,0.6612196414593295,0.3110500120621468,0.9996855077075243,0.7968655441577236,0.8273017167020589,0.6235263845386605,0.0,54.68623970366204,0,0,0,0,0.0,0.0,0.0,0.0,3.0
-379.643147,779,56.616685,0.0,1.0,-6.078037642724022,-379.6431472276677,1.0,1.0,0.0,0.0,0.014339455972710873,779,0.6826238285755207,0.4696154373557067,1.0436355121248067,0.7802263631632453,0.8200068793215326,0.64216972800481,0.014196536962704735,0.6170294034250341,14,0,14,0,0.01797175866495507,0.0,0.01797175866495507,0.0,3.0
-634.773881,1200,67.067914,0.0,0.0,6.102745975046222,-634.7738805550002,0.0,0.0,0.0,0.0,0.026494852594114826,1200,0.646920333104917,0.6217557277558987,1.6475739421310451,0.7298577463378509,0.8163982465599353,0.6167328321343909,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,3.0
-1188.693844,1030,75.110301,0.0,1.0,-6.449246176989183,-1188.6938440557017,0.0,0.0,0.0,1.0,0.03342017863362491,1030,0.7967404812352745,1.100078820347996,2.0,0.747373721553284,0.8014183122737025,0.6231752442575774,0.0,89.73843058681122,0,0,0,0,0.0,0.0,0.0,0.0,3.0
-378.577481,1200,85.530667,0.0,0.0,7.0737783501603175,-378.5774808762108,0.0,0.0,0.0,0.0,0.021338710899088502,1200,0.7603171826528807,0.4557753532411186,0.9996000244275933,0.7066173421964049,0.8033160686981864,0.6183015122342234,0.004642118289945636,3.1269218456043517,30,24,6,0,0.025,0.02,0.005,0.0,3.0
-830.958989,1200,95.236622,0.0,0.0,4.099287251359154,-830.9589887500581,0.0,0.0,0.0,0.0,0.03291044911992163,1200,0.5833246829934154,0.8169926680458169,2.0,0.7590316692739725,0.8420533737385024,0.6561176579507688,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,3.0
