#{"t_start": 1782751963.407898, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-108.046811,600,2.481299,0.0,0.0,5.844030620524983,-108.04681074529933,0.0,0.0,0.0,0.0,0.09755236801856226,600,0.7512542568215197,0.2137945267498462,0.3530863194387713,0.8157976690835009,0.825494081856062,0.6341201469674707,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-94.303297,600,4.828531,0.0,0.0,5.492865510824563,-94.30329655312335,0.0,0.0,0.0,0.0,0.1027109873675983,600,0.704171501027268,0.07366694554967264,0.13601951340900897,0.8123098123446106,0.8095125110882024,0.5916764781748255,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-155.805234,600,6.411718,0.0,0.0,6.826894492238643,-155.8052344756144,0.0,0.0,0.0,0.0,0.1524455540407599,600,0.9703512049927762,0.40626032355011354,0.9952255036959001,0.7949315359691779,0.8086610710372527,0.6306057325005532,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-129.697616,600,8.628164,0.0,0.0,7.397813840364647,-129.69761563558728,0.0,0.0,0.0,0.0,0.16558451115043424,600,0.8668814838560938,0.30824655699250303,0.8835060917030746,0.8588757734559477,0.761299894452095,0.6007884808878103,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-88.653779,600,10.08262,0.0,0.0,9.196566096101423,-88.65377863335924,0.0,0.0,0.0,0.0,0.1391084660047048,600,0.9107721269297122,0.0977022107913146,0.2053418709102484,0.7971403391566128,0.8338308838009835,0.6382845105975866,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-438.487677,600,12.307447,0.0,0.0,6.514330372579377,-438.4876766335565,0.0,0.0,0.0,0.0,0.18465755515111118,600,1.135277515030451,0.916196116638585,1.8021052208457118,0.7858803215793645,0.7456805761779348,0.5940830594052872,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-102.166184,600,14.536681,0.0,0.0,10.161546884872195,-102.1661843227264,0.0,0.0,0.0,0.0,0.1541865857246293,600,1.0424689601682096,0.23669232159916162,0.4140836170324005,0.8499218103475868,0.7960345011080304,0.623046541934212,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-123.405057,600,16.170517,0.0,0.0,9.937577208292707,-123.40505673507741,0.0,0.0,0.0,0.0,0.13984430098029813,600,1.0578967443336345,0.29691199042619926,0.7866239293051225,0.796509927312533,0.7859480775644382,0.5904414099951585,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-108.737413,600,18.544749,0.0,0.0,10.782567304174247,-108.73741286626232,0.0,0.0,0.0,0.0,0.15344530176988702,600,1.0632154826921296,0.25599330258323755,0.5619229093420797,0.8136401443059246,0.7607446165134509,0.5990358033776283,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-126.356519,600,20.293588,0.0,0.0,8.961062909646149,-126.3565191019395,0.0,0.0,0.0,0.0,0.1393796839514974,600,1.0118697621047217,0.30254675834061723,0.7213645430520629,0.7851570005094012,0.791394732631743,0.6237364040563503,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
