variant,algo,seed,density,episode,reward,shaped_reward,success,collision,out_of_road,cost,mean_speed_kmh,steering_variation,ttc_risk
proposed,ppo,0,0.0,0,163.89267971105502,155.04289554271801,0.0,1.0,0.0,1.0,49.00316379098253,0.05596073129586875,0.048739674631810746
proposed,ppo,0,0.0,1,156.19670445346912,151.89580838452127,0.0,0.0,1.0,1.0,48.62738659691461,0.049137507342031136,0.0
proposed,ppo,0,0.0,2,372.6816507244956,360.6529074308594,0.0,0.0,1.0,1.0,43.83112683932032,0.075534827325927,0.0
proposed,ppo,0,0.0,3,181.99937476226484,179.3923721777793,0.0,0.0,1.0,1.0,55.662084054547634,0.04717655766616799,0.0
proposed,ppo,0,0.0,4,227.34822385672211,216.31660653394357,0.0,0.0,1.0,1.0,42.15859514331494,0.06281941947882218,0.0
proposed,ppo,0,0.0,5,180.3012315315973,177.16117153040622,0.0,0.0,1.0,1.0,55.26694897539052,0.04674918196271828,0.0
proposed,ppo,0,0.0,6,176.86757718324975,173.06502033244763,0.0,0.0,1.0,1.0,50.1481627824857,0.04585066611925475,0.0
proposed,ppo,0,0.0,7,252.53491282664112,246.5992245534024,0.0,0.0,1.0,1.0,43.42037123311616,0.05062252126561,0.0
proposed,ppo,0,0.0,8,297.7595648671209,292.83436930922835,0.0,0.0,1.0,1.0,55.45870698523626,0.0681999157811515,0.0
proposed,ppo,0,0.0,9,168.72873826077043,163.71607094331299,0.0,0.0,1.0,1.0,50.22600059349491,0.05259684313399096,0.0
proposed,ppo,0,0.0,10,307.09232789990006,296.5804244181845,0.0,0.0,1.0,1.0,56.56344863573813,0.07613387100080181,0.0513999761235473
proposed,ppo,0,0.0,11,214.7312895368248,209.35662841988497,0.0,0.0,1.0,1.0,49.1583796447121,0.04935585121420445,0.0
proposed,ppo,0,0.0,12,66.59672327699829,63.92203887272874,0.0,0.0,1.0,1.0,36.86430670658205,0.028269494588993773,0.0
proposed,ppo,0,0.0,13,70.99606702411403,67.66245621000324,0.0,0.0,1.0,1.0,36.55174085218585,0.02883391032016582,0.0
proposed,ppo,0,0.0,14,60.21568162740556,58.2269712360151,0.0,0.0,1.0,1.0,35.51871715414144,0.041281175785971916,0.0
proposed,ppo,0,0.0,15,368.30421483080175,359.88222666937065,0.0,0.0,1.0,1.0,64.44661757553651,0.0712231111012023,0.0
proposed,ppo,0,0.0,16,144.13387373777985,141.0741691288309,0.0,0.0,1.0,1.0,49.499039757192506,0.04242667496354053,0.0
proposed,ppo,0,0.0,17,223.8151425337832,220.38180122506125,0.0,0.0,1.0,1.0,55.55720783486645,0.047856400342227344,0.0
proposed,ppo,0,0.0,18,215.88564820788224,209.61733098280817,0.0,0.0,1.0,1.0,43.37006129313338,0.04554852359514269,0.0
proposed,ppo,0,0.0,19,380.43606900644266,372.29741456508316,0.0,0.0,1.0,1.0,50.256165583252105,0.09970506204400158,0.0
proposed,ppo,0,0.1,0,106.71563609772875,99.79244033811608,0.0,1.0,0.0,1.0,42.47664574443942,0.051829271674889356,0.06776175253537027
proposed,ppo,0,0.1,1,156.19671227824304,151.89581426539775,0.0,0.0,1.0,1.0,48.627389419244246,0.04913418258914388,0.0
proposed,ppo,0,0.1,2,161.41589202430166,148.52824952345773,0.0,1.0,0.0,1.0,50.58003546454898,0.05357981325279729,0.13768472999789724
proposed,ppo,0,0.1,3,117.70550843749099,107.26821795341904,0.0,1.0,0.0,1.0,48.080265297198125,0.030019857731371464,0.16090295045415706
proposed,ppo,0,0.1,4,186.9224281484466,167.5551451172581,0.0,1.0,0.0,1.0,53.48193354487796,0.08528314841045874,0.2012393304569515
proposed,ppo,0,0.1,5,175.34939676224832,166.32065088180167,0.0,0.0,1.0,1.0,55.11300582371379,0.04818081518073281,0.06869854413695008
proposed,ppo,0,0.1,6,176.897183248436,169.55844719915305,0.0,0.0,1.0,1.0,46.91355412348232,0.06561033085583606,0.026474201929998734
proposed,ppo,0,0.1,7,117.86096439345677,105.74655132164706,0.0,1.0,0.0,1.0,45.33032790539615,0.04596854570748595,0.16425963412754271
proposed,ppo,0,0.1,8,299.6284086898925,278.9383615692165,0.0,0.0,1.0,1.0,56.52320055180175,0.0687410025857389,0.12784762103449474
proposed,ppo,0,0.1,9,96.68551535245281,88.59390786947463,0.0,1.0,0.0,1.0,42.94577289651828,0.03817208931701238,0.09794278417074516
proposed,ppo,0,0.1,10,75.22097537154863,68.5525538055948,0.0,1.0,0.0,1.0,36.25781161734746,0.050019337922405406,0.09490974813283119
proposed,ppo,0,0.1,11,83.30100088503471,73.49466857792846,0.0,1.0,0.0,1.0,40.96839094426073,0.03982294876999282,0.16033106575195072
proposed,ppo,0,0.1,12,66.59753509224583,62.07174477478156,0.0,0.0,1.0,1.0,36.86502355023069,0.02840291345609894,0.039051758717425826
proposed,ppo,0,0.1,13,71.16888822482852,68.01186143344539,0.0,0.0,1.0,1.0,36.54622319391635,0.034587615694807367,0.0
proposed,ppo,0,0.1,14,60.138098219519776,58.02871456479688,0.0,0.0,1.0,1.0,35.33429176712307,0.047366794376798416,0.0
proposed,ppo,0,0.1,15,122.532891490331,112.38943579235148,0.0,1.0,0.0,1.0,48.16018784513786,0.037559144657125024,0.11193966612339157
proposed,ppo,0,0.1,16,144.44106050009736,141.68556152052614,0.0,0.0,1.0,1.0,49.35286378027624,0.04777283174917102,0.0
proposed,ppo,0,0.1,17,268.0840594623033,239.2476149099099,0.0,1.0,0.0,1.0,47.41650454986852,0.06976360555215762,0.1690931859966153
proposed,ppo,0,0.1,18,186.0524434139643,172.50622298865005,0.0,1.0,0.0,1.0,52.611121553078284,0.07783280322837527,0.12588044928902473
proposed,ppo,0,0.1,19,240.47685182749535,232.61643740685622,0.0,1.0,0.0,1.0,48.1385274598432,0.10141826113325786,0.024386563754017047
proposed,ppo,0,0.25,0,49.264237707719545,38.18611042953427,0.0,1.0,0.0,1.0,31.94978240340134,0.024758270998928147,0.2458306041564768
proposed,ppo,0,0.25,1,58.89067070321639,48.47328502997605,0.0,1.0,0.0,1.0,34.31788902407589,0.01693294728598134,0.22263212964291662
proposed,ppo,0,0.25,2,49.453501431039186,39.659517218607924,0.0,1.0,0.0,1.0,32.3011723781128,0.036108601532998635,0.21555508232302775
proposed,ppo,0,0.25,3,65.80129324128443,56.43196694457265,0.0,1.0,0.0,1.0,37.370619569170955,0.019977971432073152,0.20077276133981642
proposed,ppo,0,0.25,4,58.66356560473346,47.294795852517765,0.0,1.0,0.0,1.0,33.36148388296449,0.07402388601164733,0.2081501879690883
proposed,ppo,0,0.25,5,92.92084671883448,80.71631608393692,0.0,1.0,0.0,1.0,42.048267341170686,0.05319106559471104,0.19717865946335902
proposed,ppo,0,0.25,6,64.44219877568777,53.46817488858652,0.0,1.0,0.0,1.0,35.95125267909935,0.03901427636341448,0.19987916948417367
proposed,ppo,0,0.25,7,61.68360304965388,52.57261228025113,0.0,1.0,0.0,1.0,35.04440430619202,0.0306766626789518,0.17756201844814473
proposed,ppo,0,0.25,8,68.0026847979783,65.64966423591017,0.0,0.0,1.0,1.0,36.74741404562874,0.037734002116709374,0.0
proposed,ppo,0,0.25,9,61.38729948848966,48.200551379142055,0.0,1.0,0.0,1.0,35.13758752523454,0.05626959715257673,0.273873704027065
proposed,ppo,0,0.25,10,61.52184141512774,50.98184053647412,0.0,1.0,0.0,1.0,34.113392506364,0.04311988668715847,0.20340386188042417
proposed,ppo,0,0.25,11,47.21999933298333,38.071702232629825,0.0,1.0,0.0,1.0,31.92563085091252,0.018852528089941558,0.21209329901871174
proposed,ppo,0,0.25,12,66.6328995893183,63.957456702296476,0.0,0.0,1.0,1.0,36.83079599910878,0.028609481507535034,0.0
proposed,ppo,0,0.25,13,71.04974043348159,67.8120013691736,0.0,0.0,1.0,1.0,36.58103260990729,0.03253446412861519,0.0
proposed,ppo,0,0.25,14,60.23542946892559,58.16803859560834,0.0,0.0,1.0,1.0,35.56694768124499,0.04259731443872785,0.0015581888440302978
proposed,ppo,0,0.25,15,59.210140856669184,46.925513428851396,0.0,1.0,0.0,1.0,35.28277960367494,0.04268272727318673,0.2388182393932008
proposed,ppo,0,0.25,16,151.04770422617517,148.10499800567385,0.0,0.0,1.0,1.0,48.1520831064012,0.0573935032490704,0.0
proposed,ppo,0,0.25,17,60.15744305399329,47.75942574141479,0.0,1.0,0.0,1.0,35.20735164407288,0.0443220616999402,0.26972469847934805
proposed,ppo,0,0.25,18,45.41897639162144,35.90247225867066,0.0,1.0,0.0,1.0,31.836683247633612,0.01995512945898648,0.22732063081023499
proposed,ppo,0,0.25,19,68.30220966673639,58.93131003138279,0.0,1.0,0.0,1.0,32.4641155399642,0.09549567787112986,0.13534363798058
