label	train_seed	test_start_seed	densities	status	start	end	eval_csv	log	config_json	model	source_run
guard_only	0	20000	0.08 0.15	ok	2026-07-01T04:26:26+08:00	2026-07-01T04:28:27+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/guard_only_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/guard_only_s0_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/guard_only_s0_test20000.json	outputs/tuned_ablation_guard_only_nenv16_seed0_1m/runs/guard_only_ppo_s0/model/final_model.zip	outputs/tuned_ablation_guard_only_nenv16_seed0_1m/runs/guard_only_ppo_s0
guard_only	1	20000	0.08 0.15	ok	2026-07-01T04:28:27+08:00	2026-07-01T04:30:38+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/guard_only_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/guard_only_s1_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/guard_only_s1_test20000.json	outputs/tuned_ablation_guard_only_nenv16_seed1_1m/runs/guard_only_ppo_s1/model/final_model.zip	outputs/tuned_ablation_guard_only_nenv16_seed1_1m/runs/guard_only_ppo_s1
guard_only	2	20000	0.08 0.15	ok	2026-07-01T04:30:38+08:00	2026-07-01T04:32:45+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/guard_only_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/guard_only_s2_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/guard_only_s2_test20000.json	outputs/tuned_ablation_guard_only_nenv16_seed2_1m/runs/guard_only_ppo_s2/model/final_model.zip	outputs/tuned_ablation_guard_only_nenv16_seed2_1m/runs/guard_only_ppo_s2
shield_only	0	20000	0.08 0.15	ok	2026-07-01T04:32:45+08:00	2026-07-01T04:34:47+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/shield_only_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/shield_only_s0_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/shield_only_s0_test20000.json	outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0/model/final_model.zip	outputs/tuned_compare_shield_only_nenv16_seed0_1m/runs/shield_only_ppo_s0
shield_only	1	20000	0.08 0.15	ok	2026-07-01T04:34:47+08:00	2026-07-01T04:37:00+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/shield_only_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/shield_only_s1_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/shield_only_s1_test20000.json	outputs/tuned_compare_shield_only_nenv16_seed1_1m/runs/shield_only_ppo_s1/model/final_model.zip	outputs/tuned_compare_shield_only_nenv16_seed1_1m/runs/shield_only_ppo_s1
shield_only	2	20000	0.08 0.15	ok	2026-07-01T04:37:00+08:00	2026-07-01T04:39:00+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/shield_only_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/shield_only_s2_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/shield_only_s2_test20000.json	outputs/tuned_compare_shield_only_nenv16_seed2_1m/runs/shield_only_ppo_s2/model/final_model.zip	outputs/tuned_compare_shield_only_nenv16_seed2_1m/runs/shield_only_ppo_s2
retuned_full	0	20000	0.08 0.15	ok	2026-07-01T04:39:00+08:00	2026-07-01T04:41:13+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/retuned_full_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/retuned_full_s0_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/retuned_full_s0_test20000.json	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0
retuned_full	1	20000	0.08 0.15	ok	2026-07-01T04:41:13+08:00	2026-07-01T04:43:15+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/retuned_full_ppo_s1.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/retuned_full_s1_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/retuned_full_s1_test20000.json	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed1_1m/runs/proposed_ppo_s1/model/final_model.zip	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed1_1m/runs/proposed_ppo_s1
retuned_full	2	20000	0.08 0.15	ok	2026-07-01T04:43:15+08:00	2026-07-01T04:45:16+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/retuned_full_ppo_s2.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/retuned_full_s2_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/retuned_full_s2_test20000.json	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip	outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2
proposed_gated_risk	0	20000	0.08 0.15	ok	2026-07-01T04:45:16+08:00	2026-07-01T04:47:10+08:00	outputs/external_seed_robustness_nenv16_20260701_0425/evaluations/test_start_20000/proposed_gated_risk_ppo_s0.csv	outputs/external_seed_robustness_nenv16_20260701_0425/logs/proposed_gated_risk_s0_test20000.log	outputs/external_seed_robustness_nenv16_20260701_0425/configs/proposed_gated_risk_s0_test20000.json	outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0/model/final_model.zip	outputs/gated_risk_proposed_nenv16_seed0_1m/runs/proposed_gated_risk_ppo_s0
