variant,density,protocol_class,success_mean,success_std,route_completion_mean,route_completion_std,collision_mean,collision_std,out_of_road_mean,out_of_road_std,cost_mean,cost_std,reward_mean,reward_std,shaped_reward_mean,shaped_reward_std,episode_length_mean,episode_length_std,mean_speed_kmh_mean,mean_speed_kmh_std,shield_intervention_rate_mean,shield_intervention_rate_std,shield_soft_rate_mean,shield_soft_rate_std,shield_hard_rate_mean,shield_hard_rate_std,overspeed_guard_rate_mean,overspeed_guard_rate_std,seed_count,source_csv,config_json
baseline,0.0,final_benchmark,0.0,0.0,0.33600948244248274,0.012829341275709595,0.0,0.0,1.0,0.0,1.0,0.0,128.63913330014515,3.2941404930676557,128.63913330014515,3.2941404930676557,143.46,7.467047609329944,46.75478194268465,0.649003209000149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s1.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s1/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json
baseline,0.0,inconsistent_protocol,0.0,,0.40241865702014584,,0.0,,1.0,,1.0,,130.43302999266712,,130.43302999266712,,163.02,,49.38531202418663,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/baseline_ppo_s0/config.json
baseline,0.0,screening,0.05,,,,0.05,,0.9,,0.95,,213.20732576444772,,213.20732576444772,,,,48.57771129813296,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/baseline_ppo_s0/config.json
baseline,0.08,final_benchmark,0.07,0.09899494936611666,0.3161549975261193,0.13214098875494196,0.4,0.14142135623730953,0.53,0.04242640687119289,0.9299999999999999,0.09899494936611662,128.19231491457782,64.49499810767837,128.19231491457782,64.49499810767837,166.37,95.98267447826197,41.152630904256796,2.685135597026421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s1.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s1/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json
baseline,0.08,inconsistent_protocol,0.0,,0.3155933171718192,,0.46,,0.54,,1.0,,96.71228690627359,,96.71228690627359,,128.3,,47.25911834874987,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/baseline_ppo_s0/config.json
baseline,0.1,screening,0.0,,,,0.65,,0.35,,1.0,,118.91421226471277,,118.91421226471277,,,,42.87396574791287,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/baseline_ppo_s0/config.json
baseline,0.15,final_benchmark,0.02,0.0282842712474619,0.28670002434934094,0.10434134474170306,0.63,0.07071067811865482,0.35,0.04242640687119287,0.98,0.028284271247461926,112.77669601947795,49.3713538128397,112.77669601947795,49.3713538128397,165.07,88.77018531015919,38.09071222248363,2.6356729787331106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s1.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s1/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json
baseline,0.15,inconsistent_protocol,0.0,,0.2056873257753436,,0.64,,0.36,,1.0,,57.680574055762264,,57.680574055762264,,93.66,,40.09812356892851,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/baseline_ppo_s0/config.json
baseline,0.25,screening,0.0,,,,0.7,,0.3,,1.0,,88.93170358192815,,88.93170358192815,,,,38.64500329705805,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/baseline_ppo_s0/config.json
curriculum,0.0,inconsistent_protocol,0.06,,0.4453698443245647,,0.0,,0.94,,0.94,,182.56903111868098,,182.56903111868098,,174.2,,50.271073032801716,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/config.json
curriculum,0.0,screening,0.0,,,,0.1,,0.9,,1.0,,196.62007964954515,,196.62007964954515,,,,48.52365330176939,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/config.json
curriculum,0.08,inconsistent_protocol,0.02,,0.2996269860636584,,0.4,,0.58,,0.98,,98.7474034916044,,98.7474034916044,,123.74,,45.11812723018494,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/config.json
curriculum,0.1,screening,0.0,,,,0.3,,0.7,,1.0,,156.37744657851457,,156.37744657851457,,,,47.28905125854918,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/config.json
curriculum,0.15,inconsistent_protocol,0.0,,0.2016355007325246,,0.76,,0.24,,1.0,,62.98527231772163,,62.98527231772163,,93.22,,39.47354832767482,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/config.json
curriculum,0.25,screening,0.0,,,,0.55,,0.45,,1.0,,117.27168531380899,,117.27168531380899,,,,43.724280841200375,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/config.json
defensive_proposed,0.0,final_benchmark,0.9666666666666667,0.023094010767585042,0.9894819195860615,0.0005126081837453364,0.0,0.0,0.0,0.0,0.0,0.0,541.9389314782762,5.578292119232829,346.3966710050718,5.478023573134211,1099.2066666666667,4.964527503532734,18.302887675430274,0.019344672332606946,0.870074199152204,0.004199525802335008,0.0,0.0,0.0,0.0,0.870074199152204,0.004199525802335008,3,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_ttc12_v18_nenv10_final/evaluations/defensive_proposed_ppo_s26.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_ttc12_v18_nenv10_final/evaluations/defensive_proposed_ppo_s27.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_ttc12_v18_nenv10_final/evaluations/defensive_proposed_ppo_s28.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_ttc12_v18_nenv10_final/runs/defensive_proposed_ppo_s26/config.json|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_ttc12_v18_nenv10_final/runs/defensive_proposed_ppo_s27/config.json|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/defensive_ttc12_v18_nenv10_final/runs/defensive_proposed_ppo_s28/config.json
