variant,density,protocol_class,success_mean,success_std,route_completion_mean,route_completion_std,collision_mean,collision_std,out_of_road_mean,out_of_road_std,cost_mean,cost_std,reward_mean,reward_std,shaped_reward_mean,shaped_reward_std,episode_length_mean,episode_length_std,mean_speed_kmh_mean,mean_speed_kmh_std,shield_intervention_rate_mean,shield_intervention_rate_std,shield_soft_rate_mean,shield_soft_rate_std,shield_hard_rate_mean,shield_hard_rate_std,overspeed_guard_rate_mean,overspeed_guard_rate_std,seed_count,source_csv,config_json
baseline,0.0,inconsistent_protocol,0.0,0.0,0.35814587396837044,0.039399942742934194,0.0,0.0,1.0,0.0,1.0,0.0,129.23709886431914,2.5491899187482563,129.23709886431914,2.5491899187482563,149.98000000000002,12.466338676612299,47.63162530318531,1.5865577264028299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s1.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/baseline_ppo_s0/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s1/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json
baseline,0.0,screening,0.05,,,,0.05,,0.9,,0.95,,213.20732576444772,,213.20732576444772,,,,48.57771129813296,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/baseline_ppo_s0/config.json
baseline,0.08,inconsistent_protocol,0.04666666666666667,0.08082903768654762,0.3159677707413526,0.09343835195557362,0.42,0.10583005244258362,0.5333333333333333,0.03055050463303897,0.9533333333333333,0.08082903768654763,117.69897224514308,49.09310655875485,117.69897224514308,49.09310655875485,153.68,71.34034763021555,43.18812671908782,4.004335927940245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s1.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/baseline_ppo_s0/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s1/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json
baseline,0.1,screening,0.0,,,,0.65,,0.35,,1.0,,118.91421226471277,,118.91421226471277,,,,42.87396574791287,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/baseline_ppo_s0/config.json
baseline,0.15,inconsistent_protocol,0.013333333333333334,0.023094010767585032,0.2596957914913418,0.08735699106540118,0.6333333333333333,0.05033222956847169,0.35333333333333333,0.030550504633038926,0.9866666666666667,0.023094010767585067,94.41132203157274,47.22950533091765,94.41132203157274,47.22950533091765,141.26666666666668,75.09906080193903,38.75984933796526,2.194679808846189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s1.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/baseline_ppo_s2.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/baseline_ppo_s0/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s1/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json
baseline,0.25,screening,0.0,,,,0.7,,0.3,,1.0,,88.93170358192815,,88.93170358192815,,,,38.64500329705805,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/baseline_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/baseline_ppo_s0/config.json
curriculum,0.0,inconsistent_protocol,0.03333333333333333,0.023094010767585032,0.38906430977890577,0.0617004847242047,0.0,0.0,0.9666666666666667,0.023094010767585042,0.9666666666666667,0.023094010767585042,149.1350871387621,29.490507750576374,149.1350871387621,29.490507750576374,158.71333333333334,19.265163724540038,48.19927203981188,1.9275200148037541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/curriculum_ppo_s1.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/curriculum_ppo_s2.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s2/config.json
curriculum,0.0,screening,0.0,,,,0.1,,0.9,,1.0,,196.62007964954515,,196.62007964954515,,,,48.52365330176939,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/config.json
curriculum,0.08,inconsistent_protocol,0.006666666666666667,0.011547005383792516,0.26617986283098743,0.02906289965383103,0.4266666666666667,0.04618802153517003,0.5666666666666667,0.04163331998932263,0.9933333333333333,0.011547005383792535,90.50695153366739,7.557398567397142,90.50695153366739,7.557398567397142,120.89333333333333,6.495978242984915,43.14049886448192,2.224405300578327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/curriculum_ppo_s1.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/iscsic_main_nenv10_1p5m_ent001/evaluations/curriculum_ppo_s2.csv|/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/paper_comparison_seed0/runs/curriculum_ppo_s0/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json|outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s2/config.json
curriculum,0.1,screening,0.0,,,,0.3,,0.7,,1.0,,156.37744657851457,,156.37744657851457,,,,47.28905125854918,,,,,,,,,,1,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/evaluations/curriculum_ppo_s0.csv,/home/aaa/data/qj/stable-baselines3-master/risk_curriculum_metadrive/outputs/runs/curriculum_ppo_s0/config.json
