variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
horizon1500_s1_100w,ppo,1,10000,7,0.0,0,499.73700775071296,319.7456560556043,1.0,0.9902466576408894,0.0,0.0,0.0,0.0,0.0,932,20.26516981183123,0.1266667895321738,0.3768853989237621,0.0107281830205777,0.2224237691179365,0.2234967304913271,0.0,
horizon1500_s1_100w,ppo,1,10001,7,0.0,1,496.5191548104827,319.1042998098149,1.0,0.9898237238152128,0.0,0.0,0.0,0.0,0.0,909,20.245989551631933,0.1073668996098524,0.49674828614102,0.0114858102240897,0.2253936070157881,0.2275938270377903,0.0,
horizon1500_s1_100w,ppo,1,10002,7,0.0,2,533.0867365123715,339.3052026299285,1.0,0.9910652815111648,0.0,0.0,0.0,0.0,0.0,982,20.2690540258521,0.1135907795885692,0.2662697536956777,0.0108399575779142,0.2226657555448062,0.2247024154226066,0.0,
horizon1500_s1_100w,ppo,1,10003,7,0.0,3,476.3706958647893,316.6170672815247,1.0,0.9902049927318896,0.0,0.0,0.0,0.0,0.0,828,20.262551968569475,0.0631346159888621,0.2242657004195373,0.0090607260545076,0.2101449275362318,0.2125603864734299,0.0,
horizon1500_s1_100w,ppo,1,10004,7,0.0,4,587.5458951204492,372.2267366343922,1.0,0.9916090661141742,0.0,0.0,0.0,0.0,0.0,1002,20.30581130467374,0.0390168083384817,0.2841797076580963,0.0086127236567274,0.2095808383233532,0.2115768463073852,0.0,
horizon1500_s1_100w,ppo,1,10005,7,0.0,5,468.58271270520737,306.0871729740086,1.0,0.9903290856297758,0.0,0.0,0.0,0.0,0.0,869,20.281254849081144,0.1256517376278247,0.3895000460358476,0.0092658484852963,0.2094361334867664,0.2117376294591484,0.0,
horizon1500_s1_100w,ppo,1,10006,7,0.0,6,598.9965498943175,368.403218019076,1.0,0.9926359035728184,0.0,0.0,0.0,0.0,0.0,1107,20.325839590724463,0.1166138522115812,0.4148131081964249,0.0092134446830277,0.211342003610399,0.213148688343913,0.0,
horizon1500_s1_100w,ppo,1,10007,7,0.0,7,805.1823479073732,472.8776603960866,1.0,0.9948242038323546,0.0,0.0,0.0,0.0,0.0,1453,20.300299764325164,0.0844037524975917,0.2942548143303405,0.0100876496658011,0.2323833571084187,0.2337598195998158,0.0,
horizon1500_s1_100w,ppo,1,10008,7,0.0,8,503.2692880876638,328.323493246333,1.0,0.9908385697007814,0.0,0.0,0.0,0.0,0.0,888,20.245667077830173,0.0738633918957669,0.3082103486247426,0.0107170073184402,0.2229438452301798,0.2251960974824321,0.0,
horizon1500_s1_100w,ppo,1,10009,7,0.0,9,469.5031570393553,310.9972760808691,1.0,0.98857453413211,0.0,0.0,0.0,0.0,0.0,826,20.243454131621892,0.0733903341372177,0.3590423685151044,0.0096005520453004,0.2203389830508474,0.2227602905569007,0.0,
