variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,1,10000,7,0.0,0,499.73700775071296,319.7456560556043,1.0,0.9902466576408894,0.0,0.0,0.0,0.0,0.0,932,20.26516981183123,0.12666678953217386,0.3768853989237621,0.010728183020577793,0.22242376911793654,0.22349673049132712,0.0,
proposed,ppo,1,10001,7,0.0,1,496.5191548104827,319.1042998098149,1.0,0.9898237238152127,0.0,0.0,0.0,0.0,0.0,909,20.245989551631933,0.1073668996098524,0.49674828614102007,0.011485810224089784,0.2253936070157881,0.2275938270377903,0.0,
proposed,ppo,1,10002,7,0.0,2,533.0867365123715,339.3052026299285,1.0,0.9910652815111647,0.0,0.0,0.0,0.0,0.0,982,20.2690540258521,0.11359077958856927,0.26626975369567774,0.010839957577914242,0.2226657555448062,0.2247024154226066,0.0,
proposed,ppo,1,10003,7,0.0,3,476.3706958647893,316.6170672815247,1.0,0.9902049927318897,0.0,0.0,0.0,0.0,0.0,828,20.262551968569475,0.06313461598886216,0.2242657004195373,0.009060726054507681,0.21014492753623187,0.21256038647342995,0.0,
proposed,ppo,1,10004,7,0.0,4,587.5458951204492,372.22673663439224,1.0,0.9916090661141742,0.0,0.0,0.0,0.0,0.0,1002,20.30581130467374,0.03901680833848172,0.2841797076580963,0.008612723656727406,0.20958083832335328,0.21157684630738524,0.0,
proposed,ppo,1,10005,7,0.0,5,468.58271270520737,306.0871729740086,1.0,0.9903290856297758,0.0,0.0,0.0,0.0,0.0,869,20.281254849081144,0.1256517376278247,0.38950004603584765,0.009265848485296388,0.2094361334867664,0.21173762945914845,0.0,
proposed,ppo,1,10006,7,0.0,6,598.9965498943175,368.40321801907595,1.0,0.9926359035728185,0.0,0.0,0.0,0.0,0.0,1107,20.325839590724463,0.11661385221158128,0.4148131081964249,0.009213444683027757,0.21134200361039904,0.21314868834391304,0.0,
proposed,ppo,1,10007,7,0.0,7,651.0693734239142,343.032912378575,0.0,0.8244527395728101,0.0,0.0,0.0,0.0,0.0,1200,20.270966214931917,0.08072705573018674,0.25901113238278434,0.008946292287437246,0.23,0.23166666666666666,0.0,
proposed,ppo,1,10008,7,0.0,8,503.27016938368365,328.32387956408184,1.0,0.9908395040512455,0.0,0.0,0.0,0.0,0.0,888,20.245687568470636,0.07386255469920718,0.308223192571105,0.01071709521410584,0.2229438617422774,0.22519611399452966,0.0,
proposed,ppo,1,10009,7,0.0,9,469.50309365919486,310.99722841859176,1.0,0.9885740109829684,0.0,0.0,0.0,0.0,0.0,826,20.243445825722315,0.07338995446138306,0.35904622936304925,0.00960061090691669,0.22033898305084745,0.22276029055690072,0.0,
proposed,ppo,1,10010,7,0.0,10,549.8197192520372,346.512632872056,1.0,0.9912791590479894,0.0,0.0,0.0,0.0,0.0,1013,20.236122230517605,0.11094183795356065,0.4254682539507649,0.011050601485245084,0.2329355945474186,0.23392276137861306,0.0,
proposed,ppo,1,10011,7,0.0,11,600.1764111719999,377.1385962047199,1.0,0.9925123964326922,0.0,0.0,0.0,0.0,0.0,1055,20.296784524267792,0.06755593122761529,0.17950991526215118,0.00876144216709298,0.21421800947867298,0.2161137440758294,0.0,
proposed,ppo,1,10012,7,0.0,12,443.02436227831856,298.98631242834347,1.0,0.9888757059334188,0.0,0.0,0.0,0.0,0.0,779,20.2177012940459,0.07365975859647085,0.37354656545500026,0.010712561104924865,0.2233632862644416,0.2246469833119384,0.0,
proposed,ppo,1,10013,7,0.0,13,527.5615391629499,337.5507547566171,1.0,0.9919767279412169,0.0,0.0,0.0,0.0,0.0,956,20.273474259190518,0.09954744515756855,0.24265141500096218,0.009466285708703288,0.2175732217573222,0.2196652719665272,0.0,
proposed,ppo,1,10014,7,0.0,14,638.9828162802346,334.6025425265459,0.0,0.8241227866093342,0.0,0.0,0.0,0.0,0.0,1200,20.3023992776231,0.0982819639443697,0.251013256739339,0.010543259199475869,0.2228975135087967,0.22373084684213002,0.0,
proposed,ppo,1,10015,7,0.0,15,667.7607428497387,357.6319189931902,0.0,0.9505892303747734,0.0,0.0,0.0,0.0,0.0,1200,20.32189020036274,0.058492812732844186,0.29488611149427374,0.008619431245994444,0.21666666666666667,0.2175,0.0,
proposed,ppo,1,10016,7,0.0,16,471.0159263739361,308.52690583924766,1.0,0.9906239036105982,0.0,0.0,0.0,0.0,0.0,870,20.193773874594847,0.11714425769098263,0.380981660390071,0.010556335330287787,0.23218390804597702,0.23448275862068965,0.0,
