variant,algo,seed,density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,ttc_risk,min_ttc
horizon1500_ckpt702,ppo,0,0.0,1.0,0.9916979578702939,0.0,0.0,0.0,517.3154197884891,316.0781716925928,1030.1,20.161873045543352,0.18247633951975462,0.01795778646675665,0.0,
horizon1500_ckpt702,ppo,0,0.08,0.9,0.9605791885263676,0.05,0.0,0.05,494.32530815808724,276.53524073465036,1022.95,19.72264763584024,0.19510189154373114,0.01991188244414791,0.0032267169756156114,5.1446906248353566
horizon1500_ckpt702,ppo,0,0.15,0.5,0.726285749139554,0.4,0.05,0.45,341.6214809840794,50.0725137290029,901.25,16.840985649343942,0.2343386200691655,0.022825303539578515,0.0133915816701176,2.5807524484307653
horizon1500_s0_100w,ppo,0,0.0,1.0,0.9917039070916838,0.0,0.0,0.0,447.9659600165787,248.8124226415859,1026.85,20.278601646429276,0.2958454824092577,0.008730799212303141,0.0,
horizon1500_s0_100w,ppo,0,0.08,0.85,0.8919030486828985,0.15,0.0,0.15,401.71218028070535,174.53733208838472,929.15,19.66580801622698,0.2748250579146604,0.012492036175273235,0.009635087027704683,7.331388882083666
horizon1500_s0_100w,ppo,0,0.15,0.55,0.7844902693659581,0.45,0.0,0.45,354.6809854793456,94.04723471739287,852.3,18.546158046921583,0.24598415800630863,0.017909098577588285,0.010467008637242935,2.987596630270372
horizon1500_s1_100w,ppo,1,0.0,1.0,0.9915368775274886,0.0,0.0,0.0,571.110592466432,359.1605938765444,1026.45,20.275728390777992,0.08957738078258515,0.009824194158596245,0.0,
horizon1500_s1_100w,ppo,1,0.08,1.0,0.991498081906174,0.0,0.0,0.0,557.1551412288368,327.1850485018991,1042.75,19.94898022465339,0.11413306812484662,0.012538933684524545,0.004806308896089372,3.877266229771176
horizon1500_s1_100w,ppo,1,0.15,0.4,0.7550703118896169,0.6,0.0,0.6,356.785837918002,74.74102456813014,860.3,18.170409215349064,0.22836756458733606,0.01785580779240807,0.01021791198716913,2.796198412013431
proposed,ppo,0,0.0,0.84,0.9740738400417,0.0,0.0,0.0,426.7406536215536,233.38218650861893,973.7,20.258758330680664,0.2905064501127723,0.009349623332364741,0.0,
proposed,ppo,0,0.08,0.78,0.9471716243787017,0.06,0.0,0.06,422.06274686725345,207.92167624271292,959.04,20.000731719950306,0.2771869377102611,0.012936540475550736,0.003559830545204737,5.832933249003715
proposed,ppo,0,0.15,0.42,0.7214840399824746,0.48,0.02,0.5,316.71520857985024,55.98015505215985,776.66,18.24176487778674,0.24915798416432802,0.01923697530491699,0.014090973175591756,2.064596052548645
proposed,ppo,1,0.0,0.84,0.9741945435528998,0.0,0.0,0.0,537.5875910079405,333.41468162116405,973.6,20.25798809589581,0.09052977624346878,0.010359662029644879,0.0,
proposed,ppo,1,0.08,0.74,0.9326723415955839,0.08,0.02,0.1,501.0121862666859,285.9172991053198,936.62,20.045076519621947,0.10832084947715412,0.013205268878518419,0.0018067650975998242,23.292703587660103
proposed,ppo,1,0.15,0.56,0.7980975306347531,0.34,0.04,0.38,376.96812670528215,131.13050615529204,845.5,18.555692443125068,0.2004033611486076,0.018360395114996673,0.008689498457910803,2.693409766217432
proposed,ppo,3,0.0,0.84,0.9745449991098957,0.0,0.0,0.0,516.3088953748952,318.0672773978773,972.38,20.256904768596215,0.12939754325455285,0.009557472651868166,0.0,
proposed,ppo,3,0.08,0.74,0.9174773730140015,0.1,0.02,0.12,472.03433814340684,251.85722970699703,920.5,19.878634120215075,0.14290947253959363,0.01351405355828039,0.004750457669872404,4.925118598699808
proposed,ppo,3,0.15,0.34,0.7235700473242984,0.56,0.02,0.58,310.8271187411329,-0.6207991937429139,780.64,18.432755429714547,0.2771019674610067,0.019357568990266544,0.016881855321380566,1.7091037269876646
proposed,ppo,4,0.0,0.84,0.9747161090479811,0.0,0.0,0.0,514.1442226047122,316.72384971364824,972.44,20.25699959691649,0.132499459703154,0.01084610377819941,0.0,
proposed,ppo,4,0.08,0.84,0.9728434031293388,0.0,0.0,0.0,513.4698518691953,299.11759789091906,986.8,19.916130446352838,0.1303064373459063,0.014999801664843064,0.004061517257266223,4.486660710413914
proposed,ppo,4,0.15,0.48,0.7736665984040365,0.42,0.04,0.46,380.63295497733145,116.90695812761132,837.04,18.2507299497376,0.15477195543674427,0.021332138733614475,0.012219110938202701,2.6775622832054564
