#{"t_start": 1782899345.2538424, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,episode_risk_gate_rate,episode_continuous_risk_penalty,episode_event_risk_penalty,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,episode_rcpo_cost_lambda,curriculum_stage
-22.373112,600,3.481579,0.0,0.0,5.41672745791126,-22.37311188358423,0.0,0.0,0.0,0.0,0.10228414624867202,600,0.6660768015947511,0.0557872160445482,0.10606888371345115,0.818871065073957,0.8414409807076056,0.6155003385742506,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,20.0,0.0
-23.270378,600,7.39828,0.0,0.0,4.111366957776544,-23.270377890315803,0.0,0.0,0.0,0.0,0.09246462102653094,600,0.6896670102512725,0.18681644466086295,0.6409488298350651,0.8281125959567726,0.8158209109368424,0.6491799955007931,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,20.0,0.0
-21.025369,600,9.897025,0.0,0.0,7.1695813870263425,-21.025368761657788,0.0,0.0,0.0,0.0,0.09299468482763436,600,0.7362607785127676,0.04026922056875835,0.14813122023819275,0.781018833257258,0.8217787710080544,0.6326390064011017,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,18.75,0.0
-14.972758,600,13.717541,0.0,0.0,8.151477835835845,-14.972757515686894,0.0,0.0,0.0,0.0,0.18505011887984052,600,1.1819397661191453,0.2819038282926148,0.8580735452683051,0.8616531284122417,0.7473646246145169,0.5864695491393407,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,17.5,0.0
-14.458808,600,16.202727,0.0,0.0,9.517253903885408,-14.458807816689573,0.0,0.0,0.0,0.0,0.1910855077122578,600,1.0697261679811978,0.2762110277367907,0.9897696879703002,0.8183780741256972,0.7398591450105111,0.5965131749709447,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.25,0.0
-6.93744,600,20.18064,0.0,0.0,15.631680866749425,-6.937439710933551,0.0,0.0,0.0,0.0,0.22655732852305807,600,1.444579943198936,0.24492202065708682,0.5940042081270253,0.8102418839465827,0.7183342353999614,0.5761720400551955,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11.75,0.0
-1.672361,600,24.212785,0.0,0.0,20.994105321257496,-1.6723611520253157,0.0,0.0,0.0,0.0,0.28435287291153144,600,1.6045323444353705,0.1447997384217495,0.3341697210445258,0.793915029677252,0.6674108340342839,0.5901849679152171,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,15.0,0.0
0.157596,600,26.97583,0.0,0.0,11.94455485564295,0.15759597781953813,0.0,0.0,0.0,0.0,0.3361772849999354,600,2.201111141184168,1.0231114399480736,2.0,0.8461659623372058,0.6319728561739126,0.5352785901228587,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,18.5,0.0
-30.695036,402,30.300721,0.0,1.0,-5.161907928716098,-30.69503575294367,0.0,0.0,0.0,1.0,0.2511972737138125,402,2.2217097721446737,1.3416560679547067,2.0,0.8280266397053477,0.6321979139129914,0.5107403726720098,0.0,nan,0.0024875621890547263,0.0,24.75,0,0,0,0,0.0,0.0,0.0,0.0,24.75,0.0
-37.3828,415,32.282301,0.0,1.0,2.620663304618784,-37.38280026249879,0.0,0.0,0.0,1.0,0.30689560283972706,415,3.543816289240609,0.9935383786599774,2.0,0.7997220668268491,0.5321386236742318,0.4563556676887604,0.0,nan,0.0024096385542168677,0.0,43.0,0,0,0,0,0.0,0.0,0.0,0.0,43.0,0.0
24.595832,600,36.69898,0.0,0.0,34.68037454300787,24.595832478873216,0.0,0.0,0.0,0.0,0.5151881735789747,600,3.470421724337393,0.5429168677043221,2.0,0.8037884024530649,0.5174301527440548,0.43639726330836615,0.0,nan,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,106.25,0.0
-143.847584,485,39.263953,0.0,1.0,1.4441040806220062,-143.84758367614157,0.0,0.0,0.0,1.0,0.42434547611824786,485,2.8910642854847244,1.0557591937613284,2.0,0.8164089082327393,0.5708357562723848,0.46535849632676113,0.0,nan,0.002061855670103093,0.0,148.25,0,0,0,0,0.0,0.0,0.0,0.0,148.25,0.0
-168.616801,250,40.468469,0.0,1.0,-5.4395081351119785,-168.61680127770475,0.0,0.0,0.0,1.0,0.18676509299504176,250,3.0899931392508595,1.534699678927524,2.0,0.8717071732878685,0.5310833375453949,0.445953218460083,0.0,nan,0.004,0.0,167.25,0,0,0,0,0.0,0.0,0.0,0.0,167.25,0.0
-192.700979,414,43.759286,0.0,1.0,3.6592438685759223,-192.70097929594598,0.0,0.0,0.0,1.0,0.4106466256588692,414,3.435191667374722,1.2051758862369812,2.0,0.7848969213484566,0.5670689455265008,0.49988265731484416,0.0,nan,0.0024154589371980675,0.0,200.0,0,0,0,0,0.0,0.0,0.0,0.0,200.0,0.0
