#{"t_start": 1782800501.41001, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-108.23754,600,2.642668,0.0,0.0,5.695696658791065,-108.2375399615832,0.0,0.0,0.0,0.0,0.10191035057781757,600,0.7507862471948654,0.22851643867415466,0.39376561178217806,0.8287110790117489,0.7847921949469795,0.6738053134145836,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-92.783826,600,5.003796,0.0,0.0,5.251476444487087,-92.78382596529715,0.0,0.0,0.0,0.0,0.1014952999271145,600,0.6260273897118186,0.027009597130200434,0.09666891735820868,0.7690747402360042,0.8398478364571929,0.6041597562283277,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-102.053029,600,6.59957,0.0,0.0,6.6087266135960565,-102.05302907820335,0.0,0.0,0.0,0.0,0.13009944511811927,600,0.748882922157933,0.17942860637404098,0.3593923829817789,0.8142109591700136,0.8385464456180731,0.6127061619857948,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-179.678105,600,8.744398,0.0,0.0,4.723201082235122,-179.67810463670307,0.0,0.0,0.0,0.0,0.12092371301573526,600,0.8612797429540463,0.44961884971962934,0.9296830438395564,0.7997941797412932,0.8260561279207468,0.6258827085544666,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-102.770153,600,10.275719,0.0,0.0,8.577297896005987,-102.77015260977458,0.0,0.0,0.0,0.0,0.12791466980073202,600,0.8048088398488156,0.16310940030313628,0.4832179479653642,0.8552067161537706,0.8100357800846298,0.5934123188008865,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-121.313507,600,12.551047,0.0,0.0,7.3427374758214485,-121.31350650761726,0.0,0.0,0.0,0.0,0.1282063704332543,600,0.8971136052301582,0.22248885956883177,0.8290881483972065,0.7931110794718067,0.8042681349565586,0.5825221979618073,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-108.300456,600,14.664686,0.0,0.0,9.761475873531754,-108.3004555296562,0.0,0.0,0.0,0.0,0.13739544889017416,600,1.0256788797182004,0.2552673099049135,0.7481180306255579,0.7872306218494972,0.7782061133782069,0.585371284733216,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-512.000367,600,16.2321,0.0,0.0,5.08820135566478,-512.0003665987178,0.0,0.0,0.0,0.0,0.18528176106256128,600,1.1273734199504313,1.0086279508025695,2.0,0.7447045728191733,0.7440458961576223,0.5606077981491884,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-126.215384,600,18.250884,0.0,0.0,9.98204786219158,-126.21538427481225,0.0,0.0,0.0,0.0,0.18383553739077044,600,1.1753111364017763,0.2920426024272032,0.9991802564160881,0.8413549697771668,0.7204670322189728,0.574859509418408,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-154.041034,600,19.768213,0.0,0.0,9.54829686611241,-154.0410343119427,0.0,0.0,0.0,0.0,0.20813177418936124,600,1.2384234813675912,0.43128798327879725,0.9966844260784588,0.800124487914145,0.7359886706372102,0.5938321310778459,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-704.510796,600,21.934598,0.0,0.0,3.702533847547354,-704.5107960732105,0.0,0.0,0.0,0.0,0.16717248811321964,600,1.2740242899744463,1.2043465525069017,2.0,0.7684716962277889,0.7693291358898083,0.6296081246932348,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-127.117479,600,24.150584,0.0,0.0,10.600418786642884,-127.11747936263212,0.0,0.0,0.0,0.0,0.1501809518743514,600,1.1465224830770793,0.2781252864764489,0.9986134426379156,0.8048945637047291,0.7816451713691155,0.5839502554635206,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-163.707394,600,25.826797,0.0,0.0,6.858951470692057,-163.7073939697761,0.0,0.0,0.0,0.0,0.17951108694370224,600,0.9864770148058885,0.43262609390039275,0.9998732089147139,0.7913297802209854,0.7923465212931236,0.6074728930493196,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-121.013821,600,28.026644,0.0,0.0,10.005933100121279,-121.01382108888511,0.0,0.0,0.0,0.0,0.1490995009540952,600,0.9818013950449841,0.2575440061010589,0.9163271432975632,0.7579383552446961,0.8083378544201454,0.643985246916612,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-278.505987,600,29.591602,0.0,0.0,4.796201761613338,-278.50598730463264,0.0,0.0,0.0,0.0,0.13217120307785118,600,0.8202165284722308,0.6363875638074339,1.4250327271559635,0.8243689639990528,0.8179228418444594,0.625794528995951,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-87.236741,600,32.020545,0.0,0.0,8.978909406420376,-87.23674137041483,0.0,0.0,0.0,0.0,0.12398964969750798,600,0.8079121030017484,0.0509006174238098,0.1628620683364088,0.7976530035336812,0.7976869655152162,0.5952763192355632,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-130.050341,600,33.727182,0.0,0.0,8.79374807714754,-130.0503412965833,0.0,0.0,0.0,0.0,0.1636808999578716,600,1.1007116930840395,0.3002762909068197,0.9873904685782501,0.8324150631080071,0.8093376977741719,0.610392095943292,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-102.343546,600,35.929473,0.0,0.0,11.327807179412167,-102.34354629848184,0.0,0.0,0.0,0.0,0.19120665767713613,600,1.08582881639621,0.24779218345053938,0.526147491325726,0.8331968945699434,0.7785045460363229,0.5982630703846613,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-89.434682,600,38.103023,0.0,0.0,8.837088255931128,-89.43468245378423,0.0,0.0,0.0,0.0,0.11655169457525054,600,0.8521979452286976,0.09134310251729465,0.13486328287804852,0.8236817675145964,0.8364897983024517,0.6196670321126779,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-281.239438,510,39.643517,0.0,1.0,-2.8746750387860116,-281.239438499246,0.0,0.0,0.0,1.0,0.16314086708443215,510,1.0190572754583762,0.29706588711141146,1.0455601575845372,0.7636966727126171,0.7664164705895911,0.6299089855423161,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-203.83893,600,41.97895,0.0,0.0,9.503248409695644,-203.83893005774382,0.0,0.0,0.0,0.0,0.20629378030442866,600,1.1332239206757428,0.4930497294226372,1.359449053965179,0.8142350096752247,0.7821234036237001,0.5828384132186571,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-219.355671,600,43.726175,0.0,0.0,8.68169539454872,-219.35567056921417,0.0,0.0,0.0,0.0,0.2345407763080739,600,1.5680332070389733,0.6403745715095872,0.9999468724780529,0.7573972394565741,0.7548705276598533,0.6156782058874766,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-304.851764,575,46.070031,0.0,1.0,0.2286181521726185,-304.8517639637103,0.0,0.0,0.0,1.0,0.18610513135994694,575,1.5113326666877809,0.437338008042495,1.0383205699700615,0.7674497959471267,0.7107907689136007,0.5881560554711716,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-169.740469,600,47.88968,0.0,0.0,8.94330093305931,-169.74046921598,0.0,0.0,0.0,0.0,0.21184069376603643,600,1.2356502792570505,0.4979124993559502,0.998595309793975,0.8241648768261075,0.7463399072984854,0.5581221742928029,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-123.468064,600,50.279674,0.0,0.0,12.546310868571766,-123.46806410520183,0.0,0.0,0.0,0.0,0.19064154916394066,600,1.2088618872841947,0.29574256628482076,0.9989287483372131,0.7630140674610932,0.8049897990872462,0.6021249436835447,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-303.790961,559,52.383969,0.0,1.0,0.11538866909433665,-303.790960801608,0.0,0.0,0.0,1.0,0.18625755115248127,559,1.3518412744680166,0.4256421206682665,1.021093087713212,0.780444053983006,0.7104099696512086,0.5884571255639542,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-276.555198,338,53.311584,0.0,1.0,-7.69521666615633,-276.55519817806606,0.0,0.0,0.0,1.0,0.09548752393744904,338,1.0271305636697763,0.5283005416794679,1.0251423944971667,0.8167193277281594,0.7791901836998364,0.573279897136801,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-161.600766,600,55.140018,0.0,0.0,8.81110034303008,-161.60076606345763,0.0,0.0,0.0,0.0,0.21733819953148484,600,1.23400188778924,0.4438971108700482,0.9976404692275523,0.8104569619273146,0.7581032770127059,0.6244406670331955,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-163.150227,600,57.493627,0.0,0.0,9.085494301933624,-163.15022673810512,0.0,0.0,0.0,0.0,0.17325383393619806,600,1.12476028360339,0.4744145834673482,0.9998371442992021,0.8059510095603764,0.7698756775756677,0.5711105904479822,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-250.300472,242,58.226027,0.0,1.0,-8.028737690902298,-250.30047238827382,0.0,0.0,0.0,1.0,0.10719574385559306,242,1.2107758104254602,0.6146975938560338,1.0354899346197457,0.820990348342529,0.7374915250938786,0.5351065170666403,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-105.036046,600,60.584368,0.0,0.0,9.285476997916698,-105.03604638729067,0.0,0.0,0.0,0.0,0.1976678244129715,600,1.125575023784216,0.2451948385310879,0.6377615033916926,0.7661128135832648,0.7851343384881815,0.6105231126646201,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-104.407955,600,62.267223,0.0,0.0,10.64917466939461,-104.40795484690867,0.0,0.0,0.0,0.0,0.18043508291170068,600,1.139092514000884,0.27916694881264115,0.561725188487497,0.7605519092579682,0.7267482966929674,0.5868774362405141,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-107.085802,600,64.569527,0.0,0.0,10.294119286894965,-107.08580187698138,0.0,0.0,0.0,0.0,0.17330783449333204,600,1.0527447298693042,0.2902846394354188,0.4991817997825023,0.8219028221691648,0.8001613637804985,0.6335307904581229,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-125.768772,600,66.797274,0.0,0.0,11.139470824129955,-125.76877244775211,0.0,0.0,0.0,0.0,0.2021998219168432,600,1.29844772129742,0.39741407043329174,0.6163327852032608,0.772470473810099,0.8026800396790107,0.5929583549499512,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-141.492334,600,68.586193,0.0,0.0,8.465208674669219,-141.49233359184223,0.0,0.0,0.0,0.0,0.18694216043086767,600,1.1945840326338064,0.42127163856864347,0.6712668351011842,0.7870949879661202,0.7527499466886123,0.5962787755827109,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-121.066744,600,71.126332,0.0,0.0,14.225017946014805,-121.06674436502645,0.0,0.0,0.0,0.0,0.18938735844305038,600,1.388257146118644,0.3103622183340644,0.9955255336715969,0.7735493039215604,0.7367297093570232,0.5371182525406281,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-126.370691,600,72.957304,0.0,0.0,12.940319692653112,-126.37069141093058,0.0,0.0,0.0,0.0,0.18474309782589463,600,1.3870748929532142,0.33339916229516514,0.9970961137422202,0.8103141666948795,0.7349625739206871,0.6015585325658321,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-207.480789,600,75.254324,0.0,0.0,8.380276372533231,-207.48078918689896,0.0,0.0,0.0,0.0,0.22123638222425168,600,1.4843805080644001,0.5938396978201042,0.9952067770698859,0.8128417056674758,0.694023513669769,0.5654302176336448,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-113.540844,600,77.532792,0.0,0.0,17.82294785908733,-113.54084443551388,0.0,0.0,0.0,0.0,0.2623167769327256,600,1.8254562690299607,0.39216161863592736,0.8111073164237194,0.756536998214821,0.6968937736998002,0.5706472018857797,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-58.627618,600,79.307165,0.0,0.0,23.057205187061758,-58.627618355316415,0.0,0.0,0.0,0.0,0.28792121294144074,600,1.8482110001924332,0.18463652948590026,0.4549625027386601,0.8109964411581556,0.6866830685734748,0.5499880289038023,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-240.983811,310,80.191458,0.0,1.0,-2.2411283044647705,-240.9838113584383,0.0,0.0,0.0,1.0,0.19866348328763184,310,1.8343012306172972,0.4102672739327176,1.0390296607841771,0.7283860741363418,0.678997010281009,0.5067195894256715,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-227.426959,337,81.813736,0.0,1.0,1.7843735226854118,-227.42695896614217,0.0,0.0,0.0,1.0,0.2077146717704147,337,2.0879933946412295,0.3441638132183182,1.0384102689020678,0.7434315911386417,0.6386787488128028,0.5556354421890101,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
