#{"t_start": 1782836080.5268521, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-95.86553,600,4.62483,0.0,0.0,5.119883870224113,-95.8655301244556,0.0,0.0,0.0,0.0,0.08043591959538,600,0.6580086006750183,0.0205161743717507,0.04421362630235837,0.834935415101548,0.819269482679665,0.6135331701735656,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-183.505431,600,10.46147,0.0,0.0,4.310680465885312,-183.50543077283032,0.0,0.0,0.0,0.0,0.11900333892014728,600,0.6903176782674375,0.2776298151652209,0.9427609674666857,0.8619755979192754,0.830526930677394,0.6321696021904548,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-229.38041,600,13.979254,0.0,0.0,5.4961057688292545,-229.38041022877138,0.0,0.0,0.0,0.0,0.11573652321233398,600,0.7415685259496446,0.38072838647574253,0.8383872016122592,0.83879402273645,0.8071708667837083,0.6423896964515249,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-174.548171,600,19.61841,0.0,0.0,8.323008743771702,-174.548171460249,0.0,0.0,0.0,0.0,0.14154176050087422,600,0.9431635120256171,0.2122607057516037,0.9999549940892488,0.7984749889125426,0.8319896879668037,0.641314110433062,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-87.23835,600,23.139397,0.0,0.0,8.780892056927824,-87.23834982441056,0.0,0.0,0.0,0.0,0.13651056648791543,600,0.8513854775792407,0.0440207795491352,0.09680870831874774,0.8103162749980887,0.7965117339044809,0.622227998226881,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-87.65322,600,28.870665,0.0,0.0,8.899455441174812,-87.65322027779743,0.0,0.0,0.0,0.0,0.1202960396763643,600,0.867210506788324,0.051986400565471574,0.17061205412021505,0.8172968648436169,0.849239846865336,0.586055474927028,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-88.518135,600,34.601472,0.0,0.0,8.267622849874583,-88.51813475660128,0.0,0.0,0.0,0.0,0.10438044059159945,600,0.8109917526655032,0.041125920670959284,0.11663929939002364,0.7942924945304791,0.8111292648936311,0.603373209660252,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-90.187787,600,38.130935,0.0,0.0,8.259489660469518,-90.18778696818185,0.0,0.0,0.0,0.0,0.14055701192042666,600,0.7840572397288045,0.05483978815764092,0.16583112801467442,0.8344243981875479,0.7914250072464347,0.6463548043866952,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-91.272581,600,43.743864,0.0,0.0,10.70251068470307,-91.27258125374101,0.0,0.0,0.0,0.0,0.12992980545074634,600,1.0135243604944841,0.10539301895226451,0.2637821299823247,0.8673140775163969,0.7920240081846714,0.5998071378469467,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-622.351975,600,47.233928,0.0,0.0,8.201428884871195,-622.3519753950839,0.0,0.0,0.0,0.0,0.16736402882380463,600,1.3027530022786988,0.8336118918031089,1.4797703446118537,0.8568755532614887,0.7526373360554377,0.6048697580397129,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-87.372679,600,52.854229,0.0,0.0,14.877433232834795,-87.37267943351969,0.0,0.0,0.0,0.0,0.19842282526525437,600,1.2470035109733737,0.13361995995726764,0.6446859993860998,0.7807855414847533,0.7881385790805022,0.5809783484538397,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-160.752656,600,58.509775,0.0,0.0,8.246119043945724,-160.75265556901374,0.0,0.0,0.0,0.0,0.1624158918641826,600,1.1703781093444436,0.3139942580709575,0.6035063490322199,0.8266490831226111,0.7650417808443308,0.5677558763821919,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-187.239111,600,61.994169,0.0,0.0,8.841622047546926,-187.23911053676522,0.0,0.0,0.0,0.0,0.14061919860586808,600,1.1026195273673698,0.35407465097739677,0.9915736213447444,0.8324858139206965,0.8150984055052201,0.6104487050076326,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-1024.115534,600,67.705965,0.0,0.0,6.802437149406245,-1024.1155338813505,0.0,0.0,0.0,0.0,0.18305182019548955,600,1.1699756893998121,1.0552883658443677,2.0,0.8127116876964767,0.7501833733419577,0.6070189958810807,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-231.783873,600,71.23654,0.0,0.0,9.462149628569486,-231.7838729441519,0.0,0.0,0.0,0.0,0.20436719844454723,600,1.1695185729864173,0.37184764556935446,0.9958033448361681,0.792939179080228,0.7734710999578237,0.5855324573814868,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
