variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
risk,ppo,1,10600,7,0.0,0,10,378.04207627154983,224.35116056610622,1.0,0.9895973008016896,0.0,0.0,0.0,0.0,0.0,809,20.235172550807892,0.25621202091458983,0.504446914677565,0.015964494993949335,0.22249690976514216,0.2249690976514215,0.0,,701,0,0,701,0.8665018541409147,0.0,0.0,0.8665018541409147,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10900,7,0.0,1,10,433.59116633497376,270.05036722441577,1.0,0.9885367956250791,0.0,0.0,0.0,0.0,0.0,844,20.200599894425707,0.16728111384690694,0.2923522401406101,0.012101421014613239,0.23222748815165878,0.23104265402843602,0.0,,727,0,0,727,0.8613744075829384,0.0,0.0,0.8613744075829384,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10400,7,0.0,2,10,421.72729454264726,251.75608648368495,1.0,0.9897441499162551,0.0,0.0,0.0,0.0,0.0,871,20.228516094430514,0.2203796436661222,0.46125442320082255,0.014015492659712254,0.22732491389207807,0.2296211251435132,0.0,,753,0,0,753,0.8645235361653272,0.0,0.0,0.8645235361653272,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10700,7,0.0,3,10,421.01536453491667,248.89409234504942,1.0,0.9903936357144535,0.0,0.0,0.0,0.0,0.0,886,20.264374976291233,0.23593968301856644,0.4639330740175809,0.016298502545412756,0.2234762979683973,0.22460496613995484,0.0,,769,0,0,769,0.8679458239277652,0.0,0.0,0.8679458239277652,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10200,7,0.0,4,10,478.38095177249073,279.2545511866049,1.0,0.9910641516618615,0.0,0.0,0.0,0.0,0.0,979,20.299055189699118,0.21100759948931444,0.4547177694478182,0.012646880539265425,0.21450459652706844,0.21654749744637386,0.0,,856,0,0,856,0.874361593462717,0.0,0.0,0.874361593462717,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10800,7,0.0,5,10,499.94496446143944,298.43424874583565,1.0,0.9916396375405794,0.0,0.0,0.0,0.0,0.0,980,20.23318855892184,0.17176217927438464,0.4309703725293009,0.011654651202546547,0.23061224489795917,0.23061224489795917,0.0,,848,0,0,848,0.8653061224489796,0.0,0.0,0.8653061224489796,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10000,7,0.0,6,10,516.8919625416546,282.18188359565266,1.0,0.9930364677579319,0.0,0.0,0.0,0.0,0.0,1109,20.277694079497717,0.24503914644936545,0.5456301200328371,0.014549432151066601,0.2290351668169522,0.2290351668169522,0.0,,963,0,0,963,0.8683498647430117,0.0,0.0,0.8683498647430117,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10100,7,0.0,7,10,562.7046056502785,311.10990577364737,1.0,0.9929525907724622,0.0,0.0,0.0,0.0,0.0,1183,20.310429136554056,0.23075453841702304,0.44920571083140504,0.012081341560936312,0.2180896027049873,0.21978021978021978,0.0,,1036,0,0,1036,0.8757396449704142,0.0,0.0,0.8757396449704142,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10300,7,0.0,8,10,570.1965698234192,315.5308968873623,1.0,0.9934506547777839,0.0,0.0,0.0,0.0,0.0,1184,20.311995724884433,0.2186457125566943,0.5252745218413468,0.010973925461970596,0.21621621621621623,0.2179054054054054,0.0,,1038,0,0,1038,0.8766891891891891,0.0,0.0,0.8766891891891891,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10500,7,0.0,9,10,553.0364886488994,262.40307510091225,0.0,0.8663584433429808,0.0,0.0,0.0,0.0,0.0,1200,20.340184490618544,0.22923929376865299,0.4556999125233184,0.011503761009080335,0.21,0.21166666666666667,0.0,,1056,0,0,1056,0.88,0.0,0.0,0.88,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10601,7,0.0,10,10,503.3365086112061,310.00045312045955,1.0,0.9921098320890516,0.0,0.0,0.0,0.0,0.0,932,20.263955521145633,0.12059229759270157,0.22220032963409997,0.012236503904681381,0.22317596566523606,0.22317596566523606,0.0,,810,0,0,810,0.869098712446352,0.0,0.0,0.869098712446352,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
risk,ppo,1,10901,7,0.0,11,10,540.0336699213647,320.6579849003966,1.0,0.9929781856619935,0.0,0.0,0.0,0.0,0.0,1036,20.24930765467296,0.14949375064026044,0.38630894421836415,0.013854217992441074,0.2335907335907336,0.23455598455598456,0.0,,896,0,0,896,0.8648648648648649,0.0,0.0,0.8648648648648649,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/config.json,outputs/iscsic_main_nenv10/runs/risk_ppo_s1/model/final_model.zip
