variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,1,10300,7,0.0,0,10,361.0792428047655,235.2864705049567,1.0,0.9886196634687349,0.0,0.0,0.0,0.0,0.0,697,20.156552757457092,0.16800235788151086,0.4093942945380915,0.009132144463594623,0.23672883787661406,0.23959827833572453,0.0,,595,0,0,595,0.8536585365853658,0.0,0.0,0.8536585365853658,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10600,7,0.0,1,10,406.763462606601,266.67697462035073,1.0,0.9890120942535873,0.0,0.0,0.0,0.0,0.0,723,20.18572721868219,0.0884264967901438,0.21623793659983273,0.008112953885627156,0.2268326417704011,0.2268326417704011,0.0,,622,0,0,622,0.8603042876901799,0.0,0.0,0.8603042876901799,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10800,7,0.0,2,10,429.99331950767925,277.0008614010113,1.0,0.987517702012465,0.0,0.0,0.0,0.0,0.0,774,20.252422313496506,0.10019156442284924,0.2724055501794223,0.005518056658031636,0.2144702842377261,0.2144702842377261,0.0,,673,0,0,673,0.8695090439276486,0.0,0.0,0.8695090439276486,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10700,7,0.0,3,10,524.8747017449515,324.7964617445235,1.0,0.9931078357036752,0.0,0.0,0.0,0.0,0.0,930,20.24145509838813,0.07769739141650746,0.28818524002922336,0.00535923923736298,0.22688172043010751,0.22903225806451613,0.0,,805,0,0,805,0.8655913978494624,0.0,0.0,0.8655913978494624,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10100,7,0.0,4,10,537.44672636166,326.2026311215195,1.0,0.991275596285252,0.0,0.0,0.0,0.0,0.0,983,20.24402659792298,0.10676499202128431,0.35682603380984923,0.005120968556984698,0.2288911495422177,0.2288911495422177,0.0,,851,0,0,851,0.8657171922685656,0.0,0.0,0.8657171922685656,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10400,7,0.0,5,10,598.1906623311988,349.2082196381796,1.0,0.9925848410972851,0.0,0.0,0.0,0.0,0.0,1125,20.30511453667773,0.13292369914781635,0.34788969293546884,0.006815551818244987,0.21866666666666668,0.22044444444444444,0.0,,980,0,0,980,0.8711111111111111,0.0,0.0,0.8711111111111111,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10900,7,0.0,6,10,546.8641966417928,296.9203746001872,1.0,0.9929385936233227,0.0,0.0,0.0,0.0,0.0,1182,20.326979912005108,0.25449288247755936,0.4835647558166362,0.0050789553872207195,0.21489001692047377,0.2140439932318105,0.0,,1037,0,0,1037,0.877326565143824,0.0,0.0,0.877326565143824,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10000,7,0.0,7,10,584.0970104298988,289.5626858320843,0.0,0.8866448506308203,0.0,0.0,0.0,0.0,0.0,1200,20.244106615679318,0.17760130561229964,0.378353793212195,0.012018950059233854,0.23833333333333334,0.24333333333333335,0.0,,1023,0,0,1023,0.8525,0.0,0.0,0.8525,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10200,7,0.0,8,10,569.3387954509494,275.3678599959869,0.0,0.8671979094647314,0.0,0.0,0.0,0.0,0.0,1200,20.30507384150361,0.20350567821998908,0.43747317802021873,0.004890866588490705,0.22166666666666668,0.22166666666666668,0.0,,1049,0,0,1049,0.8741666666666666,0.0,0.0,0.8741666666666666,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
proposed,ppo,1,10500,7,0.0,9,10,659.5109723692236,349.13620205186237,0.0,0.9774489894391291,0.0,0.0,0.0,0.0,0.0,1200,20.31590645897008,0.07060029466363762,0.2873791321074652,0.009769634181478372,0.22333333333333333,0.22333333333333333,0.0,,1044,0,0,1044,0.87,0.0,0.0,0.87,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/checkpoint_750000_steps.zip
