variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
baseline,ppo,2,10300,7,0.0,0,10,43.09529821098284,43.09529821098284,0.0,0.08686218791310707,0.0,0.0,0.0,1.0,1.0,69,33.75799971016492,0.1511019345952387,2.0,0.025642263770535374,0.032140070113582886,0.03980186840762263,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10200,7,0.0,1,10,45.060104191155254,45.060104191155254,0.0,0.13550212128868375,0.0,0.0,0.0,1.0,1.0,79,35.928751006998525,0.21852368558280097,1.1207765748340428,0.03661476886725124,0.0341641902923584,0.04535904488986051,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10700,7,0.0,2,10,104.1882038560395,104.1882038560395,0.0,0.2924652665926253,0.0,0.0,0.0,1.0,1.0,96,48.24704153313934,0.0970565210583693,1.5226551614625463,0.042239019686045744,0.02608718319485585,0.028680079616606236,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10900,7,0.0,3,10,119.82617588202137,119.82617588202137,0.0,0.28699450524824144,0.0,0.0,0.0,1.0,1.0,111,50.94417542708124,0.15882310036970376,1.1761761866382587,0.0543182848675831,0.02558357731716053,0.03635639918817056,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10600,7,0.0,4,10,140.51447965407334,140.51447965407334,0.0,0.3463089815786279,0.0,0.0,0.0,1.0,1.0,120,54.56836832063128,0.14247634945624996,1.157948517123619,0.057304237006853026,0.029356137166420618,0.0329764761030674,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10500,7,0.0,5,10,168.17032956741068,168.17032956741068,0.0,0.3580358369703049,0.0,0.0,0.0,1.0,1.0,139,55.10437616225758,0.16113943843221354,1.0607346038294232,0.062407630060216504,0.031405999238113706,0.03317949733288168,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10800,7,0.0,6,10,221.34856344178456,221.34856344178456,0.0,0.7329496196739615,0.0,0.0,0.0,1.0,1.0,195,56.50451186081043,0.23281959496715526,1.0864324358311113,0.06579972169338129,0.029839279177861337,0.031548731602155246,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10000,7,0.0,7,10,132.80423789122565,132.80423789122565,0.0,0.4437744854659184,0.0,0.0,0.0,1.0,1.0,208,51.722072994261765,0.6429887096135851,2.0,0.08302659489429341,0.048958692842951186,0.052163172799807325,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10500,7,0.0,8,10,41.39983495985566,41.39983495985566,0.0,0.08024072638033902,0.0,0.0,0.0,1.0,1.0,71,34.79575185696055,0.21636561584717925,2.0,0.044944029511280466,0.03768661786133135,0.04867109908184535,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10200,7,0.0,9,10,154.5642868735039,154.5642868735039,0.0,0.2715468252364998,0.0,0.0,0.0,1.0,1.0,136,54.42050972252965,0.20193800553328484,2.0,0.054967590169433284,0.03523848687901216,0.037479807896649134,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10301,7,0.0,10,10,164.29216990461376,164.29216990461376,0.0,0.3279609990781228,0.0,0.0,0.0,1.0,1.0,156,54.50254669151889,0.3641543070027223,2.0,0.049877228669058055,0.034765067199865975,0.03110393633445104,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10901,7,0.0,11,10,96.01556220278877,96.01556220278877,0.0,0.2743450201116438,0.0,0.0,0.0,1.0,1.0,131,50.76087838293703,0.3553437307522619,1.4865076794019032,0.07693479730541469,0.01254522709446099,0.01880573771382106,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10101,7,0.0,12,10,218.20006192885654,218.20006192885654,0.0,0.5056488436257993,0.0,0.0,0.0,1.0,1.0,246,48.137432903928065,0.32412388662742025,1.1411240690007718,0.07870595655366172,0.03079227049176286,0.03770360689822251,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10601,7,0.0,13,10,142.1385258560514,142.1385258560514,0.0,0.29254299383073556,0.0,0.0,0.0,1.0,1.0,134,56.87327026913632,0.26473048664772547,1.2303522562632372,0.07561089801810571,0.035249775247787364,0.04317279816118639,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10401,7,0.0,14,10,298.9928226717083,298.9928226717083,0.0,0.922578314960361,0.0,0.0,0.0,1.0,1.0,265,59.66989792232912,0.4939501880432339,2.0,0.07082727645646851,0.029979532057384274,0.028929119458738363,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10301,7,0.0,15,10,50.93293318190382,50.93293318190382,0.0,0.11784733573950885,0.0,0.0,0.0,1.0,1.0,79,38.98647101149062,0.2045783023901649,1.0487956847068594,0.03913141834207728,0.03632094173491755,0.04912544768067855,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10901,7,0.0,16,10,41.70109568707864,41.70109568707864,0.0,0.15829086626374414,0.0,0.0,0.0,1.0,1.0,67,34.88283100150684,0.15866256932184256,1.5218680953147241,0.04521210725182918,0.03858778058592953,0.050573268488271914,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10801,7,0.0,17,10,139.86798514223415,139.86798514223415,0.0,0.2803570377800514,0.0,0.0,0.0,1.0,1.0,122,54.94119749304644,0.18702446624157054,1.4038950285781628,0.06100701907130539,0.02357114747655196,0.03315649560240448,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10201,7,0.0,18,10,111.0505800663841,111.0505800663841,0.0,0.22861775760472625,0.0,0.0,0.0,1.0,1.0,106,48.72064736156409,0.1455302872437581,1.4014160887750282,0.057760110300666884,0.025174296127175384,0.029966252030066726,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10601,7,0.0,19,10,40.50216920132396,40.50216920132396,0.0,0.11562044065059479,0.0,0.0,0.0,1.0,1.0,68,35.20501481017783,0.21230525932874586,2.0,0.032555636840269846,0.0377563650117201,0.045479244169066936,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10102,7,0.0,20,10,51.241442180476824,51.241442180476824,0.0,0.19163498769011694,0.0,0.0,0.0,1.0,1.0,83,37.98679912828831,0.2503916509635096,1.1640798355361974,0.06176686753709632,0.05755639991846429,0.07309332202716046,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10402,7,0.0,21,10,38.95977688779141,38.95977688779141,0.0,0.08122061689407736,0.0,0.0,0.0,1.0,1.0,66,34.02110211551724,0.1698955162614902,1.7230671392069872,0.04636916049727888,0.039850356903943146,0.05152784152464433,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10002,7,0.0,22,10,140.40047337490546,140.40047337490546,0.0,0.39214892027957543,0.0,0.0,0.0,1.0,1.0,128,55.62065252626684,0.2286746436745371,1.91426151469636,0.07053425343474373,0.03209437486657407,0.04029166040709242,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/baseline_ppo_s2/model/final_model.zip
