variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
curriculum,ppo,1,10300,7,0.0,0,10,44.42145890740317,44.42145890740317,0.0,0.15170362685195948,0.0,0.0,0.0,1.0,1.0,75,34.8240696103199,0.1640259748070265,1.0563817497683081,0.03497430721918742,0.013333333333333334,0.02666666666666667,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10000,7,0.0,1,10,39.86346756989114,39.86346756989114,0.0,0.14768857091437285,0.0,0.0,0.0,1.0,1.0,88,39.003174081642754,0.3592350878129287,2.0,0.049701821779308375,0.011363636363636364,0.022727272727272728,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10800,7,0.0,2,10,92.41594391043031,92.41594391043031,0.0,0.31794991145585794,0.0,0.0,0.0,1.0,1.0,133,54.909391098009074,0.41411473816235883,1.6323366544028932,0.060156879982039245,0.013541910881386664,0.018055850401856845,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10200,7,0.0,3,10,95.24154528904249,95.24154528904249,0.0,0.2614833260138645,0.0,0.0,0.0,1.0,1.0,134,54.94713747130904,0.4059687793713333,1.4245222684560819,0.044752799467541585,0.011596430593462133,0.015930096604930822,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10300,7,0.0,4,10,41.90695485345871,41.90695485345871,0.0,0.13140862451516122,0.0,0.0,0.0,1.0,1.0,73,35.73801546496696,0.26624288185397366,2.0,0.026210581261045873,0.05246951512686194,0.05298774781292432,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10600,7,0.0,5,10,187.80769399084141,187.80769399084141,0.0,0.34519573222090116,0.0,0.0,0.0,1.0,1.0,150,55.606253037802844,0.2194881050623957,2.0,0.0606234346202109,0.01605277180671692,0.022629737854003906,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10000,7,0.0,6,10,42.326119637969846,42.326119637969846,0.0,0.11585006528238645,0.0,0.0,0.0,1.0,1.0,80,35.11459676939376,0.29329102682908,2.0,0.028941199591645272,0.06160408747382462,0.05500108790583909,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10100,7,0.0,7,10,166.75915622344635,166.75915622344635,0.0,0.4261681345225715,0.0,0.0,0.0,1.0,1.0,191,43.757911425575486,0.22713128355034853,1.3193006676215144,0.06940277560500682,0.017484224962158353,0.01897587350213715,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10200,7,0.0,8,10,37.30293725430779,37.30293725430779,0.0,0.08475969011595956,0.0,0.0,0.0,1.0,1.0,61,33.83015100274979,0.13009141982445763,1.826903325574574,0.023299485887782495,0.03295609061835242,0.045700468977943796,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10700,7,0.0,9,10,234.00015198876244,234.00015198876244,0.0,0.650231471054401,0.0,0.0,0.0,1.0,1.0,199,59.19560410381522,0.28361431654735647,2.0,0.07056004792245937,0.011506050974879433,0.01636206085358433,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10901,7,0.0,10,10,245.12101067220792,245.12101067220792,0.0,0.5207874058916784,0.0,0.0,0.0,1.0,1.0,205,60.47624344276321,0.2962122582300706,2.0,0.05209351233774569,0.021948387128550833,0.020011741359059403,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10401,7,0.0,11,10,178.6049125683555,178.6049125683555,0.0,0.4159339987531847,0.0,0.0,0.0,1.0,1.0,216,43.72115156298251,0.4339095764635712,2.0,0.0636450810254448,0.018424889003788983,0.017418311563906847,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10501,7,0.0,12,10,263.09337969844677,263.09337969844677,0.0,0.7457520604761335,0.0,0.0,0.0,1.0,1.0,232,59.90745209574908,0.35377630620249234,2.0,0.07995179748781836,0.012343873494657976,0.01445115306254091,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10601,7,0.0,13,10,113.20593080911704,113.20593080911704,0.0,0.34916911499421815,0.0,0.0,0.0,1.0,1.0,118,53.22499026231337,0.23029433488222817,2.0,0.0321419829407991,0.00847457627118644,0.01694915254237288,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10901,7,0.0,14,10,36.04122975245185,36.04122975245185,0.0,0.15516789690795005,0.0,0.0,0.0,1.0,1.0,66,34.91840635728187,0.22266077394788278,1.5847738986543944,0.05281069006851987,0.036567212054223724,0.048433752222494644,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10301,7,0.0,15,10,101.95827604742951,101.95827604742951,0.0,0.23485386656616938,0.0,0.0,0.0,1.0,1.0,138,45.84038945544197,0.2841005935227813,1.1160781882109487,0.052018414885885475,0.007246376811594203,0.014492753623188406,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10501,7,0.0,16,10,43.54434389241194,43.54434389241194,0.0,0.07920276165230207,0.0,0.0,0.0,1.0,1.0,70,34.834216299990295,0.16033908094320926,2.0,0.03842954879094448,0.04171130061149597,0.06236510957990374,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10101,7,0.0,17,10,118.02550214014059,118.02550214014059,0.0,0.29290153200297436,0.0,0.0,0.0,1.0,1.0,117,53.1853661685722,0.312814407313018,2.0,0.030116342502630226,0.008547008547008548,0.017094017094017096,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10801,7,0.0,18,10,255.56866701353613,255.56866701353613,0.0,0.6402513895690024,0.0,0.0,0.0,1.0,1.0,188,61.52165517446265,0.20080465554462015,2.0,0.0686946149139561,0.02067156139998994,0.028058739022371618,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10201,7,0.0,19,10,167.21506390533284,167.21506390533284,0.0,0.5286611235030387,0.0,0.0,0.0,1.0,1.0,177,58.106585121724244,0.34400566947015726,1.8218896090473609,0.0632242407326818,0.006959777093876553,0.01211508317182293,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10502,7,0.0,20,10,38.536106876061226,38.536106876061226,0.0,0.10899499399646231,0.0,0.0,0.0,1.0,1.0,74,36.8742486985551,0.3818284673515512,2.0,0.04673316921233325,0.07550776885772073,0.09622633688755937,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10602,7,0.0,21,10,113.20591836622762,113.20591836622762,0.0,0.3502343648140256,0.0,0.0,0.0,1.0,1.0,119,53.2955547814916,0.24516751986851815,2.0,0.031961323223820254,0.008403361344537815,0.01680672268907563,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10902,7,0.0,22,10,42.84435709794771,42.84435709794771,0.0,0.1850601261553171,0.0,0.0,0.0,1.0,1.0,124,35.124106313912655,0.5997398109534007,2.0,0.10280582884086235,0.060928757302463055,0.06205768156195841,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10402,7,0.0,23,10,200.86731780255826,200.86731780255826,0.0,0.4088616144759545,0.0,0.0,0.0,1.0,1.0,181,57.48843302580561,0.30776748625530514,2.0,0.05537955621443946,0.013638713083214522,0.01860443564409709,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10802,7,0.0,24,10,44.576436898247664,44.576436898247664,0.0,0.1303672617209266,0.0,0.0,0.0,1.0,1.0,85,37.330229893665035,0.4687952673548085,2.0,0.041633305294603545,0.07763243602479206,0.08764292965917027,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
curriculum,ppo,1,10102,7,0.0,25,10,112.48637369269937,112.48637369269937,0.0,0.27898468564397527,0.0,0.0,0.0,1.0,1.0,123,52.920331567760805,0.38555477788651343,2.0,0.044737189303992723,0.01747712250647506,0.022778801317137432,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/curriculum_ppo_s1/model/final_model.zip
