variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,1,10900,7,0.0,0,10,421.62598904044216,275.822150248959,1.0,0.9878352900083104,0.0,0.0,0.0,0.0,0.0,722,20.189649427128984,0.04943544957181222,0.2412921911141519,0.009634134818869449,0.2257617728531856,0.2257617728531856,0.0,,621,0,0,621,0.8601108033240997,0.0,0.0,0.8601108033240997,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10600,7,0.0,1,10,453.3729128592135,289.4978244884264,1.0,0.9891365665530389,0.0,0.0,0.0,0.0,0.0,802,20.20120201989298,0.07820968073937347,0.31231182068090957,0.008761863056988341,0.23067331670822944,0.23067331670822944,0.0,,690,0,0,690,0.8603491271820449,0.0,0.0,0.8603491271820449,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10500,7,0.0,2,10,498.5897163611412,311.93759310636955,1.0,0.9920394707976707,0.0,0.0,0.0,0.0,0.0,881,20.23199411980663,0.0756637178458561,0.26026173431416855,0.00700821772019012,0.22474460839954596,0.22701475595913734,0.0,,763,0,0,763,0.8660612939841089,0.0,0.0,0.8660612939841089,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10700,7,0.0,3,10,566.6922295945337,346.5923341051268,1.0,0.9909836867467017,0.0,0.0,0.0,0.0,0.0,992,20.268239066183266,0.06423784102402882,0.20536561879478232,0.006049222000236172,0.21975806451612903,0.2217741935483871,0.0,,865,0,0,865,0.8719758064516129,0.0,0.0,0.8719758064516129,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10800,7,0.0,4,10,582.0009678786566,355.34024771694624,1.0,0.9921371732271449,0.0,0.0,0.0,0.0,0.0,995,20.276628204717454,0.04025691850688583,0.1683911399641239,0.006508376702067241,0.21909547738693466,0.22110552763819097,0.0,,868,0,0,868,0.8723618090452261,0.0,0.0,0.8723618090452261,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10200,7,0.0,5,10,588.9814371096136,348.3019928494591,1.0,0.9942523721290325,0.0,0.0,0.0,0.0,0.0,1085,20.27181941342259,0.11039257000610693,0.7998925830531934,0.008367730732921356,0.2304147465437788,0.2304147465437788,0.0,,940,0,0,940,0.8663594470046083,0.0,0.0,0.8663594470046083,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10000,7,0.0,6,10,639.0885710044261,381.93782583841494,1.0,0.9923674441533332,0.0,0.0,0.0,0.0,0.0,1113,20.274640602172557,0.05566401211116348,0.20926759282618443,0.0092218503806161,0.23000898472596587,0.23180592991913745,0.0,,966,0,0,966,0.8679245283018868,0.0,0.0,0.8679245283018868,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10100,7,0.0,7,10,632.0537657550266,376.8305766764317,1.0,0.9925739957124559,0.0,0.0,0.0,0.0,0.0,1120,20.29620664375138,0.07183297772401247,0.2717396690764228,0.010795111403734023,0.23214285714285715,0.23035714285714284,0.0,,972,0,0,972,0.8678571428571429,0.0,0.0,0.8678571428571429,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10300,7,0.0,8,10,670.752611975335,354.8691113721182,0.0,0.8932006082877536,0.0,0.0,0.0,0.0,0.0,1200,20.279975098569157,0.05165964874620855,0.1973771256956195,0.008026636264597375,0.23,0.23166666666666666,0.0,,1043,0,0,1043,0.8691666666666666,0.0,0.0,0.8691666666666666,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10400,7,0.0,9,10,638.2878720707708,331.8901577698719,0.0,0.8926865781125559,0.0,0.0,0.0,0.0,0.0,1200,20.314131336903248,0.09940705272908716,0.3520094403252535,0.008613583175465464,0.22333333333333333,0.22333333333333333,0.0,,1048,0,0,1048,0.8733333333333333,0.0,0.0,0.8733333333333333,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10901,7,0.0,10,10,519.8051323939187,322.7814872750312,1.0,0.9907574469624244,0.0,0.0,0.0,0.0,0.0,908,20.27557891452428,0.06525495915664425,0.31998563684560405,0.007185109845867241,0.21585903083700442,0.21806167400881057,0.0,,792,0,0,792,0.8722466960352423,0.0,0.0,0.8722466960352423,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10601,7,0.0,11,10,540.7514097243902,329.070341611736,1.0,0.9919544583314541,0.0,0.0,0.0,0.0,0.0,985,20.23706847088485,0.10187787102300902,0.35801374505619427,0.007853581467974307,0.233502538071066,0.233502538071066,0.0,,851,0,0,851,0.8639593908629442,0.0,0.0,0.8639593908629442,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10501,7,0.0,12,10,562.4576301766454,342.9937577574364,1.0,0.9920920867040575,0.0,0.0,0.0,0.0,0.0,986,20.305509606417296,0.06822831888837833,0.29544980693544065,0.005967489547619472,0.21095334685598377,0.2129817444219067,0.0,,864,0,0,864,0.8762677484787018,0.0,0.0,0.8762677484787018,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
proposed,ppo,1,10101,7,0.0,13,10,443.590774684138,280.5476897561236,1.0,0.9897161849667576,0.0,0.0,0.0,0.0,0.0,814,20.17417540538055,0.11342576171019857,0.409755753256263,0.007479935362752006,0.23587223587223588,0.23832923832923833,0.0,,698,0,0,698,0.8574938574938575,0.0,0.0,0.8574938574938575,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/config.json,outputs/iscsic_main_nenv10_1p5m_ent001/runs/proposed_ppo_s1/model/final_model.zip
