#{"t_start": 1782790395.9616714, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-91.783521,600,2.521111,0.0,0.0,7.0727017510354715,-91.78352125106746,0.0,0.0,0.0,0.0,0.11800529666453749,600,0.7534130257508128,0.05250010548144406,0.11815284941226728,0.8200889846558372,0.8317263039806858,0.6515995757064471,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-149.296596,600,4.959646,0.0,0.0,4.629253677353182,-149.29659586559816,0.0,0.0,0.0,0.0,0.10753765878145613,600,0.7143223090868213,0.3932090045670634,0.7095124911539471,0.7908806188777089,0.8278507116747399,0.5936766733850042,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-90.185919,600,6.508212,0.0,0.0,7.391736634223598,-90.18591860578188,0.0,0.0,0.0,0.0,0.12187921661166189,600,0.805368823865889,0.07200856551447198,0.15059527306415513,0.8019412498703847,0.8529499606291453,0.6336140357951323,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-95.280993,600,8.822723,0.0,0.0,7.248388095365107,-95.28099343641422,0.0,0.0,0.0,0.0,0.10031247764919253,600,0.8189401168014121,0.10016208030213597,0.29555039250278486,0.8407147890826067,0.8387111246213317,0.6321666001280148,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-119.282884,600,10.441977,0.0,0.0,7.0734246458419126,-119.28288442501132,0.0,0.0,0.0,0.0,0.15476020509685495,600,0.8549441527634597,0.28883341315328964,0.6239549173036646,0.7812722890172153,0.7939730413009723,0.6042874040206273,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-134.287155,600,12.889277,0.0,0.0,6.571379876941448,-134.28715502797263,0.0,0.0,0.0,0.0,0.1420195875464381,600,0.8829530953261332,0.3008979718276214,0.842753191787458,0.8788670263439416,0.7913848143567641,0.6077582789957523,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-156.585412,600,15.331161,0.0,0.0,8.020030741974882,-156.58541206514792,0.0,0.0,0.0,0.0,0.1717807587111551,600,1.0063534491002033,0.44361305789302585,0.8503002730764451,0.792278572594126,0.7840496908128262,0.5698348227639993,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-164.905829,600,16.990255,0.0,0.0,9.389117127595899,-164.90582876091582,0.0,0.0,0.0,0.0,0.2012138792313826,600,1.1449573893067422,0.47343229134664416,0.9936307246409695,0.8369786999250451,0.7740669890244802,0.5666825826466083,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-181.662123,600,19.489581,0.0,0.0,8.55523926611115,-181.66212263087547,0.0,0.0,0.0,0.0,0.16149726602566467,600,1.1675588227234919,0.5257262793828145,0.9280746440394433,0.7972151239216327,0.7830292228112619,0.6488454645872116,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-161.818203,600,21.190214,0.0,0.0,9.51571958724961,-161.8182033950251,0.0,0.0,0.0,0.0,0.1742617078572962,600,1.1566507800103218,0.43243494418645945,0.9991381130521301,0.8286127609697481,0.7581209395825863,0.5792640340824922,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
