#{"t_start": 1780046716.7162035, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,curriculum_stage
10.470649,1200,9.031563,0.0,0.0,10.47064928041975,10.47064928041975,0.0,0.0,0.0,0.0,0.030723450964283566,1200,0.6753814269985732,0.2773197221857155,0.4832063396757125,0.826718460371097,0.8139987967691074,0.6185230916924774,0.0,40.15643161735602,3.0
12.041037,1200,16.050034,0.0,0.0,12.04103668803265,12.04103668803265,0.0,0.0,0.0,0.0,0.04269332803014034,1200,0.9782288646385054,0.4985451228403947,0.9992632765745807,0.8336364988361796,0.7902207023650408,0.6154243262857199,0.0,nan,3.0
-7.149322,441,18.448698,0.0,1.0,-7.149322242277457,-7.149322242277457,0.0,0.0,0.0,1.0,0.03588728955035821,441,1.0637517476398728,0.46372959927875596,1.046726115940764,0.7902535235766921,0.7186632491563724,0.5918489164776273,0.0,nan,3.0
16.387121,1200,26.410232,0.0,0.0,16.387121390935192,16.387121390935192,0.0,0.0,0.0,0.0,0.08075821051664117,1200,1.48418719346027,0.960000425273427,2.0,0.8478121881714712,0.7277074037988981,0.5729575572162866,0.0,nan,3.0
6.818296,1185,35.454971,0.0,1.0,6.818295624970901,6.818295624970901,0.0,0.0,0.0,1.0,0.07609640279719082,1185,1.44282523809292,0.5903776226999548,1.03623776174818,0.8400171169107348,0.7262890798884605,0.5424506843341553,0.0,37.97425123447164,3.0
-0.073448,409,37.645782,0.0,1.0,-0.07344816495512241,-0.07344816495512241,0.0,0.0,0.0,1.0,0.03158473807410833,409,1.4189948126902467,0.2126304342353889,1.0292418071218834,0.8611053093939947,0.6914411873936944,0.5679350938365628,0.0,nan,3.0
10.08149,946,43.732,0.0,1.0,10.081490052528391,10.081490052528391,0.0,0.0,0.0,1.0,0.06591738251184444,946,1.6742808506565567,0.5016320512095426,1.0316030060112886,0.8266922996219949,0.6879599584900552,0.5355072841205758,0.0005873763266245632,4.286242549210403,3.0
10.576746,559,47.622724,0.0,1.0,10.5767464732955,10.5767464732955,0.0,0.0,0.0,1.0,0.0672644709536589,559,2.232961870876688,0.3727465169443041,1.033431158071318,0.7555519595395687,0.6358600630423251,0.5065138815553969,0.0,nan,3.0
0.674043,763,53.814653,0.0,1.0,0.6740428773949425,0.6740428773949425,0.0,0.0,0.0,1.0,0.09477732123191722,763,2.4326603266359235,1.245127544104596,2.0,0.7926380385011239,0.6153818157990982,0.5066404548885001,0.0,nan,3.0
6.305939,655,58.642827,0.0,1.0,6.305939193928737,6.305939193928737,0.0,0.0,0.0,1.0,0.06374511619752446,655,2.0318858545139458,0.8503300472053508,2.0,0.8547686050240775,0.6349075342862661,0.5217820363190337,0.0,nan,3.0
