#{"t_start": 1780048649.8903503, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,curriculum_stage
-261.05026,1200,9.573123,0.0,0.0,8.493676466004153,-261.0502599115076,0.0,0.0,0.0,0.0,0.04835514277115774,1200,0.7234420953897658,0.28876906768322125,0.6255344090003009,0.8620451524419089,0.8065433322514097,0.6206287614256144,0.0,77.37801248794618,3.0
-770.834482,1200,16.089128,0.0,0.0,9.028595288938055,-770.8344817027191,0.0,0.0,0.0,0.0,0.05110425033673155,1200,0.8537729737748789,0.8061671755330799,2.0,0.7975570301090678,0.77435761179775,0.612123085881273,0.007362812305417332,2.416952335246797,3.0
-307.691119,1200,23.984775,0.0,0.0,16.772014192252296,-307.691119418185,0.0,0.0,0.0,0.0,0.056404684827456704,1200,0.9650514472663885,0.35703968416391135,0.9999641856151852,0.7988240949312846,0.7933933570422232,0.6357554985707005,0.0,nan,3.0
-1287.689333,1200,32.664737,0.0,0.0,7.5228214633742825,-1287.6893327932598,0.0,0.0,0.0,0.0,0.037083258756624306,1200,1.0679124597678697,1.1314625027794327,2.0,0.8043387994046013,0.7830149947479367,0.6103857782234748,0.0,nan,3.0
-1340.882783,1177,41.680506,0.0,1.0,1.5819566237229914,-1340.8827834076105,0.0,0.0,0.0,1.0,0.050802852167191055,1177,1.1908708993339037,1.0703171207007236,2.0,0.8097300886974916,0.7949774677508346,0.6104808316052517,0.0,nan,3.0
-960.54102,643,46.729321,0.0,1.0,-2.8342227117879526,-960.5410199388633,0.0,0.0,0.0,1.0,0.05707061704161677,643,1.7136425818178591,1.3025747936426033,2.0,0.7761997215299177,0.6667141290975396,0.5428645576511164,0.0,nan,3.0
-1300.088009,1200,55.55614,0.0,0.0,14.777145030137538,-1300.0880091730876,0.0,0.0,0.0,0.0,0.08500562664343732,1200,1.4243856403720732,1.1504000935404686,2.0,0.8006653826621671,0.7475681086505452,0.5755066950867573,0.0,28.556684323698374,3.0
-1787.234975,1135,64.525921,0.0,1.0,-1.9767788344429977,-1787.2349748547172,0.0,0.0,0.0,1.0,0.08181786787578392,1135,1.4329928797545755,1.4701122274693785,2.0,0.7994644347397767,0.7308308457881869,0.5869280731625494,0.0,33.02600935169831,3.0
-257.272538,605,70.559327,0.0,1.0,4.633093708877585,-257.272537695891,0.0,0.0,0.0,1.0,0.05081744387822725,605,1.4957305676138746,0.3304666688992185,1.0264472328434089,0.8122444794136138,0.7557828191390707,0.6005229914483945,0.0,nan,3.0
-314.571516,684,78.971563,0.0,1.0,0.5859859563950156,-314.5715159233452,0.0,0.0,0.0,1.0,0.03246740316808253,684,1.5390373857146855,0.45557540265747704,1.0453533411313092,0.8246907772910264,0.7456267390247674,0.5758668116310186,0.0,nan,3.0
-226.012273,400,82.220097,0.0,1.0,-4.262929083180302,-226.01227333455333,0.0,0.0,0.0,1.0,0.03135997015228402,400,1.0983632908902288,0.27974245481687965,1.0332440488481307,0.7931148756481707,0.8162637985497713,0.622851086705923,0.0,nan,3.0
-235.732919,382,84.70502,0.0,1.0,-3.5844832175775068,-235.73291896727778,0.0,0.0,0.0,1.0,0.03776501130057594,382,1.5568633967899181,0.4786353252708278,1.0305527107908838,0.7946487011007614,0.7087118074063855,0.5503278708582773,0.0,nan,3.0
-206.195004,277,87.242899,0.0,1.0,-5.762686083966655,-206.19500425596618,0.0,0.0,0.0,1.0,0.02366308614755746,277,1.277643883408859,0.41188135723101277,1.0341417942342441,0.7817703812830284,0.73675300740378,0.5246593930661033,0.0,51.55052592605177,3.0
-321.306386,676,92.726375,0.0,1.0,-2.5421295540741085,-321.3063861537388,0.0,0.0,0.0,1.0,0.051953321741774014,676,1.1029759692218317,0.4490714008953168,1.029310646735845,0.8016570943611614,0.7692673096995382,0.6165846690271027,0.0,nan,3.0
-330.38054,634,98.407327,0.0,1.0,-4.212947038094773,-330.3805401604377,0.0,0.0,0.0,1.0,0.03371671074112827,634,1.0284746671311136,0.4789447078000781,1.0284286361738417,0.8071835905501519,0.7828773741231356,0.5893402714928618,0.0,nan,3.0
-339.918484,702,103.77936,0.0,1.0,-3.4094436938002026,-339.918484372287,0.0,0.0,0.0,1.0,0.028240101362366713,702,0.890762870377595,0.4455221503479267,1.0280302213482815,0.8332658857743964,0.8182676174489522,0.6377585817266394,0.0,nan,3.0
-290.176469,1200,113.471879,0.0,0.0,15.21329960993971,-290.1764694019931,0.0,0.0,0.0,0.0,0.07188849746417783,1200,0.9070974907425449,0.3343767124735303,0.8070408818964068,0.8036515836805727,0.808192215487361,0.6073025813202063,0.0,nan,3.0
-260.147347,1200,122.103995,0.0,0.0,19.88373445448794,-260.14734704556207,0.0,0.0,0.0,0.0,0.043511758182782835,1200,0.9718146412252128,0.21223162816242636,0.9981795912114494,0.8122887803272655,0.7661260536809762,0.6025939435015122,0.0,45.491600005345916,3.0
-379.41713,1200,129.878349,0.0,0.0,15.382670708985609,-379.41712964630096,0.0,0.0,0.0,0.0,0.06527856726558161,1200,1.0622050901364617,0.5161002164158426,0.9987324801533773,0.7547268605232239,0.8017286227022609,0.6642928397407134,0.0,41.396283523022014,3.0
-308.434532,1200,138.084936,0.0,0.0,23.244264256709666,-308.4345318546293,0.0,0.0,0.0,0.0,0.0779558765126297,1200,1.2919824380801719,0.38343703093459086,0.9941856192756628,0.807339917862167,0.7539239100491008,0.585532841111223,0.0,nan,3.0
-236.207928,1200,146.694936,0.0,0.0,25.211789893920578,-236.2079281681975,0.0,0.0,0.0,0.0,0.07145580676440846,1200,1.3304923548993282,0.2812658254700032,0.9826846241407516,0.8385574071233471,0.7450059521694978,0.5844547483573357,0.0,nan,3.0
-1831.434625,1200,155.529574,0.0,0.0,6.211516224778484,-1831.4346247494423,0.0,0.0,0.0,0.0,0.08052992338603203,1200,1.3424060350613685,1.5451769617029008,2.0,0.79282669714652,0.7467071401203672,0.6021937928100427,0.0,nan,3.0
-194.849156,1200,163.729117,0.0,0.0,24.60011552742726,-194.8491557455217,0.0,0.0,0.0,0.0,0.051016984472921675,1200,1.177395073107155,0.19313048542112046,0.6255472141105863,0.8276814936908583,0.7899718867863218,0.6063722184548775,0.0,22.79542193459945,3.0
-308.058973,691,168.394899,0.0,1.0,0.6208175085408669,-308.0589728333845,0.0,0.0,0.0,1.0,0.05918441772442572,691,1.2435029780196467,0.37166864065316657,1.0239493518677194,0.8244606425767352,0.768058658832234,0.5725006490902687,0.0,nan,3.0
-366.4401,1200,177.476439,0.0,0.0,14.518677540545154,-366.4401001382915,0.0,0.0,0.0,0.0,0.06176271064679128,1200,1.0852467078784658,0.49634544942948217,0.9972500249147472,0.8298508205916733,0.8021627982954184,0.628835669606924,0.0,6.926653723648061,3.0
-282.64328,1200,185.285353,0.0,0.0,18.1548457046979,-282.64327984617535,0.0,0.0,0.0,0.0,0.04974920476747454,1200,1.0459038128158427,0.35516894337941535,0.9990788692171868,0.8026046866628652,0.7995638507356246,0.6223618354896704,0.0,nan,3.0
-320.367623,659,191.317029,0.0,1.0,-2.1311316941708798,-320.3676226198477,0.0,0.0,0.0,1.0,0.03450725060034144,659,1.0123914978184185,0.4161732905035346,1.0354989590690458,0.8067798697374117,0.8019058635636418,0.6138952166429963,0.0,71.43399395639136,3.0
-343.373493,1200,199.287943,0.0,0.0,19.776734123900958,-343.373493298044,0.0,0.0,0.0,0.0,0.08179709696666314,1200,1.2928192361702515,0.4863135790688459,0.9995738978671466,0.8459491588703046,0.7853299713631471,0.5835122836381197,0.0,36.97471710028552,3.0
