variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,2,10800,7,0.0,0,16,458.72284328835616,309.8334826889237,1.0,0.989327949946803,0.0,0.0,0.0,0.0,0.0,915,18.252666534864172,0.09727903630218768,0.23510857256867787,0.007291776499115541,0.23387978142076501,0.2360655737704918,0.0,,790,0,0,790,0.8633879781420765,0.0,0.0,0.8633879781420765,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10400,7,0.0,1,16,510.35275083324564,329.7947614858738,1.0,0.991115015344186,0.0,0.0,0.0,0.0,0.0,1031,18.30035549417319,0.1066291638934918,0.29102367836284654,0.009247382546103876,0.2289039767216295,0.2289039767216295,0.0,,896,0,0,896,0.8690591658583899,0.0,0.0,0.8690591658583899,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10300,7,0.0,2,16,548.171035297737,352.35476350858,1.0,0.9923859097000363,0.0,0.0,0.0,0.0,0.0,1083,18.329887445793343,0.08569028230476879,0.26802990031473806,0.004948531672193403,0.22160664819944598,0.21975992613111728,0.0,,947,0,0,947,0.8744228993536473,0.0,0.0,0.8744228993536473,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10600,7,0.0,3,16,529.039035558963,324.2350207230204,1.0,0.9910529467239073,0.0,0.0,0.0,0.0,0.0,1101,18.326887216656864,0.13447629978908301,0.3449886918162559,0.0060682877395758835,0.22161671207992734,0.22161671207992734,0.0,,963,0,0,963,0.8746594005449592,0.0,0.0,0.8746594005449592,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11100,7,0.0,4,16,547.3241625857432,338.33737511448385,1.0,0.9917451798271326,0.0,0.0,0.0,0.0,0.0,1110,18.29422309069812,0.10871141279642989,0.34832260637939955,0.005771670474981268,0.23063063063063063,0.23243243243243245,0.0,,965,0,0,965,0.8693693693693694,0.0,0.0,0.8693693693693694,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11300,7,0.0,5,16,552.5196727050997,342.8241654684869,1.0,0.9921641641087655,0.0,0.0,0.0,0.0,0.0,1113,18.31038183461291,0.10212919112626882,0.34347573234798695,0.009517098341876874,0.23000898472596587,0.23180592991913745,0.0,,967,0,0,967,0.8688230008984726,0.0,0.0,0.8688230008984726,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11400,7,0.0,6,16,556.3352351385546,338.3536361431716,1.0,0.988638126772276,0.0,0.0,0.0,0.0,0.0,1130,18.32725657406283,0.1043938856513398,0.9768022842227346,0.014385040084196799,0.2247787610619469,0.22743362831858407,0.0,,977,0,0,977,0.8646017699115044,0.0,0.0,0.8646017699115044,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11200,7,0.0,7,16,576.4328378216654,359.1217764935545,1.0,0.9929897177020139,0.0,0.0,0.0,0.0,0.0,1154,18.342593504785274,0.09794543596960488,0.2794175422194049,0.005410536871682304,0.21750433275563258,0.21923743500866552,0.0,,1012,0,0,1012,0.8769497400346621,0.0,0.0,0.8769497400346621,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10900,7,0.0,8,16,581.1083165030798,352.15328640070504,1.0,0.9921866888510543,0.0,0.0,0.0,0.0,0.0,1202,18.318499886449327,0.12510412274460916,0.34553217696574623,0.006163200198288405,0.22628951747088186,0.22795341098169716,0.0,,1047,0,0,1047,0.8710482529118136,0.0,0.0,0.8710482529118136,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10100,7,0.0,9,16,629.4525573469023,385.14330489152337,1.0,0.9918266853038138,0.0,0.0,0.0,0.0,0.0,1262,18.334672148247765,0.09565217885608983,0.2839348345535416,0.0055404546956211425,0.2218700475435816,0.22345483359746435,0.0,,1105,0,0,1105,0.875594294770206,0.0,0.0,0.875594294770206,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane125_smooth003_accel0015_progress45_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
