#{"t_start": 1782828755.0905514, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-90.131523,600,4.643188,0.0,0.0,7.1345317526069065,-90.13152341433076,0.0,0.0,0.0,0.0,0.11029540106292109,600,0.7839208653201427,0.037491577949340237,0.09286152524734735,0.8126143998776872,0.8278052065831919,0.6198601634924611,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-102.432073,600,10.243665,0.0,0.0,5.837106069739948,-102.43207263912034,0.0,0.0,0.0,0.0,0.09236680641820966,600,0.6392795383077858,0.12414414024693571,0.19515193067846565,0.8022683311952278,0.82562655026714,0.6449474561711153,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-129.732593,600,13.710186,0.0,0.0,7.799241684695226,-129.73259266997565,0.0,0.0,0.0,0.0,0.11459558819216652,600,0.794103920169394,0.20565102642704042,0.42708904480871557,0.8756244840597113,0.8072665193180243,0.6264126712083816,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-92.422355,600,19.268574,0.0,0.0,9.263867162402168,-92.42235475109773,0.0,0.0,0.0,0.0,0.1164877873564097,600,0.8989746346920255,0.08199323362705527,0.24811131665927094,0.8179753258420775,0.7972890453537306,0.5842706821362178,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-93.859553,600,22.701904,0.0,0.0,9.464276606978256,-93.85955266925608,0.0,0.0,0.0,0.0,0.12701483122932086,600,0.8871917186427503,0.1187111013608262,0.2151814414978381,0.8344074557473262,0.7818157192443808,0.6280048472434282,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-93.47879,600,28.217393,0.0,0.0,10.437735298004782,-93.4787897493484,0.0,0.0,0.0,0.0,0.17615115839414924,600,0.9802685452909975,0.1288976721190092,0.27921583633277935,0.8171926654502749,0.8118254136045774,0.6677988118429978,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-82.145342,600,33.822458,0.0,0.0,12.41819843008387,-82.14534193050689,0.0,0.0,0.0,0.0,0.1436588177626541,600,1.015125458956721,0.07237288990368185,0.1596036010414193,0.8228029593763252,0.7765518413980802,0.6257059073448181,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-127.764265,600,37.369551,0.0,0.0,10.155728635542077,-127.76426492441519,0.0,0.0,0.0,0.0,0.13281695629671827,600,0.9973755744754971,0.13896223820014192,0.9846330377700017,0.8462071823887527,0.7890423497060934,0.6198393527666728,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-87.02556,600,42.978978,0.0,0.0,10.837912633822192,-87.02556039317948,0.0,0.0,0.0,0.0,0.14441737387932385,600,0.9376988276237425,0.07822090732002134,0.17776078403836498,0.8093947032590707,0.8013191163043181,0.6417903671165307,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-468.175184,499,45.96735,0.0,1.0,-8.12847217923542,-468.1751842047445,0.0,0.0,0.0,1.0,0.09961495806423838,499,0.7897391627403297,0.5951376183855902,1.0278504782410827,0.8441784001722603,0.8501812079566753,0.6054513179109188,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-108.904156,600,51.652046,0.0,0.0,10.81276401557517,-108.90415573853245,0.0,0.0,0.0,0.0,0.14960214485468923,600,1.000093958992544,0.1979960547705355,0.40324053349212574,0.7845825155948599,0.7337847306330999,0.5706094333529472,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-293.332022,600,54.971484,0.0,0.0,6.158785780918005,-293.33202161056073,0.0,0.0,0.0,0.0,0.1362251730525482,600,0.9449714277694433,0.4608988125784492,0.9999457098063037,0.841820967340221,0.801145802848041,0.6326678507775069,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-86.899113,600,60.917079,0.0,0.0,12.320745433427756,-86.89911260161654,0.0,0.0,0.0,0.0,0.1449666056951824,600,1.035669774924027,0.0959270998719626,0.22558452290237593,0.8060383719205856,0.7966866948703925,0.6261593307554721,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-307.352869,600,66.477015,0.0,0.0,7.308732339071841,-307.3528689266562,0.0,0.0,0.0,0.0,0.167870711716773,600,1.1840051204194069,0.546107303051112,0.9991259177407921,0.8313892818490665,0.7705549795553088,0.5805932218829791,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-92.558323,600,69.844359,0.0,0.0,11.757256839078908,-92.55832260101862,0.0,0.0,0.0,0.0,0.17471258218993801,600,1.0364982338553939,0.11892408878803487,0.4114166175597965,0.8736507753531139,0.7963800021757682,0.6346444302300612,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-118.787178,600,75.637811,0.0,0.0,11.152263766038656,-118.78717844526089,0.0,0.0,0.0,0.0,0.1721013719239123,600,1.094198503454877,0.23897564823512174,0.5189223137615047,0.8023525208855669,0.7431774650762478,0.6063833422958851,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-181.227128,600,78.618312,0.0,0.0,10.56897706027667,-181.22712849187272,0.0,0.0,0.0,0.0,0.18730483781207533,600,1.2515007849100424,0.3378565488765813,0.9929823880089895,0.7947625210508704,0.8089201390991608,0.6267926469445229,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-131.562459,600,84.610787,0.0,0.0,10.285647323148508,-131.5624586101062,0.0,0.0,0.0,0.0,0.13110178340313847,600,1.0018041745886899,0.21046891766914927,0.6479926783511742,0.805407881376644,0.7701718409111102,0.6302201742430528,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-378.115697,600,90.301792,0.0,0.0,8.041239659379738,-378.11569684200174,0.0,0.0,0.0,0.0,0.1761504381797754,600,1.1565178023625877,0.5670920520645835,1.3725926443988845,0.8107485989977916,0.7860207885007063,0.6215700533489387,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-432.051445,452,92.798996,0.0,1.0,-5.863982580189234,-432.051444843458,0.0,0.0,0.0,1.0,0.1307941365463348,452,1.1657010458353845,0.6035588110047194,1.0234913092283568,0.7739188372079218,0.8327700626269906,0.6305637654345647,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-194.673234,600,98.721554,0.0,0.0,9.72738505171685,-194.6732338292175,0.0,0.0,0.0,0.0,0.20916674240853741,600,1.2356207248946818,0.33435415692013404,0.999087518579181,0.8606536615391572,0.7626015235235294,0.6154295613865057,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-159.378984,600,101.86307,0.0,0.0,8.026325146403611,-159.37898398812186,0.0,0.0,0.0,0.0,0.13023930996448563,600,0.9093593002939728,0.27714689153548266,0.7662261889416715,0.8648647410298387,0.8375299529234568,0.6665491238733132,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-266.587164,600,107.922181,0.0,0.0,7.546751181480986,-266.5871641352148,0.0,0.0,0.0,0.0,0.15272434387103306,600,1.1233033741847558,0.457921155807213,0.9972766060218403,0.8639866728459795,0.7478766366342704,0.5898726738989353,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-229.142069,600,111.231548,0.0,0.0,9.963800074540176,-229.14206928273074,0.0,0.0,0.0,0.0,0.175226222225825,600,1.2080329398883987,0.4380893534883312,0.7927378553077581,0.8402094416320324,0.8088778158773978,0.605305012067159,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-84.785556,600,116.980089,0.0,0.0,12.715944034763503,-84.785555823911,0.0,0.0,0.0,0.0,0.15366839502032487,600,1.0557481600442116,0.0831571585243418,0.2524585836728279,0.8612542153894901,0.8137152493993441,0.6125367705027263,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-91.911978,600,120.675018,0.0,0.0,11.27461282781395,-91.91197780106494,0.0,0.0,0.0,0.0,0.1330507589819035,600,0.9758392055496863,0.0782736285940778,0.4215016763966004,0.830974972092857,0.8462802258878946,0.6686167247096697,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-89.963382,600,126.320367,0.0,0.0,13.458443015227193,-89.96338197384499,0.0,0.0,0.0,0.0,0.20432946484209885,600,1.190545759261503,0.14204971101926464,0.3437996460762881,0.8606334849384923,0.7630844319860141,0.6032892749706904,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-136.167258,600,132.036347,0.0,0.0,11.361331958224435,-136.16725806206355,0.0,0.0,0.0,0.0,0.17020595997846993,600,1.127858235751287,0.2631852906763085,0.6003780229907705,0.7879376334821184,0.7840019363661607,0.6150532708565394,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
