variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,2,10900,7,0.0,0,16,391.80780509037487,257.66447315176305,1.0,0.9885579009333033,0.0,0.0,0.0,0.0,0.0,841,18.275952678027128,0.1714068768829779,0.3187692554901492,0.009543196955423328,0.2178379572245794,0.22013799401440887,0.0,,729,0,0,729,0.8668252080856124,0.0,0.0,0.8668252080856124,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10800,7,0.0,1,16,432.16852865616573,289.2814482931803,1.0,0.9896080200213055,0.0,0.0,0.0,0.0,0.0,892,18.252149977495144,0.13028227222831343,0.24708568281321294,0.009427010949863947,0.22953829102452025,0.23171042674325507,0.0,,769,0,0,769,0.8621076233183856,0.0,0.0,0.8621076233183856,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10500,7,0.0,2,16,454.3202530952478,309.6084348933031,1.0,0.9890330918881612,0.0,0.0,0.0,0.0,0.0,895,18.26511431371209,0.08569441580277704,0.19759271013398055,0.008655332120437197,0.22414543548775784,0.22405086496022827,0.0,,773,0,0,773,0.8636871508379889,0.0,0.0,0.8636871508379889,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11500,7,0.0,3,16,456.49245752267484,309.0289391626344,1.0,0.9901243607680434,0.0,0.0,0.0,0.0,0.0,904,18.275750269430628,0.09115873910356502,0.20745702463642346,0.009201718824998005,0.2204503165145891,0.2215289062103339,0.0,,783,0,0,783,0.8661504424778761,0.0,0.0,0.8661504424778761,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10100,7,0.0,4,16,479.979367118656,320.49335080577,1.0,0.9929002469657362,0.0,0.0,0.0,0.0,0.0,955,18.2550091462274,0.09179957317650896,0.17721132558735758,0.011988222921335416,0.23329420002343143,0.23113832823269032,0.0,,822,0,0,822,0.8607329842931937,0.0,0.0,0.8607329842931937,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11000,7,0.0,5,16,505.88952353466794,330.68661259051265,1.0,0.9904908620986539,0.0,0.0,0.0,0.0,0.0,1011,18.316287076910033,0.09856943030893062,0.23515556633846738,0.006593839531629894,0.21117914795993462,0.21307532664694254,0.0,,884,0,0,884,0.874381800197824,0.0,0.0,0.874381800197824,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11400,7,0.0,6,16,493.9320089668234,316.40612765222374,1.0,0.990293695610504,0.0,0.0,0.0,0.0,0.0,1015,18.270019159061093,0.12334564636810191,0.287395363506263,0.009202586081374454,0.22531991697884546,0.22523452859793977,0.0,,877,0,0,877,0.864039408866995,0.0,0.0,0.864039408866995,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11300,7,0.0,7,16,509.1679631013842,324.1757295987893,1.0,0.992178610126103,0.0,0.0,0.0,0.0,0.0,1050,18.302189710219615,0.1273194100026172,0.2739553773725889,0.0068827394564591705,0.21676431701296853,0.21860843715213593,0.0,,915,0,0,915,0.8714285714285714,0.0,0.0,0.8714285714285714,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,11200,7,0.0,8,16,510.41481897325554,307.68884452734875,1.0,0.9910062024408712,0.0,0.0,0.0,0.0,0.0,1100,18.326343170971438,0.16489410625525527,0.3391947404044476,0.011043109445070679,0.21667812938039954,0.21843614952130752,0.0,,957,0,0,957,0.87,0.0,0.0,0.87,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10400,7,0.0,9,16,605.0719755177056,386.57372846698985,1.0,0.9937956499022657,0.0,0.0,0.0,0.0,0.0,1168,18.28650336574139,0.05621946494437923,0.14874801362838175,0.011696147301859439,0.23227619471615307,0.23391944067935422,0.0,,1007,0,0,1007,0.8621575342465754,0.0,0.0,0.8621575342465754,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed2_1m/runs/proposed_ppo_s2/model/final_model.zip
