#{"t_start": 1782783960.6109304, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-93.850825,600,2.526916,0.0,0.0,6.574743744729467,-93.85082489445948,0.0,0.0,0.0,0.0,0.09065663108194191,600,0.7047880347805267,0.062248084959038094,0.13809508176746704,0.8200846511218697,0.8317276550193007,0.6515989561906705,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-140.399319,600,5.085467,0.0,0.0,4.939975606328436,-140.3993187566547,0.0,0.0,0.0,0.0,0.09389850434622392,600,0.6958360882519178,0.367574699485458,0.6076746881924684,0.7902654200171431,0.8285690840147436,0.593561462846895,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-92.072961,600,6.744482,0.0,0.0,7.131788465627828,-92.07296149744529,0.0,0.0,0.0,0.0,0.09569952681194022,600,0.7896705293936873,0.08508739913512448,0.2886006280026934,0.8008456484259416,0.8554342294236025,0.6331706957022349,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-90.605091,600,9.173509,0.0,0.0,6.836666503904732,-90.60509099766706,0.0,0.0,0.0,0.0,0.10775561478238277,600,0.7325063899278452,0.044089976982520124,0.11125101254581578,0.8400814565860977,0.8397987574028473,0.631930516747137,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-105.40808,600,10.681674,0.0,0.0,6.802323581298957,-105.40808020854463,0.0,0.0,0.0,0.0,0.10091926353903447,600,0.7988346270551955,0.21142862226025957,0.44328856381600334,0.7804178262936572,0.7961531257505218,0.6043019764870405,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-84.860311,600,13.051383,0.0,0.0,9.387189835230293,-84.86031148566578,0.0,0.0,0.0,0.0,0.1485489935173854,600,0.8617970628110675,0.03938176996371152,0.11441459643353033,0.8804402624318997,0.7902024758731325,0.6073791684955359,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-84.27566,600,15.39165,0.0,0.0,11.239399893780442,-84.27566046019061,0.0,0.0,0.0,0.0,0.12795840029546432,600,0.9566991643514037,0.07049144551116475,0.23866933796214568,0.7910315491134922,0.7797846993307272,0.5684215090920528,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-74.096706,600,16.972074,0.0,0.0,14.492807063113503,-74.0967061987744,0.0,0.0,0.0,0.0,0.17838024520808152,600,1.0487860542841367,0.027054143250699044,0.07138722823998002,0.8351878111436963,0.7741563587635756,0.5723763004442056,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-85.67509,600,19.274436,0.0,0.0,12.891671499442463,-85.67509023374595,0.0,0.0,0.0,0.0,0.19955629604390085,600,1.1981172799185984,0.22422236300402446,0.35102254084540374,0.7888043894991279,0.7622240633144974,0.6431020476669073,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-246.489786,600,20.808884,0.0,0.0,10.641238699783592,-246.48978618576248,0.0,0.0,0.0,0.0,0.19067407236483358,600,1.4815905203050688,0.5976593678974292,2.0,0.8201359519610802,0.7220656277736028,0.5633101994792621,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
