#{"t_start": 1782787071.362768, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,curriculum_stage
-106.232198,600,2.669615,0.0,0.0,4.790809779682631,-106.23219816912832,0.0,0.0,0.0,0.0,0.10074767043191014,600,0.6631661042831751,0.15695423844236353,0.3621859651868246,0.8032405817539742,0.8173116120385627,0.6179809961343805,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-99.491617,600,5.25898,0.0,0.0,5.633193234947204,-99.49161710630261,0.0,0.0,0.0,0.0,0.08645805006020696,600,0.6650658587188034,0.09603826461111495,0.2684302800604858,0.8724764261270562,0.8462572083311777,0.6231755179787676,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-152.61527,600,6.777071,0.0,0.0,6.737065809511775,-152.61527027607352,0.0,0.0,0.0,0.0,0.12595643141029322,600,0.8751082951723194,0.40645601583130864,0.894659077388672,0.8266561097900073,0.7615651375924547,0.6197436176488796,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-94.698947,600,9.088749,0.0,0.0,6.992735855871781,-94.69894744320972,0.0,0.0,0.0,0.0,0.10080964543699127,600,0.7939644828778829,0.10719111112427965,0.20982164347139262,0.8588265576586127,0.8315723910182714,0.662242096811533,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-103.388973,600,10.744096,0.0,0.0,8.018771090714191,-103.38897339833427,0.0,0.0,0.0,0.0,0.1434296078718471,600,0.8866361572489533,0.22178333312273343,0.38061678674927774,0.8462156138848513,0.7815181667854388,0.6241242264211178,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-118.995203,600,13.170835,0.0,0.0,10.423890008454114,-118.99520303150989,0.0,0.0,0.0,0.0,0.17034030452495996,600,1.0654561427397753,0.32242590187803005,0.6730166951805356,0.7822289702668787,0.792130229100585,0.6071582419176896,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-128.82386,600,15.567069,0.0,0.0,11.398491973679763,-128.823860190378,0.0,0.0,0.0,0.0,0.17542534132509702,600,1.3271357373028763,0.3850924213477832,0.739472067185234,0.8172647832954923,0.7357308641821146,0.5886161834994952,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-101.830207,600,17.241648,0.0,0.0,11.196084704716316,-101.83020715294613,0.0,0.0,0.0,0.0,0.20374002343715716,600,1.2812894339351446,0.291695017692499,0.5621746483494554,0.814296014951542,0.755678774913152,0.6200691129763921,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-97.758802,600,19.666394,0.0,0.0,16.323961180318697,-97.75880215224257,0.0,0.0,0.0,0.0,0.20079110854956336,600,1.5153143574020047,0.24160916836565444,0.9994035087341433,0.8469043544741969,0.7084181537727515,0.5755939757823945,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-209.666462,368,20.744595,0.0,1.0,-4.88996561167231,-209.66646192125802,0.0,0.0,0.0,1.0,0.17228673965077765,368,1.572538110350813,0.49890388932501273,1.021757023551033,0.8227974119110276,0.6897972565873162,0.5662079261534888,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-125.17123,600,23.273384,0.0,0.0,15.310853078555999,-125.17123034241706,0.0,0.0,0.0,0.0,0.2522211408674171,600,1.6158900472378903,0.37671086402518844,0.9063646676158831,0.8151531999992827,0.7058482451240221,0.5878766407569249,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-410.506281,600,25.128714,0.0,0.0,16.20618809591809,-410.50628124122204,0.0,0.0,0.0,0.0,0.2513179967430551,600,1.9717492451634246,0.8293614735316659,2.0,0.7965163787081838,0.6493249155084292,0.535079412808021,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-299.008627,600,27.710812,0.0,0.0,14.922373635809993,-299.0086270855707,0.0,0.0,0.0,0.0,0.24953968143359276,600,1.7735835591050382,0.6664603952895649,2.0,0.8146575326348344,0.67977623693645,0.583482797096173,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-191.801203,600,29.534055,0.0,0.0,11.330437413325942,-191.8012034709428,0.0,0.0,0.0,0.0,0.2759994575319053,600,1.6089830693359521,0.5648677912922223,0.9998760100091056,0.8382816195301711,0.7049794776489338,0.56119773671031,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-119.033001,600,32.205547,0.0,0.0,13.895793797753768,-119.03300082254854,0.0,0.0,0.0,0.0,0.24790429760091962,600,1.4329985645740124,0.31639726998615775,0.9990375892056717,0.7993665324648221,0.72273638377587,0.6002310567597549,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-147.769683,600,34.939148,0.0,0.0,14.199926460871252,-147.76968253844925,0.0,0.0,0.0,0.0,0.2233929857451577,600,1.502716168387485,0.44490901860400944,0.9971631299067117,0.8142519706798097,0.7002091342707475,0.6002221422394117,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-169.114887,366,36.020789,0.0,1.0,1.5217637685105352,-169.11488674712328,0.0,0.0,0.0,1.0,0.17081850474370117,366,1.854254195414193,0.2389693668158651,1.0340379933847166,0.7942153936750739,0.7136478645554005,0.5878615822296976,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-101.786066,600,38.688518,0.0,0.0,16.119319302029552,-101.78606560674801,0.0,0.0,0.0,0.0,0.26006646406129874,600,1.5489017843945785,0.32225372803990204,0.6471755346707003,0.8014561931292216,0.7217878286540508,0.5985421805580458,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-489.654785,600,40.539318,0.0,0.0,12.172560243815326,-489.65478451196503,0.0,0.0,0.0,0.0,0.2566956129661432,600,1.8175512515664893,0.915151312843978,2.0,0.8239935824461281,0.6771225943168004,0.5619137887159983,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-375.719635,600,43.104595,0.0,0.0,11.759539519414897,-375.71963498895315,0.0,0.0,0.0,0.0,0.28503026549764304,600,1.96740060955447,0.8858603476687504,1.5678347101683752,0.8485767989481489,0.7071870007614295,0.5413660006721814,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-120.520579,600,44.911203,0.0,0.0,16.96401299073407,-120.52057912220717,0.0,0.0,0.0,0.0,0.2765221476346735,600,1.7458048845474408,0.3609773100057211,0.9984149539575774,0.7844973812500636,0.7079143923521042,0.5659369277954102,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
-98.432865,600,47.554302,0.0,0.0,18.5003656857277,-98.43286494128627,0.0,0.0,0.0,0.0,0.3684201134272691,600,2.090923250238348,0.3551306210775223,0.9854447137122507,0.8127385108793775,0.6609881121168534,0.5326082616547744,0.0,nan,0,0,0,0,0.0,0.0,0.0,0.0,0.0
