variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,2,10600,7,0.0,0,10,438.14836682655596,283.3545330562137,1.0,0.9887147884971109,0.0,0.0,0.0,0.0,0.0,759,20.202240585721245,0.06083375200543017,0.30908976665026044,0.034867670672316206,0.23715415019762845,0.23715415019762845,0.0,,646,0,0,646,0.8511198945981555,0.0,0.0,0.8511198945981555,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10500,7,0.0,1,10,451.8432138215065,287.7618785454166,1.0,0.9896939557159463,0.0,0.0,0.0,0.0,0.0,795,20.243640577790416,0.07743782552240777,0.4449234224332104,0.031687857069473406,0.2238993710691824,0.2238993710691824,0.0,,686,0,0,686,0.8628930817610063,0.0,0.0,0.8628930817610063,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10900,7,0.0,2,10,451.1648469355271,280.0797172595992,1.0,0.9897967100473921,0.0,0.0,0.0,0.0,0.0,831,20.227432085285255,0.11888415597877422,0.7246467287933256,0.03355458909062899,0.22743682310469315,0.22743682310469315,0.0,,710,0,0,710,0.8543922984356197,0.0,0.0,0.8543922984356197,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10000,7,0.0,3,10,470.8112190143399,297.3214573005814,1.0,0.9901040049409242,0.0,0.0,0.0,0.0,0.0,839,20.17645164687249,0.08428619895023147,0.27556951371334326,0.038163259804151126,0.2431466030989273,0.25148986889153757,0.0,,707,0,0,707,0.8426698450536353,0.0,0.0,0.8426698450536353,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10400,7,0.0,4,10,506.6543903980868,316.7436618992759,1.0,0.9903729453881868,0.0,0.0,0.0,0.0,0.0,878,20.182373014133244,0.05451025695556609,0.3897720599507202,0.031548499049627324,0.244874715261959,0.24715261958997722,0.0,,749,0,0,749,0.8530751708428246,0.0,0.0,0.8530751708428246,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10800,7,0.0,5,10,524.7324650615667,320.65850293417384,1.0,0.9916970055795863,0.0,0.0,0.0,0.0,0.0,953,20.244067754846785,0.10017923505921351,0.4058692410510266,0.03135368270469206,0.236096537250787,0.236096537250787,0.0,,819,0,0,819,0.8593913955928646,0.0,0.0,0.8593913955928646,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10200,7,0.0,6,10,580.5122790023584,350.07855699354855,1.0,0.9921329776074113,0.0,0.0,0.0,0.0,0.0,1037,20.220165019388453,0.08086282267527625,0.3951222340980217,0.03031767335996075,0.24108003857280616,0.24493731918997108,0.0,,891,0,0,891,0.8592092574734812,0.0,0.0,0.8592092574734812,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10700,7,0.0,7,10,638.0461829719263,379.38994927578005,1.0,0.9925132071622694,0.0,0.0,0.0,0.0,0.0,1131,20.29744612033224,0.07307880230140175,0.29319306975224974,0.03655080858780241,0.2369584438549956,0.2369584438549956,0.0,,973,0,0,973,0.8603006189213086,0.0,0.0,0.8603006189213086,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10100,7,0.0,8,10,617.0312710499774,353.6474117304718,1.0,0.9932432213044743,0.0,0.0,0.0,0.0,0.0,1158,20.300523529677246,0.128806399213885,0.6948556353766696,0.029464284883820514,0.22625215889464595,0.22797927461139897,0.0,,1008,0,0,1008,0.8704663212435233,0.0,0.0,0.8704663212435233,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10300,7,0.0,9,10,629.3662786889199,325.16945785116116,0.0,0.981152001302847,0.0,0.0,0.0,0.0,0.0,1200,20.227362188008524,0.10982521358940552,0.4852033975011317,0.036420833644612384,0.25166666666666665,0.25333333333333335,0.0,,1018,0,0,1018,0.8483333333333334,0.0,0.0,0.8483333333333334,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10501,7,0.0,10,10,529.1223718229376,328.08286561422403,1.0,0.9915652032095749,0.0,0.0,0.0,0.0,0.0,935,20.21929456966123,0.07310193855379905,0.14832339539444836,0.028272665495222265,0.23315508021390374,0.23529411764705882,0.0,,807,0,0,807,0.8631016042780749,0.0,0.0,0.8631016042780749,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10401,7,0.0,11,10,503.38607692877105,312.21129317418297,1.0,0.9910594720700746,0.0,0.0,0.0,0.0,0.0,904,20.269977595396966,0.09268582587151454,0.31747853855310965,0.02788322992350873,0.22013274336283187,0.22234513274336284,0.0,,784,0,0,784,0.8672566371681416,0.0,0.0,0.8672566371681416,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10801,7,0.0,12,10,513.3279596325355,312.65975712841407,1.0,0.9920509841457928,0.0,0.0,0.0,0.0,0.0,941,20.26850965297635,0.10954299408516278,0.5104584826923685,0.032394150836149764,0.22316684378320936,0.22741764080765142,0.0,,809,0,0,809,0.8597236981934112,0.0,0.0,0.8597236981934112,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10901,7,0.0,13,10,595.3102562944493,353.62064980265893,1.0,0.9920630656262379,0.0,0.0,0.0,0.0,0.0,1081,20.292043669592207,0.09867961684452184,0.538373928802174,0.032121731829894126,0.2238667900092507,0.22756706753006475,0.0,,934,0,0,934,0.8640148011100832,0.0,0.0,0.8640148011100832,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10201,7,0.0,14,10,512.8768094277218,319.504756180365,1.0,0.9904148582378638,0.0,0.0,0.0,0.0,0.0,905,20.214858613491685,0.0731825216121236,0.1981134085438207,0.029732063954994493,0.23646408839779007,0.23646408839779007,0.0,,779,0,0,779,0.8607734806629834,0.0,0.0,0.8607734806629834,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10601,7,0.0,15,10,639.4235451978561,330.9701532635903,0.0,0.8605772768350801,0.0,0.0,0.0,0.0,0.0,1200,20.299132352099726,0.09820921940122507,0.3845768850364348,0.027130190376192333,0.225,0.22666666666666666,0.0,,1047,0,0,1047,0.8725,0.0,0.0,0.8725,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10001,7,0.0,16,10,655.4948563661545,345.0753906632725,0.0,0.9170410947956813,0.0,0.0,0.0,0.0,0.0,1200,20.244301692398224,0.07291222104563955,0.3409276157236505,0.03335897337140826,0.25,0.25166666666666665,0.0,,1028,0,0,1028,0.8566666666666667,0.0,0.0,0.8566666666666667,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10701,7,0.0,17,10,526.0638480248263,321.6945494895322,1.0,0.9910382735868171,0.0,0.0,0.0,0.0,0.0,964,20.26870407261279,0.11094698998224463,0.27001075342411957,0.030913736956692552,0.22406639004149378,0.22614107883817428,0.0,,834,0,0,834,0.8651452282157677,0.0,0.0,0.8651452282157677,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10301,7,0.0,18,10,529.9041359976892,319.60486981680555,1.0,0.9920678418245817,0.0,0.0,0.0,0.0,0.0,990,20.20991547683979,0.12593236650035136,0.564843005725769,0.03175132001016402,0.24444444444444444,0.24848484848484848,0.0,,848,0,0,848,0.8565656565656565,0.0,0.0,0.8565656565656565,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10101,7,0.0,19,10,647.0333596972774,340.6408118807667,0.0,0.924166356725125,0.0,0.0,0.0,0.0,0.0,1200,20.26376036877365,0.08443399622278755,0.35587117281314795,0.03281927174655721,0.24,0.24166666666666667,0.0,,1030,0,0,1030,0.8583333333333333,0.0,0.0,0.8583333333333333,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10602,7,0.0,20,10,495.1209568806016,311.0888515843433,1.0,0.9899672170923998,0.0,0.0,0.0,0.0,0.0,850,20.259131392810836,0.05039084666553232,0.4075807760378307,0.029593522071509677,0.2211764705882353,0.22588235294117648,0.0,,737,0,0,737,0.8670588235294118,0.0,0.0,0.8670588235294118,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10802,7,0.0,21,10,520.3726920758153,313.70751401844535,1.0,0.9918994298573722,0.0,0.0,0.0,0.0,0.0,958,20.26138568560849,0.11382068388144496,0.7722405706528823,0.031407465069459475,0.2254697286012526,0.22338204592901878,0.0,,824,0,0,824,0.860125260960334,0.0,0.0,0.860125260960334,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10502,7,0.0,22,10,597.091583803804,346.7867832665334,1.0,0.9908024721039507,0.0,0.0,0.0,0.0,0.0,1128,20.184231270648958,0.12807588315938123,0.7690265580508439,0.04190404666917966,0.25177304964539005,0.25886524822695034,0.0,,929,0,0,929,0.8235815602836879,0.0,0.0,0.8235815602836879,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10202,7,0.0,23,10,549.5153036321001,336.1438312369527,1.0,0.991886512129658,0.0,0.0,0.0,0.0,0.0,980,20.24582440352016,0.08210478918655097,0.25809385712950295,0.028636484301877114,0.22857142857142856,0.23061224489795917,0.0,,849,0,0,849,0.8663265306122448,0.0,0.0,0.8663265306122448,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10402,7,0.0,24,10,617.855159982064,318.6567606840155,0.0,0.8838341930891346,0.0,0.0,0.0,0.0,0.0,1200,20.302927360849324,0.13132414015409044,0.28730849058370184,0.027993835359617757,0.22083333333333333,0.2225,0.0,,1049,0,0,1049,0.8741666666666666,0.0,0.0,0.8741666666666666,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10902,7,0.0,25,10,644.8186442986281,338.21168556474163,0.0,0.9279332767683454,0.0,0.0,0.0,0.0,0.0,1200,20.290161682320083,0.0911888120402962,0.33142334441222443,0.03291451312674326,0.22833333333333333,0.23166666666666666,0.0,,1040,0,0,1040,0.8666666666666667,0.0,0.0,0.8666666666666667,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10302,7,0.0,26,10,521.941839027265,311.331149234623,1.0,0.9911165656669075,0.0,0.0,0.0,0.0,0.0,974,20.267453704974223,0.12815440476627318,0.642873716001881,0.03700383043861365,0.22587268993839835,0.23613963039014374,0.0,,836,0,0,836,0.8583162217659137,0.0,0.0,0.8583162217659137,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10002,7,0.0,27,10,671.5369721851722,394.82598306348837,1.0,0.9927002236749368,0.0,0.0,0.0,0.0,0.0,1193,20.26976867915622,0.0737283098836802,0.4435413941049057,0.029308019187192107,0.2363788767812238,0.2363788767812238,0.0,,1033,0,0,1033,0.8658843252305113,0.0,0.0,0.8658843252305113,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10102,7,0.0,28,10,479.19148457759417,292.49259604958314,1.0,0.9909999724936203,0.0,0.0,0.0,0.0,0.0,878,20.265127044962785,0.11369254325607152,0.6541079610951176,0.03047047538315805,0.22323462414578588,0.22323462414578588,0.0,,760,0,0,760,0.8656036446469249,0.0,0.0,0.8656036446469249,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10702,7,0.0,29,10,644.9947765817819,332.0662876580942,0.0,0.7668768387112074,0.0,0.0,0.0,0.0,0.0,1200,20.308801540793166,0.09048892802570047,0.3898717742087354,0.026566743807828364,0.22333333333333333,0.225,0.0,,1048,0,0,1048,0.8733333333333333,0.0,0.0,0.8733333333333333,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
proposed,ppo,2,10803,7,0.0,30,10,392.3572098923186,260.7675400207339,1.0,0.9868320905899505,0.0,0.0,0.0,0.0,0.0,668,20.133180453885156,0.04622899344590108,0.4553703817808576,0.029845298815122667,0.23353293413173654,0.23952095808383234,0.0,,570,0,0,570,0.8532934131736527,0.0,0.0,0.8532934131736527,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/config.json,outputs/reward_screen_safety_soften_nenv10_500k/runs/proposed_ppo_s2/model/final_model.zip
