#{"t_start": 1779897622.2829595, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_collision,episode_out_of_road,episode_mean_speed,episode_steering_variation,episode_ttc_risk,curriculum_stage
3.904286,1000,4.188532,0.0,0.0,10.648350308140321,0.0,0.0,0.6424183446567814,0.8524462445843964,0.0,2.0
7.94274,1000,7.207912,0.0,0.0,15.126000515758438,0.0,0.0,0.7547112402434771,0.8463043094202876,0.0,2.0
-1.428526,1000,9.810639,0.0,0.0,21.17195815783559,0.0,0.0,0.9814752176747301,0.824315147349611,0.0,2.0
1.434469,1000,12.674822,0.0,0.0,30.68335570658951,0.0,0.0,1.3617633006231622,0.8291955155730247,0.0,2.0
-7.196342,565,14.061014,0.0,1.0,9.286432600189372,0.0,1.0,1.6044471092051,0.7847434587578858,0.0,2.0
19.698792,1000,16.266721,0.0,0.0,58.52558147848287,0.0,0.0,2.2422364230206573,0.8247976807709784,0.0,2.0
-7.448348,774,18.467227,0.0,1.0,40.67827304800781,0.0,1.0,2.469679165637186,0.8432526846984233,0.0,2.0
15.058917,638,19.932924,0.0,1.0,44.295540650474734,0.0,1.0,3.4687194767771676,0.8161598804602429,0.0,2.0
15.725456,412,21.661398,0.0,1.0,27.622351939454084,0.0,1.0,3.293661951550632,0.8466878611485935,0.0,2.0
17.545241,602,23.958642,0.0,1.0,36.74011173749431,0.0,1.0,2.876320256038873,0.8642398906976876,0.0,2.0
4.107929,215,24.632927,0.0,1.0,9.73432845591905,0.0,1.0,3.6644374288174015,0.7616651130970135,0.0,2.0
0.554398,73,24.937696,0.0,1.0,2.9563761468833416,0.0,1.0,5.89437626558261,0.69340602726969,0.0,2.0
-4.36605,69,25.171802,0.0,1.0,-2.174605972681436,0.0,1.0,2.8415154749703135,0.8582819898923238,0.0,2.0
5.158257,128,25.714031,0.0,1.0,9.374783307565513,0.0,1.0,5.483740887907985,0.8042333560879342,0.0,2.0
-4.557349,68,26.027583,0.0,1.0,-2.1985447957798057,0.0,1.0,3.467039718833698,0.945895976441748,0.0,2.0
18.738856,181,27.001492,0.0,1.0,24.91708910895802,0.0,1.0,7.1283584241804325,0.7586977020194188,0.0,2.0
4.219735,138,27.425991,0.0,1.0,7.336646928670337,0.0,1.0,3.966569494077489,0.7942111129346101,0.0,2.0
-6.052251,90,27.808003,0.0,1.0,-2.257283066576716,0.0,1.0,3.114657913086646,0.8680053148004744,0.0,2.0
17.981599,318,28.961591,0.0,1.0,27.840636590191814,0.0,1.0,4.506111470750279,0.7479285657897873,0.0,2.0
9.413983,131,29.378322,0.0,1.0,14.223473237145505,0.0,1.0,6.38816535503606,0.8051746012714073,0.0,2.0
8.443662,160,30.116233,0.0,1.0,13.459181914639682,0.0,1.0,5.7301983126313,0.8345852539874613,0.0,2.0
28.848605,429,31.339335,0.0,1.0,50.94123458960781,0.0,1.0,5.05802371333787,0.7976879146132436,0.0,2.0
9.963738,251,32.293895,0.0,1.0,17.452634810708947,0.0,1.0,3.9710663667779627,0.8324103596735286,0.0,2.0
14.489911,164,32.898204,0.0,1.0,19.611650149710595,0.0,1.0,6.063897668450697,0.7680408571415195,0.0,2.0
23.391356,296,33.872317,0.0,1.0,30.795549884039573,0.0,1.0,5.030105111747596,0.8313830940908676,0.0,2.0
27.006494,221,34.850896,0.0,1.0,34.11892620205356,0.0,1.0,6.9235868092427495,0.7847689800132993,0.0,2.0
0.145699,85,35.187526,0.0,1.0,2.356903375318267,0.0,1.0,4.455695044432594,0.8381074702038485,0.0,2.0
22.891234,280,36.20675,0.0,1.0,29.577725380279794,0.0,1.0,5.250266763895407,0.7690894722140261,0.0,2.0
33.0627,308,36.96197,0.0,1.0,44.22915607188301,0.0,1.0,6.385362443992532,0.7589807022338757,0.0,2.0
23.754576,344,38.086729,0.0,1.0,50.60765722978889,0.0,1.0,6.943694340028973,0.7660919149016399,0.0,2.0
23.526848,261,39.320716,0.0,1.0,31.12490514579524,0.0,1.0,5.372215429278916,0.7786618404632784,0.0,2.0
11.514056,202,40.471245,0.0,1.0,24.273337923566874,0.0,1.0,6.759926561363037,0.8159988220264711,0.0,2.0
11.39906,135,40.88482,0.0,1.0,16.607808913151217,0.0,1.0,7.3037227547421635,0.7917564479841126,0.0,2.0
-1.257244,140,41.35599,0.0,1.0,9.441255854651942,0.0,1.0,5.164196383797507,0.7757000352655138,0.0,2.0
11.842925,148,41.86192,0.0,1.0,25.14275035279302,1.0,0.0,7.696616329339675,0.7929129648852993,0.03326922240913099,2.0
27.856016,240,42.574871,0.0,1.0,35.51351183742392,0.0,1.0,7.4428044369465045,0.8108019487932324,0.0,2.0
8.624138,152,43.258825,0.0,1.0,16.870997519653887,0.0,1.0,6.8109999762404225,0.7859614367204669,0.0,2.0
12.290773,162,43.83597,0.0,1.0,21.528326134853717,0.0,1.0,7.481937119153515,0.8158071856531832,0.0,2.0
-1.418898,59,44.064369,0.0,1.0,3.2436136662155377,0.0,1.0,10.332951477856744,0.6596091336618035,0.0,2.0
14.337655,165,44.621847,0.0,1.0,21.416237709202402,1.0,0.0,5.930994667221725,0.7614049065293688,0.01736250471504821,2.0
1.093958,99,44.950602,0.0,1.0,6.78315607228069,0.0,1.0,6.364771240011785,0.7849396522900071,0.0,2.0
-3.847179,163,45.799374,0.0,1.0,7.241599478881829,0.0,1.0,5.313743048367036,0.8106872853051665,0.0,2.0
20.105949,308,47.156782,0.0,1.0,39.598826662559645,0.0,1.0,6.359261196106581,0.8196181702584803,0.0,2.0
11.65285,173,47.864236,0.0,1.0,21.867469728400145,0.0,1.0,6.483588687919238,0.7642438540482797,0.0,2.0
24.632018,209,48.390565,0.0,1.0,33.92790541064603,0.0,1.0,7.4834778760529295,0.8555303549830708,0.0,2.0
2.239149,68,48.791627,0.0,1.0,4.743878871202822,0.0,1.0,8.826286426880845,0.7151839414282757,0.0,2.0
38.020296,332,50.047388,0.0,1.0,56.50342303842797,0.0,1.0,7.2650770581629684,0.8372603084510529,0.0,2.0
102.468892,1000,53.337889,0.0,0.0,175.75815166353837,0.0,0.0,6.294741545674331,0.8437174288351089,0.0,2.0
-5.808184,114,53.874853,0.0,1.0,-1.2426178922515003,0.0,1.0,3.0734136198275896,0.8291067127465156,0.0,2.0
37.567466,418,54.951715,0.0,1.0,63.73951619053935,0.0,1.0,6.5095020591832045,0.8142850216050325,0.0,2.0
10.517406,136,55.356459,0.0,1.0,14.251639473381562,0.0,1.0,6.056444922825534,0.7238452107755139,0.0,2.0
-0.906875,68,55.617841,0.0,1.0,3.9240762545281083,0.0,1.0,7.532361048021428,0.8015253618359566,0.0,2.0
33.854787,269,56.735134,0.0,1.0,49.63008123075733,0.0,1.0,7.685321018364515,0.7331483152359171,0.0,2.0
42.389919,476,58.19938,0.0,1.0,60.15830110434794,0.0,1.0,7.300947711580504,0.8010360063953685,0.0,2.0
15.997215,163,58.668977,0.0,1.0,22.94168805636463,0.0,1.0,6.91714091136154,0.7725955751593128,0.0,2.0
-0.70207,104,59.129356,0.0,1.0,3.063518757872183,0.0,1.0,4.910413223259969,0.8305436394249017,0.0,2.0
17.228954,125,59.60299,0.0,1.0,20.360289086681224,0.0,1.0,8.503216681977104,0.7427450695037842,0.0,2.0
53.157805,529,61.554471,0.0,1.0,70.30975686748823,0.0,1.0,5.176653149098267,0.8367638338096651,0.0,2.0
1.141332,48,61.793535,0.0,1.0,3.3371432096602316,0.0,1.0,10.43631622559169,0.7235725695888201,0.0,2.0
