#{"t_start": 1780035998.3829396, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,curriculum_stage
2.192926,150,2.570312,0.0,0.0,2.192926133054535,2.192926133054535,0.0,0.0,0.0,0.0,0.01083634182777124,150,0.7651791122203824,0.06128105720665651,0.11602967597489068,0.9261924199263255,0.7944536314407984,0.5612182166179022,0.0,nan,3.0
1.629047,150,3.492222,0.0,0.0,1.6290465231289468,1.6290465231289468,0.0,0.0,0.0,0.0,0.011537978448165493,150,0.63847203788233,0.010559128390626319,0.021543758220015828,0.8150748643775781,0.8283282084763051,0.6018097212910652,0.0,nan,3.0
1.614556,150,4.207076,0.0,0.0,1.614555879281813,1.614555879281813,0.0,0.0,0.0,0.0,0.012815194039817323,150,0.7376510159965134,0.1287279235544645,0.2032579474466869,0.8211204020678997,0.8172742684185504,0.6871581773956617,0.0,47.98282319414167,3.0
1.621448,150,4.908233,0.0,0.0,1.62144785404922,1.62144785404922,0.0,0.0,0.0,0.0,0.010888282766454354,150,0.7382037852981406,0.021765754866944886,0.045244256589698724,0.8200215560135742,0.8356592922409376,0.6015385661522548,0.0,nan,3.0
1.769389,150,5.671647,0.0,0.0,1.7693888454850673,1.7693888454850673,0.0,0.0,0.0,0.0,0.00955806877345116,150,0.7565264431513657,0.03597660558695442,0.07799406079269282,0.8966783280670643,0.8033075181643168,0.7453144570191701,0.0,nan,3.0
0.832974,150,6.577888,0.0,0.0,0.8329741096016867,0.8329741096016867,0.0,0.0,0.0,0.0,0.009745564821410016,150,0.59184642316884,0.013125115546959037,0.04103282918197343,0.8271367439627647,0.8539638685435057,0.6125611951450507,0.0,71.62413746456475,3.0
1.009845,150,7.943204,0.0,0.0,1.0098445086828438,1.0098445086828438,0.0,0.0,0.0,0.0,0.010868207690618402,150,0.62042521984789,0.045586581594939946,0.09517065996711595,0.7954427076876164,0.8367759837210178,0.6365447097023328,0.0,84.38625776177267,3.0
1.890244,150,9.085356,0.0,0.0,1.8902444714112263,1.8902444714112263,0.0,0.0,0.0,0.0,0.009202577307107022,150,0.695828994891927,0.023559957633196443,0.05811937796606639,0.8279051360487938,0.8691149246692658,0.6710952357451121,0.0,nan,3.0
3.140782,150,9.766677,0.0,0.0,3.140781946704778,3.140781946704778,0.0,0.0,0.0,0.0,0.016695889426259297,150,0.9933099894991659,0.021798197583578195,0.08503356288856587,0.9044485228260358,0.7764734923839569,0.6258486032485961,0.0,nan,3.0
1.839956,150,10.805883,0.0,0.0,1.8399556097124323,1.8399556097124323,0.0,0.0,0.0,0.0,0.010921061387649315,150,0.7001920432530682,0.016160407441515104,0.04702254986854616,0.851420264840126,0.9101970574756464,0.6971653460462888,0.0,nan,3.0
2.07393,150,11.602189,0.0,0.0,2.073929886297112,2.073929886297112,0.0,0.0,0.0,0.0,0.00957013990177844,150,0.7679457803771536,0.03385997290348839,0.10297941679941429,0.8077093374729156,0.7437514702479044,0.5525989354650179,0.0,nan,3.0
2.606324,150,12.282687,0.0,0.0,2.6063239759470287,2.6063239759470287,0.0,0.0,0.0,0.0,0.015148895111135837,150,0.8685546953352218,0.021110248849533463,0.07123819730454249,0.8104688406487306,0.7719065138200919,0.6140367036064466,0.0,nan,3.0
1.567853,150,13.312807,0.0,0.0,1.5678526691598278,1.5678526691598278,0.0,0.0,0.0,0.0,0.009509348164646053,150,0.6606696186765563,0.04821117551442889,0.07279684860179081,0.9321248220403989,0.9224770509203275,0.583771514693896,0.0,42.310783132149396,3.0
