#{"t_start": 1780040684.6770737, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,curriculum_stage
-96.110047,600,3.471061,0.0,0.0,6.201200860533158,-96.11004673131838,0.0,0.0,0.0,0.0,0.09620650931389911,600,0.6871786597589729,0.08644468825769955,0.18154650697491187,0.7835675413596134,0.8013453781232238,0.6220882125198841,0.0,nan,0.0
-104.401925,600,5.956891,0.0,0.0,5.089404524675185,-104.40192465650141,0.0,0.0,0.0,0.0,0.09592951629527845,600,0.6873880874732764,0.1765248476238512,0.3466746341298338,0.8647160241380334,0.8270607571241756,0.616285920701921,0.0,nan,0.0
-103.84796,600,8.000276,0.0,0.0,7.166004504050702,-103.84796047525714,0.0,0.0,0.0,0.0,0.10652534435322934,600,0.8460773017336841,0.1963042013526978,0.37742841158027085,0.8485314129292965,0.7960139317810535,0.636545642366012,0.0,nan,0.0
-100.041721,600,10.194823,0.0,0.0,6.871582955870688,-100.04172111734317,0.0,0.0,0.0,0.0,0.1188084027790737,600,0.7809537907555335,0.16765684225048647,0.3390893842476232,0.7857214520902683,0.8174127756431698,0.630227772668004,0.0,nan,0.0
-86.540318,600,11.991466,0.0,0.0,10.091660902360324,-86.54031816801702,0.0,0.0,0.0,0.0,0.15771539234788695,600,0.8652204004639211,0.08831340342274381,0.18378913025634783,0.7995492358443638,0.782319897947212,0.6090025914708773,0.0,nan,0.0
-156.71293,600,14.333263,0.0,0.0,8.112539016799072,-156.71293012382066,0.0,0.0,0.0,0.0,0.19404185136073326,600,1.0707332702110963,0.4363678358192997,0.999649342425031,0.8494639866923293,0.757060873011748,0.6261290434996287,0.0,nan,0.0
-108.089281,600,16.648126,0.0,0.0,10.610335035380754,-108.08928060570379,0.0,0.0,0.0,0.0,0.1633064568621881,600,1.0332121332027333,0.2677332163156984,0.5446629596219773,0.8123843151827653,0.7791524754464626,0.6003331586221854,0.0,nan,0.0
-100.957445,600,18.227427,0.0,0.0,7.052198799534288,-100.95744542626242,0.0,0.0,0.0,0.0,0.12272933130045371,600,0.7592389222396555,0.17026491869280927,0.2999259708130389,0.8178312648149828,0.7944872773190339,0.5852468491593996,0.0,nan,0.0
-205.281524,600,20.729399,0.0,0.0,4.576490714192162,-205.28152379887385,0.0,0.0,0.0,0.0,0.13332133431102947,600,0.7753931221132154,0.5146624812518573,0.9999449342160187,0.8138876699469983,0.7965061326821645,0.6052668021122615,0.0,nan,0.0
-208.165327,600,22.655909,0.0,0.0,6.272999660712006,-208.1653274412206,0.0,0.0,0.0,0.0,0.15085973598364313,600,0.9851707945262126,0.5619145972086466,0.9987946133380353,0.8097102953183154,0.7917124284182986,0.6242584835241238,0.0,nan,0.0
-83.774262,600,24.88896,0.0,0.0,10.21086891694358,-83.7742624373226,0.0,0.0,0.0,0.0,0.16307803252546693,600,0.8645957289722639,0.04452660883343981,0.11982196200221888,0.8222479873833557,0.7919605287536978,0.617379500841101,0.0,nan,0.0
-96.638921,600,27.15949,0.0,0.0,10.128863458892496,-96.63892131089072,0.0,0.0,0.0,0.0,0.14433264491322173,600,0.8914813788261231,0.16456184668423868,0.39069445401490954,0.7528287179519733,0.7979643447697162,0.6169062384466331,0.0,nan,0.0
-115.830453,600,29.029521,0.0,0.0,10.068381447347543,-115.8304525968491,0.0,0.0,0.0,0.0,0.20945792929472806,600,1.1101344561444448,0.3314269939984667,0.5045778893706973,0.7872265771031379,0.7488563280552626,0.6040061408778031,0.0,nan,0.0
-95.108286,600,31.425768,0.0,0.0,13.902397975689857,-95.10828631181087,0.0,0.0,0.0,0.0,0.17388770443609514,600,1.1517176164422223,0.1668799698303486,0.8607642423252692,0.8339840756542981,0.7511897334704797,0.5738543792565663,0.0,nan,0.0
