variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,1,10000,7,0.0,0,521.9659296134791,335.00590260032425,1.0,0.9904084339650726,0.0,0.0,0.0,0.0,0.0,932,20.26923863527396,0.08444274149406174,0.4208336139530924,0.009410204607548689,0.22317596566523606,0.22317596566523606,0.0,
proposed,ppo,1,10001,7,0.0,1,505.39325263697884,325.7535133615314,1.0,0.9905613229081871,0.0,0.0,0.0,0.0,0.0,908,20.2509867250109,0.09007502929884166,0.4478367032988641,0.00986593293455852,0.22687224669603523,0.22687224669603523,0.0,
proposed,ppo,1,10002,7,0.0,2,572.7712273205393,364.8963820510972,1.0,0.9913981459609635,0.0,0.0,0.0,0.0,0.0,982,20.272680675777817,0.04240764897103442,0.21919627789182594,0.009093963753886316,0.2230142566191446,0.225050916496945,0.0,
proposed,ppo,1,10003,7,0.0,3,486.04867135006896,321.36849907123,1.0,0.9903102541415588,0.0,0.0,0.0,0.0,0.0,827,20.268881283280578,0.0420366359389299,0.45068358893437044,0.007013803745756216,0.21039903264812576,0.21281741233373638,0.0,
proposed,ppo,1,10004,7,0.0,4,547.0742607052043,344.73471194802124,1.0,0.9918154748213143,0.0,0.0,0.0,0.0,0.0,1001,20.31117625369796,0.10980174268695775,0.5683860836153103,0.006391228287602653,0.2097902097902098,0.21178821178821178,0.0,
proposed,ppo,1,10005,7,0.0,5,503.39606216102055,329.5456627159059,1.0,0.9900695116684355,0.0,0.0,0.0,0.0,0.0,868,20.2785948150721,0.05430950923961347,0.28891832424154434,0.007251880678599314,0.20967741935483872,0.2119815668202765,0.0,
proposed,ppo,1,10006,7,0.0,6,596.0044489274499,361.6845319444638,1.0,0.9923020844398738,0.0,0.0,0.0,0.0,0.0,1106,20.328273913263462,0.12044359278630458,0.7270786247455955,0.007809774017982037,0.2115732368896926,0.21338155515370705,0.0,
proposed,ppo,1,10007,7,0.0,7,658.2646509772123,347.54344955052494,0.0,0.8241837697905982,0.0,0.0,0.0,0.0,0.0,1200,20.271935248565715,0.06972334012856132,0.2678398697903464,0.0068657585184943555,0.23,0.23083333333333333,0.0,
proposed,ppo,1,10008,7,0.0,8,500.1881036161882,323.4706467977882,1.0,0.9901017696397287,0.0,0.0,0.0,0.0,0.0,885,20.249167458971737,0.07822601108551844,0.5283983892113931,0.009352168176812515,0.22372881355932203,0.22598870056497175,0.0,
proposed,ppo,1,10009,7,0.0,9,459.8416220567417,304.8878490276375,1.0,0.9897238134637782,0.0,0.0,0.0,0.0,0.0,825,20.23941103295423,0.0942479730556822,0.3615419056376084,0.008199180607317072,0.2206060606060606,0.22303030303030302,0.0,
proposed,ppo,1,10010,7,0.0,10,576.5059647335485,362.1079399998559,1.0,0.9919539945181286,0.0,0.0,0.0,0.0,0.0,1012,20.234180518067397,0.06422404507111258,0.4897271042873527,0.009989124006456455,0.23517786561264822,0.23517786561264822,0.0,
