#{"t_start": 1780055105.8210835, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,curriculum_stage
-94.648288,600,6.967393,0.0,0.0,5.748199765503355,-94.64828832460601,0.0,0.0,0.0,0.0,0.0816876219148501,600,0.6565548822054982,0.035112156531993344,0.10927255367374006,0.8386101798713207,0.8009104005495707,0.6507398482908805,0.0,nan,0.0
-97.102507,600,14.033324,0.0,0.0,4.844843492792463,-97.10250697156361,0.0,0.0,0.0,0.0,0.09824154023616083,600,0.6366709364773633,0.08418505090118042,0.2468472629265074,0.8263494669646024,0.8022546616072456,0.6103421466052532,0.0,nan,0.0
-155.009974,600,19.058666,0.0,0.0,7.262677455510713,-155.00997408047814,0.0,0.0,0.0,0.0,0.13204632728229168,600,0.9721653664708083,0.37830702972871866,1.1772981735773895,0.7988830794021488,0.7712773560980956,0.6045074295004209,0.0,nan,0.0
-195.402432,600,25.49061,0.0,0.0,5.339743468029059,-195.40243159751503,0.0,0.0,0.0,0.0,0.13457631058895964,600,0.9629866266763146,0.5432175253823232,0.9973845316931375,0.8056442522009214,0.8106759100034833,0.6385366191218297,0.0,nan,0.0
-91.603155,600,30.558892,0.0,0.0,9.06473728882589,-91.60315514788698,0.0,0.0,0.0,0.0,0.12110652491189951,600,0.8100365657831619,0.09999689672881888,0.20515556532480148,0.7986293714245161,0.8180554551631212,0.65382889042298,0.0,nan,0.0
-81.957385,600,37.290144,0.0,0.0,12.332009866685553,-81.95738533206094,0.0,0.0,0.0,0.0,0.17875349382111463,600,0.9951043621718664,0.07394457438546999,0.21092133654623332,0.8546968426803748,0.815089476108551,0.6508551269272963,0.0,nan,0.0
-206.915073,234,39.409747,0.0,1.0,-8.088710625113839,-206.91507347753134,0.0,0.0,0.0,1.0,0.1228804471889299,234,1.2620400438165582,0.5048976075440084,1.0269500633107367,0.7948587584571961,0.6774848732683394,0.5225465157602587,0.0,nan,0.0
-143.744503,600,46.425228,0.0,0.0,8.335498537357102,-143.74450299278834,0.0,0.0,0.0,0.0,0.13859858332046157,600,0.9958727830620498,0.35854636813301594,0.9236931901338702,0.8527055276557803,0.7884395336111386,0.609836367170016,0.0,nan,0.0
-188.852352,600,51.949982,0.0,0.0,7.947029836025046,-188.85235199078483,0.0,0.0,0.0,0.0,0.15058025081493945,600,1.1856747863811763,0.43817989458175316,1.5180469531567704,0.809046858654668,0.7890856839468082,0.5897095861534277,0.0,nan,0.0
-152.958229,600,59.045878,0.0,0.0,9.50766889015787,-152.9582293963236,0.0,0.0,0.0,0.0,0.1732555080329689,600,1.2990691024766814,0.453864049426811,0.9876584185118464,0.7984244003891945,0.7543567352245252,0.5827410610020161,0.0,nan,0.0
-140.426145,600,66.299464,0.0,0.0,12.021771899722058,-140.42614486477063,0.0,0.0,0.0,0.0,0.1853315869876472,600,1.4357838382616952,0.4182430353795213,1.2413070799901644,0.7534563250901798,0.7413962767024835,0.574932131965955,0.0,nan,0.0
-219.522859,319,69.246109,0.0,1.0,-5.000824197463727,-219.52285944235513,0.0,0.0,0.0,1.0,0.14580165379903623,319,1.350053486807286,0.42767158551445494,1.0284096384262595,0.8624739531299164,0.7256987790889501,0.5890091743588821,0.0,nan,0.0
-270.704389,477,73.746525,0.0,1.0,-4.411824836786542,-270.70438897658823,0.0,0.0,0.0,1.0,0.2125535859448656,477,1.2821452246444742,0.4974101621589804,1.0350589485531656,0.7976815996601772,0.710921320212962,0.6122654387785954,0.0,nan,0.0
-99.576529,600,80.957961,0.0,0.0,15.381628517926547,-99.57652870109926,0.0,0.0,0.0,0.0,0.20208057105966223,600,1.5255119493036224,0.2229561701518387,0.9990788042462183,0.8363496772913883,0.7442521845797697,0.5560126660267511,0.0,nan,0.0
-154.782387,600,87.943228,0.0,0.0,10.529177422130937,-154.78238715526726,0.0,0.0,0.0,0.0,0.2600929217880541,600,1.4316130067071207,0.450707693841483,0.9990846917435567,0.8031708164761464,0.7501707646995783,0.6085198860863844,0.0,nan,0.0
