variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,2,10000,7,0.0,0,466.1135067102481,289.64077255473273,1.0,0.991101340567674,0.0,0.0,0.0,0.0,0.0,929,20.259951049481725,0.19040608139844503,0.601372551795808,0.018594853723856778,0.22676603067806642,0.22676603067806642,0.0,
proposed,ppo,2,10001,7,0.0,1,474.81122904475956,302.6211839655947,1.0,0.9904672974440292,0.0,0.0,0.0,0.0,0.0,905,20.25570747958187,0.1491915317435511,0.5123841970670571,0.019569986248234524,0.2295411908165526,0.2295411908165526,0.0,
proposed,ppo,2,10002,7,0.0,2,502.49528676660077,314.96564029237135,1.0,0.9915704215872221,0.0,0.0,0.0,0.0,0.0,980,20.262221939682497,0.168838224486522,0.39133624718798526,0.018485852603667547,0.22648943285552822,0.22648943285552822,0.0,
proposed,ppo,2,10003,7,0.0,3,446.8596895600919,296.8140672800936,1.0,0.9902450656980853,0.0,0.0,0.0,0.0,0.0,828,20.26124238022647,0.1260603223481692,0.29296608088655907,0.01559834323366789,0.21256038647342995,0.21497584541062803,0.0,
proposed,ppo,2,10004,7,0.0,4,581.3381863171301,366.88698662493863,1.0,0.9908625281820368,0.0,0.0,0.0,0.0,0.0,1001,20.301963080979622,0.049051204041727796,0.48106443566604234,0.015169116463251673,0.21178821178821178,0.2137862137862138,0.0,
proposed,ppo,2,10005,7,0.0,5,421.67089093776497,267.6205043024793,1.0,0.9903818350600371,0.0,0.0,0.0,0.0,0.0,868,20.279656519710006,0.22052058741568556,0.5102089013325156,0.015812877971734765,0.21163886112551536,0.21394300859095314,0.0,
proposed,ppo,2,10006,7,0.0,6,562.1030196100244,334.53434775982987,1.0,0.9923443042795411,0.0,0.0,0.0,0.0,0.0,1104,20.311482392944715,0.17455043479610363,0.5634433188642535,0.01630532681103458,0.21430009042007336,0.2161116846229719,0.0,
proposed,ppo,2,10007,7,0.0,7,629.3787387876721,325.03395434946486,0.0,0.8249857459015901,0.0,0.0,0.0,0.0,0.0,1200,20.262952124899762,0.11283830180476206,0.4824457613301606,0.01619816336625566,0.23193837374448775,0.23193837374448775,0.0,
proposed,ppo,2,10008,7,0.0,8,476.80485261172856,310.222421840052,1.0,0.9902076139528696,0.0,0.0,0.0,0.0,0.0,886,20.246005268895676,0.12577539284819794,0.34739506763774824,0.01816440114654752,0.22573363431151242,0.22799097065462753,0.0,
proposed,ppo,2,10009,7,0.0,9,460.02916202367527,304.08192622972064,1.0,0.9896131778101586,0.0,0.0,0.0,0.0,0.0,825,20.24419716201651,0.09390534071120894,0.4250777652015379,0.01757343439667514,0.22488605759360575,0.22609817880572694,0.0,
proposed,ppo,2,10010,7,0.0,10,505.5686564321969,311.4752598200475,1.0,0.9914568485747004,0.0,0.0,0.0,0.0,0.0,1012,20.228903552333986,0.18823958489283238,0.42808380001281654,0.019441170755979925,0.23711946771550085,0.23711946771550085,0.0,
proposed,ppo,2,10011,7,0.0,11,589.9393728668281,370.3561798785395,1.0,0.9924371947590378,0.0,0.0,0.0,0.0,0.0,1055,20.29599383280492,0.08467677198797344,0.2339069864729499,0.015025817707039734,0.2161137440758294,0.21800947867298578,0.0,
proposed,ppo,2,10012,7,0.0,12,424.54317715239495,286.34099073661724,1.0,0.9897252424203932,0.0,0.0,0.0,0.0,0.0,778,20.225120203312336,0.11624268964930332,0.3305745342331051,0.018140941723620945,0.2262210796915167,0.22879177377892032,0.0,
proposed,ppo,2,10013,7,0.0,13,509.1721037952991,322.25538882518475,1.0,0.9918407292227145,0.0,0.0,0.0,0.0,0.0,954,20.265871296681887,0.1328903491166082,0.4457234347997203,0.016710727830442838,0.22040908416612093,0.22250552022482115,0.0,
proposed,ppo,2,10014,7,0.0,14,630.6656354197638,325.41682312144275,0.0,0.8262820233060948,0.0,0.0,0.0,0.0,0.0,1200,20.302693506948472,0.11247895187478574,0.3964150225153413,0.018361689078155906,0.22615440626939137,0.22615440626939137,0.0,
proposed,ppo,2,10015,7,0.0,15,665.3435478240403,353.33949667265,0.0,0.9510598777344209,0.0,0.0,0.0,0.0,0.0,1200,20.314762615466496,0.06240636874674082,0.4503668079006548,0.015977601695728177,0.21853043705224992,0.22019710371891657,0.0,
proposed,ppo,2,10016,7,0.0,16,436.6372330517648,282.11306581308025,1.0,0.9905372998119363,0.0,0.0,0.0,0.0,0.0,870,20.19100526244833,0.18692503720979062,0.36695693275665336,0.017323292882299456,0.2367816091954023,0.23793103448275862,0.0,
proposed,ppo,2,10017,7,0.0,17,618.742962660443,316.2248375252156,0.0,0.8631637624546491,0.0,0.0,0.0,0.0,0.0,1200,20.307637526037063,0.13121810722316213,0.5047652132839473,0.015979907242193198,0.22052709499994913,0.2221937616666158,0.0,
proposed,ppo,2,10018,7,0.0,18,428.78205614604343,292.0864632663747,1.0,0.9908949868480462,0.0,0.0,0.0,0.0,0.0,759,20.22264879169083,0.08396193215365638,0.2353553020032065,0.01729074574157851,0.22134387351778656,0.22397891963109354,0.0,
proposed,ppo,2,10019,7,0.0,19,644.7781502256605,341.06739793705003,0.0,0.9885226110459401,0.0,0.0,0.0,0.0,0.0,1200,20.32825178633474,0.09374687034940307,0.400148996825946,0.015568682989881684,0.21457723359266917,0.21624390025933585,0.0,
proposed,ppo,2,10020,7,0.0,20,523.9386449198321,331.67762363905194,1.0,0.9916894020996561,0.0,0.0,0.0,0.0,0.0,975,20.259770078251204,0.12542768751485664,0.42788627643203514,0.01660014059108037,0.2233261766189184,0.22537745867020045,0.0,
proposed,ppo,2,10021,7,0.0,21,541.7368221701777,337.7903731293281,1.0,0.9915766040656875,0.0,0.0,0.0,0.0,0.0,1023,20.244348515685747,0.13684877337531368,0.4541682177701408,0.01662624683522438,0.23047603912950146,0.2324310733426002,0.0,
proposed,ppo,2,10022,7,0.0,22,632.3515437824472,384.7826168876502,1.0,0.9937161817478137,0.0,0.0,0.0,0.0,0.0,1150,20.304535674925553,0.09900778725709623,0.43692222594174124,0.016200742642192737,0.21936702894127888,0.22110615937606148,0.0,
proposed,ppo,2,10023,7,0.0,23,558.2881729768928,270.3472666891665,0.0,0.8884847213451075,0.0,0.0,0.0,0.0,0.0,1200,20.307377901432623,0.21959850987940788,0.5608379881659408,0.015223389191475386,0.21844835311174393,0.22011501977841058,0.0,
proposed,ppo,2,10024,7,0.0,24,414.24587641193267,278.81856955111505,1.0,0.9891852429659851,0.0,0.0,0.0,0.0,0.0,783,20.16698856040274,0.14121049495547702,0.354903119759662,0.018012906470494215,0.23754789272030652,0.24010217113665389,0.0,
proposed,ppo,2,10025,7,0.0,25,422.2466366153338,284.5979511549454,1.0,0.9888963660951877,0.0,0.0,0.0,0.0,0.0,787,20.190631905144908,0.12953589492076395,0.328202277656817,0.016617721059682674,0.2312579415501906,0.2337992376111817,0.0,
proposed,ppo,2,10026,7,0.0,26,634.6786822506207,389.5800687685604,1.0,0.9931241579384643,0.0,0.0,0.0,0.0,0.0,1122,20.275172086254425,0.06973472187395337,0.49473801619867364,0.01849555300462347,0.22994652406417113,0.23172905525846701,0.0,
proposed,ppo,2,10027,7,0.0,27,406.8826080373279,275.8808385619163,1.0,0.9885110536140599,0.0,0.0,0.0,0.0,0.0,767,20.154929164780498,0.1391071586202997,0.3153685299027766,0.01797112686901974,0.23728813559322035,0.23989569752281617,0.0,
proposed,ppo,2,10028,7,0.0,28,535.0817042657113,243.82324248184437,0.0,0.9037728180471477,0.0,0.0,0.0,0.0,0.0,1200,20.286619840590884,0.2540613865093925,0.6194127159356041,0.016937396860448643,0.225027670164903,0.22669433683156967,0.0,
proposed,ppo,2,10029,7,0.0,29,458.0464572212516,306.1769205128824,1.0,0.9898650655650205,0.0,0.0,0.0,0.0,0.0,814,20.24917494210269,0.08554358428347561,0.2564352604102623,0.016094170049112063,0.22113022113022113,0.22358722358722358,0.0,
proposed,ppo,2,10030,7,0.0,30,399.80990601868064,264.06078943528456,1.0,0.9900168697493731,0.0,0.0,0.0,0.0,0.0,795,20.220751505128053,0.19128167496586418,0.42740668195559767,0.016723163338647512,0.2238993710691824,0.2238993710691824,0.0,
proposed,ppo,2,10031,7,0.0,31,425.3847786755416,289.9327086616416,1.0,0.9920056828014726,0.0,0.0,0.0,0.0,0.0,758,20.196621136981463,0.08726732443964494,0.2793683095758698,0.020050961331963185,0.22955145118733508,0.23218997361477572,0.0,
proposed,ppo,2,10032,7,0.0,32,572.545344383252,332.08339656107626,1.0,0.9923608443492534,0.0,0.0,0.0,0.0,0.0,1146,20.236046184141394,0.1821547144522283,0.7117074114070834,0.02081055081746887,0.24676434667114605,0.24501914597306576,0.0,
proposed,ppo,2,10033,7,0.0,33,426.4394982043713,279.65463004839575,1.0,0.9895092974502259,0.0,0.0,0.0,0.0,0.0,816,20.241238745941594,0.1569921596326896,0.5443596655142627,0.01722332594834049,0.22009015857589012,0.22254113896804698,0.0,
proposed,ppo,2,10034,7,0.0,34,519.192637069604,330.87074158714915,1.0,0.9908048301391515,0.0,0.0,0.0,0.0,0.0,952,20.283846505266695,0.11084647871479762,0.4527450587751212,0.01892978376699142,0.22058823529411764,0.22268907563025211,0.0,
proposed,ppo,2,10035,7,0.0,35,558.3641834091333,350.991890158072,1.0,0.9917804176148327,0.0,0.0,0.0,0.0,0.0,1029,20.23068819496221,0.1104873154100309,0.3187715024195432,0.01936041386218776,0.2371234207968902,0.239067055393586,0.0,
proposed,ppo,2,10036,7,0.0,36,582.2029811601486,356.29705490773995,1.0,0.9916312140097985,0.0,0.0,0.0,0.0,0.0,1066,20.28416434315517,0.10524135324018384,0.9182573104276394,0.020061010741637443,0.22991267869888507,0.22803650609100515,0.0,
proposed,ppo,2,10037,7,0.0,37,658.747358194512,347.31293865193925,0.0,0.8633276045449916,0.0,0.0,0.0,0.0,0.0,1200,20.311818058912667,0.07171999374626813,0.3839074515399593,0.015624124495855844,0.21881283740202587,0.22047950406869252,0.0,
