variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,11,10000,7,0.0,0,527.4859189172598,339.2784013143544,1.0,0.9910484949538944,0.0,0.0,0.0,0.0,0.0,933,20.255003633187897,0.0746560947025855,0.4014207186955503,0.0227171407936646,0.22722400857449088,0.2292306396355583,0.0,
proposed,ppo,11,10001,7,0.0,1,503.5888673882237,325.442200910503,1.0,0.9909199496611831,0.0,0.0,0.0,0.0,0.0,908,20.235302775622024,0.09371688850742126,0.4964827684290539,0.023486287297172233,0.2290748898678414,0.23114441197349112,0.0,
proposed,ppo,11,10002,7,0.0,2,574.6351976084117,365.6840185540776,1.0,0.9910136476327196,0.0,0.0,0.0,0.0,0.0,982,20.261872430841255,0.03867915343869503,0.2774594693727166,0.02277832236349613,0.23208822470818422,0.22799470978210512,0.0,
proposed,ppo,11,10003,7,0.0,3,479.97753742722983,317.5722421218615,1.0,0.9898898918056179,0.0,0.0,0.0,0.0,0.0,827,20.25968538757771,0.05460149861187698,0.41575751854527615,0.01896018310232671,0.21523579201934703,0.21765417170495768,0.0,
proposed,ppo,11,10004,7,0.0,4,542.6769768814364,341.49404171647126,1.0,0.9912236735515749,0.0,0.0,0.0,0.0,0.0,1001,20.299837422704318,0.11704380837752591,0.5082703403934271,0.01829067794057158,0.2137862137862138,0.21578421578421578,0.0,
proposed,ppo,11,10005,7,0.0,5,505.49208059884,330.80912348165236,1.0,0.9900164640701655,0.0,0.0,0.0,0.0,0.0,868,20.275211015258524,0.05000896681557015,0.33842827559399147,0.019292824662372057,0.21428571428571427,0.21658986175115208,0.0,
proposed,ppo,11,10006,7,0.0,6,603.0026113097842,367.28996496222004,1.0,0.9923900547975667,0.0,0.0,0.0,0.0,0.0,1107,20.3181147629143,0.10955071541454248,0.6225404495409629,0.019791220330785498,0.21680216802168023,0.21770551038843722,0.0,
proposed,ppo,11,10007,7,0.0,7,663.424963372303,351.04977205399484,0.0,0.8234892056854058,0.0,0.0,0.0,0.0,0.0,1200,20.265500195758218,0.06158005443621215,0.2765961234742028,0.01927759379148483,0.23333333333333334,0.235,0.0,
proposed,ppo,11,10008,7,0.0,8,490.1818906363482,317.4150051352245,1.0,0.9902294974605982,0.0,0.0,0.0,0.0,0.0,885,20.23882442267857,0.09825814025727522,0.4722871507604818,0.022383625291835116,0.2305029280441629,0.22937853107344633,0.0,
proposed,ppo,11,10009,7,0.0,9,448.3924621874798,296.09235376004887,1.0,0.9893850792282642,0.0,0.0,0.0,0.0,0.0,824,20.239528752144576,0.1181191451132893,0.4469166097424646,0.020625382804230433,0.22572815533980584,0.22936893203883496,0.0,
proposed,ppo,11,10010,7,0.0,10,574.7332225612472,361.05038205296063,1.0,0.9918725352970024,0.0,0.0,0.0,0.0,0.0,1012,20.22829771623076,0.06734477345521737,0.45810146991750916,0.02325951081255208,0.24300648254368146,0.2410385423733783,0.0,
proposed,ppo,11,10011,7,0.0,11,617.5494789431513,387.57317822607405,1.0,0.9922980110162662,0.0,0.0,0.0,0.0,0.0,1055,20.292565203543784,0.03815201170099881,0.0749449519674826,0.01818028709264163,0.21800947867298578,0.21990521327014217,0.0,
proposed,ppo,11,10012,7,0.0,12,444.0453930444918,298.61117167547775,1.0,0.9896691294065175,0.0,0.0,0.0,0.0,0.0,777,20.211192796397597,0.07105563208794649,0.4030126386941511,0.022214152069913375,0.22908622908622908,0.22908622908622908,0.0,
proposed,ppo,11,10013,7,0.0,13,548.443263956667,351.1340458823031,1.0,0.9918002613095411,0.0,0.0,0.0,0.0,0.0,956,20.268325809537355,0.060700514044868974,0.28159689763245,0.02004237723279604,0.22280135601135478,0.22489340622055978,0.0,
proposed,ppo,11,10014,7,0.0,14,654.0229324464741,344.5384406513337,0.0,0.8247998145380171,0.0,0.0,0.0,0.0,0.0,1200,20.292985141660438,0.0769054339248853,0.32882222491943996,0.022621363666839898,0.22666666666666666,0.2299075484275818,0.0,
proposed,ppo,11,10015,7,0.0,15,637.1112309439374,335.83092708262274,0.0,0.9507628343187868,0.0,0.0,0.0,0.0,0.0,1200,20.321134211882757,0.10336206646827797,0.4931894943378858,0.019075320661067964,0.22,0.22166666666666668,0.0,
proposed,ppo,11,10016,7,0.0,16,497.6850242958516,324.51485708410087,1.0,0.9901496968677335,0.0,0.0,0.0,0.0,0.0,867,20.189618517697976,0.06137037509245295,0.4393822004292199,0.02168394800494699,0.23990772779700115,0.24106113033448673,0.0,
proposed,ppo,11,10017,7,0.0,17,645.7636840561095,338.2053739687074,0.0,0.8614085886168802,0.0,0.0,0.0,0.0,0.0,1200,20.305095604988523,0.08984098372013125,0.4990447253996098,0.019415168763759236,0.22333333333333333,0.225,0.0,
proposed,ppo,11,10018,7,0.0,18,440.9281801490058,299.7298588590817,1.0,0.9903062172711055,0.0,0.0,0.0,0.0,0.0,760,20.21859285792892,0.05485653055716971,0.24351283799951962,0.02034036226104945,0.22368366984944593,0.22499945932313015,0.0,
proposed,ppo,11,10019,7,0.0,19,636.3600758656431,336.24106486726845,0.0,0.9869738031505852,0.0,0.0,0.0,0.0,0.0,1200,20.326292957602938,0.10455118068371932,0.45511013758995145,0.019221298502913365,0.21666666666666667,0.21833333333333332,0.0,
proposed,ppo,11,10020,7,0.0,20,568.8567108668722,362.7944508482226,1.0,0.9913974007662449,0.0,0.0,0.0,0.0,0.0,977,20.259306409216187,0.0441277684746841,0.2066623527199839,0.020042081453104408,0.22517911975435004,0.22722620266120777,0.0,
