variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,12,10000,7,0.0,0,528.9222238816277,340.7669858847011,1.0,0.9908138499116401,0.0,0.0,0.0,0.0,0.0,931,20.26867867556873,0.07151694435355888,0.2829891680252332,0.007541859791054922,0.22341568206229862,0.22556390977443608,0.0,
proposed,ppo,12,10001,7,0.0,1,515.6091591023214,334.346442141356,1.0,0.9901334944414678,0.0,0.0,0.0,0.0,0.0,906,20.24488799992812,0.06934772921201451,0.3161506353037103,0.008356389121890528,0.22847682119205298,0.22847682119205298,0.0,
proposed,ppo,12,10002,7,0.0,2,572.3715131689563,364.9170158138928,1.0,0.9918621537308064,0.0,0.0,0.0,0.0,0.0,982,20.267768395938234,0.043621412767866116,0.2045803972487737,0.007538744463260967,0.2240325865580448,0.2240325865580448,0.0,
proposed,ppo,12,10003,7,0.0,3,482.51088382651966,319.9017521920412,1.0,0.9897112847148132,0.0,0.0,0.0,0.0,0.0,827,20.26324017345905,0.049279153433757064,0.3653324169399596,0.005431098738480291,0.21160822249093109,0.2140266021765417,0.0,
proposed,ppo,12,10004,7,0.0,4,545.0559790351068,343.6550161883264,1.0,0.991408931207835,0.0,0.0,0.0,0.0,0.0,1001,20.306623317257408,0.11301548323122962,0.47958419197081514,0.004664343511025151,0.2097902097902098,0.21178821178821178,0.0,
proposed,ppo,12,10005,7,0.0,5,499.58155605701455,327.48046119993444,1.0,0.9905895934190994,0.0,0.0,0.0,0.0,0.0,868,20.283593732589836,0.06268028239322733,0.3067640522723013,0.0052305952799270436,0.20967741935483872,0.2119815668202765,0.0,
proposed,ppo,12,10006,7,0.0,6,605.6453621867854,370.75601977167554,1.0,0.9923414443362539,0.0,0.0,0.0,0.0,0.0,1105,20.32902906280915,0.10531104109883138,0.5620669804771491,0.004606404183727449,0.21176470588235294,0.21357466063348415,0.0,
proposed,ppo,12,10007,7,0.0,7,660.2264969309037,349.0983991037615,0.0,0.8244704968289605,0.0,0.0,0.0,0.0,0.0,1200,20.27519235192549,0.06718411657526159,0.25060708736866405,0.0036293496288514384,0.23,0.22916666666666666,0.0,
proposed,ppo,12,10008,7,0.0,8,503.5750320567633,327.42829679109093,1.0,0.9902689270024028,0.0,0.0,0.0,0.0,0.0,885,20.248137005197357,0.07194715255011463,0.4257410811423433,0.008482258033933444,0.22598870056497175,0.22598870056497175,0.0,
proposed,ppo,12,10009,7,0.0,9,462.4880761813272,306.7465761792749,1.0,0.989492477122997,0.0,0.0,0.0,0.0,0.0,824,20.24112674734197,0.08794344889985808,0.39231358229239,0.006281033171865257,0.22330097087378642,0.22330097087378642,0.0,
proposed,ppo,12,10010,7,0.0,10,578.633374670267,365.62903398611013,1.0,0.9918487437550164,0.0,0.0,0.0,0.0,0.0,1012,20.231729648084247,0.06072991388448164,0.41120255650725324,0.008385543352574581,0.23715415019762845,0.23715415019762845,0.0,
proposed,ppo,12,10011,7,0.0,11,619.1415984603414,388.4581562258405,1.0,0.992631870059385,0.0,0.0,0.0,0.0,0.0,1055,20.299655897188035,0.03581977118082668,0.09555483040630082,0.004098864993901473,0.21421800947867298,0.2161137440758294,0.0,
proposed,ppo,12,10012,7,0.0,12,450.49217892907564,303.48444625781366,1.0,0.989643123280674,0.0,0.0,0.0,0.0,0.0,777,20.21690641810662,0.056615429419087315,0.36452976626474326,0.007952397220565469,0.22651222651222652,0.22393822393822393,0.0,
proposed,ppo,12,10013,7,0.0,13,544.9658283728925,349.06046505961365,1.0,0.9919437477179691,0.0,0.0,0.0,0.0,0.0,955,20.27225392299641,0.06694116786056345,0.2700448829862151,0.004843091207473534,0.218848167539267,0.22094240837696336,0.0,
proposed,ppo,12,10014,7,0.0,14,653.7629736497356,344.99067539243373,0.0,0.8261375404530532,0.0,0.0,0.0,0.0,0.0,1200,20.31213239029918,0.07867458251123084,0.24856287716683365,0.007199369752003501,0.22333333333333333,0.22666666666666666,0.0,
