variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,5,10000,7,0.0,0,485.4087873377613,308.362278589744,1.0,0.9912371444410732,0.0,0.0,0.0,0.0,0.0,937,20.193707676426335,0.15421877972388076,0.4746962638279803,0.009010183914905472,0.22097822594413635,0.21545775404861922,0.0,
proposed,ppo,5,10001,7,0.0,1,471.02117421797305,301.33332035854096,1.0,0.990645518536068,0.0,0.0,0.0,0.0,0.0,911,20.186759591635546,0.15692391211157172,0.5928164985909921,0.00963785385346995,0.22145245097471253,0.22331565317547544,0.0,
proposed,ppo,5,10002,7,0.0,2,541.3322339219816,344.28465384122416,1.0,0.9912021426764318,0.0,0.0,0.0,0.0,0.0,986,20.200435867565453,0.09855421538290253,0.35722148029546763,0.008607866043700983,0.2186957798429725,0.222140720238792,0.0,
proposed,ppo,5,10003,7,0.0,3,452.4901997846667,300.8912169466943,1.0,0.9902824732991887,0.0,0.0,0.0,0.0,0.0,830,20.190989485560614,0.11340944812807034,0.4428384789697313,0.005426110407472195,0.20812782135354468,0.2102574245039239,0.0,
proposed,ppo,5,10004,7,0.0,4,525.0739964068289,329.9140004966207,1.0,0.9919263136812689,0.0,0.0,0.0,0.0,0.0,1005,20.230890353407133,0.14854723108682844,0.5246165982885662,0.005457802821617962,0.2077771686202851,0.2095227991170551,0.0,
proposed,ppo,5,10005,7,0.0,5,493.7660063260656,324.49602258153993,1.0,0.9901167991436409,0.0,0.0,0.0,0.0,0.0,871,20.204254801148593,0.07367610860897984,0.3547337037589218,0.005652751909926037,0.20724333318038046,0.20927377464303193,0.0,
proposed,ppo,5,10006,7,0.0,6,572.1929132381654,345.69462625143984,1.0,0.9923013798154535,0.0,0.0,0.0,0.0,0.0,1111,20.249408101466276,0.15837858181802839,0.6779392207980544,0.006770167289373845,0.20964106882509081,0.20971392083017812,0.0,
proposed,ppo,5,10007,7,0.0,7,629.777000749916,329.8644318786059,0.0,0.8209971628316478,0.0,0.0,0.0,0.0,0.0,1200,20.205867801102055,0.10840701870075968,0.2636164901385672,0.005153770411464696,0.2239461081226667,0.22543607672055563,0.0,
proposed,ppo,5,10008,7,0.0,8,461.2859228426321,297.0273447162718,1.0,0.9907168790626857,0.0,0.0,0.0,0.0,0.0,888,20.185522214744537,0.15617395245257018,0.5207468977566467,0.008158967053614187,0.2185363446001534,0.22052693568371437,0.0,
proposed,ppo,5,10009,7,0.0,9,436.50942581878513,288.63944752256214,1.0,0.9897802428299505,0.0,0.0,0.0,0.0,0.0,827,20.169451607508265,0.1439035592984788,0.4312091076183098,0.007355910759112891,0.21537922083106265,0.21750810500932577,0.0,
proposed,ppo,5,10010,7,0.0,10,534.9113496702751,334.06766442313585,1.0,0.9919411387535406,0.0,0.0,0.0,0.0,0.0,1015,20.168515549731413,0.1366382076510753,0.5022481190553129,0.008763077789963465,0.2296292801795922,0.2329800541177759,0.0,
proposed,ppo,5,10011,7,0.0,11,582.3600508175098,366.36051375142864,1.0,0.9921653973121877,0.0,0.0,0.0,0.0,0.0,1058,20.230989238300882,0.09676035859097026,0.137326756396404,0.004738608388395695,0.21075313889011318,0.21241975878497377,0.0,
proposed,ppo,5,10012,7,0.0,12,420.0502114404902,282.9435711147399,1.0,0.9890131177406456,0.0,0.0,0.0,0.0,0.0,779,20.155714881245277,0.12473830937926625,0.4344497961164305,0.008170229259672765,0.21862364519239239,0.220893016063509,0.0,
proposed,ppo,5,10013,7,0.0,13,532.8036242595459,341.85449766471186,1.0,0.9928256819986129,0.0,0.0,0.0,0.0,0.0,960,20.19938823664621,0.09005397167766074,0.30454542977440135,0.0068688106892902095,0.2153683843712012,0.21534280156095822,0.0,
proposed,ppo,5,10014,7,0.0,14,638.7342707343402,335.42031271356416,0.0,0.8226905217020458,0.0,0.0,0.0,0.0,0.0,1200,20.23635177008404,0.09649651527993491,0.3523075543576373,0.00834082362940535,0.2185051541030407,0.2185607719918092,0.0,
proposed,ppo,5,10015,7,0.0,15,611.693749804207,319.7896561970045,0.0,0.947706998946187,0.0,0.0,0.0,0.0,0.0,1200,20.249514707156276,0.13762165675060395,0.5251527112829836,0.005709248767622436,0.21223779767751694,0.21370444903771083,0.0,
proposed,ppo,5,10016,7,0.0,16,484.15867142124654,316.45492946403147,1.0,0.9899427490668434,0.0,0.0,0.0,0.0,0.0,869,20.12861228619959,0.08836199416841257,0.48813234129213084,0.00651625791988984,0.22966795247498262,0.2317028546360749,0.0,
proposed,ppo,5,10017,7,0.0,17,621.9262940947534,323.8677665269975,0.0,0.8588403503042628,0.0,0.0,0.0,0.0,0.0,1200,20.237151921793448,0.12192977540375366,0.5361580779681698,0.0059443113886906455,0.21559155414501827,0.21555443863073984,0.0,
proposed,ppo,5,10018,7,0.0,18,410.85185736771086,279.4725267195003,1.0,0.9914641128218799,0.0,0.0,0.0,0.0,0.0,764,20.15536550924638,0.12554480338770815,0.325553562807819,0.007245921660263423,0.21573650727721408,0.2169029508273639,0.0,
proposed,ppo,5,10019,7,0.0,19,623.5060557699924,329.74641159828013,0.0,0.9839293583176647,0.0,0.0,0.0,0.0,0.0,1200,20.248322426899307,0.12030255288495278,0.46724030954906115,0.005823554764501751,0.20847208549578986,0.2099328366915385,0.0,
proposed,ppo,5,10020,7,0.0,20,535.2965137384401,341.65189231657496,1.0,0.9917454333943154,0.0,0.0,0.0,0.0,0.0,981,20.195330272013233,0.1050007311080201,0.28231273846417204,0.006367696073451189,0.21745770835487607,0.21925977841551272,0.0,
proposed,ppo,5,10021,7,0.0,21,547.952979794375,341.5395374412701,1.0,0.9920467358566374,0.0,0.0,0.0,0.0,0.0,1027,20.180502458806767,0.12594560219630038,0.6065088426982106,0.005926344051735862,0.224181922524442,0.22415654406227178,0.0,
proposed,ppo,5,10022,7,0.0,22,600.7395127597507,364.50096823938725,1.0,0.9943546566063118,0.0,0.0,0.0,0.0,0.0,1157,20.23423665003294,0.14823050926001435,0.46440539915026846,0.006301278225890809,0.21320740158638257,0.21472446704178713,0.0,
proposed,ppo,5,10023,7,0.0,23,658.425610224505,351.79979654270016,0.0,0.8840879694155378,0.0,0.0,0.0,0.0,0.0,1200,20.24567449212285,0.06820728973762274,0.19366613522444995,0.004890226951877897,0.21291618714729946,0.21438998887936275,0.0,
proposed,ppo,5,10024,7,0.0,24,433.4846835438323,293.5540405338852,1.0,0.9888009701566415,0.0,0.0,0.0,0.0,0.0,782,20.104589647404744,0.09613823887276757,0.3145004317820999,0.006842248437716566,0.23192353352256442,0.23418380034244274,0.0,
proposed,ppo,5,10025,7,0.0,25,442.3366810852398,299.26272438277397,1.0,0.9890948672751229,0.0,0.0,0.0,0.0,0.0,788,20.12814839923713,0.0838581210896233,0.275730709803712,0.005775143355154787,0.22380798041517966,0.22377525610367055,0.0,
proposed,ppo,5,10026,7,0.0,26,571.7953849144794,344.55303115401017,1.0,0.9928292333975902,0.0,0.0,0.0,0.0,0.0,1124,20.212854076632556,0.16829056652945085,0.5671505549750728,0.008761641704493941,0.22449900777314483,0.2252266125428719,0.0,
proposed,ppo,5,10027,7,0.0,27,435.6830042545032,296.6039545979391,1.0,0.989497344100272,0.0,0.0,0.0,0.0,0.0,768,20.0881204935772,0.0727368255681733,0.28661469735931794,0.0068197488665949395,0.23123709748809537,0.2335387022855381,0.0,
proposed,ppo,5,10028,7,0.0,28,623.0961400275652,325.46080920298687,0.0,0.897941175295422,0.0,0.0,0.0,0.0,0.0,1200,20.22223247189795,0.11949391564423484,0.5603049741263397,0.006432300002779811,0.21997149681051573,0.22144559666514396,0.0,
proposed,ppo,5,10029,7,0.0,29,453.589966633916,303.0958168942269,1.0,0.9895944501435254,0.0,0.0,0.0,0.0,0.0,816,20.16359756194429,0.09423699792821706,0.4033676728408524,0.005514542558504378,0.21247796991876527,0.21463826868463964,0.0,
proposed,ppo,5,10030,7,0.0,30,430.8351084019501,288.99474844913254,1.0,0.9897486717153023,0.0,0.0,0.0,0.0,0.0,798,20.152684198559434,0.12154967108636863,0.3797142209097713,0.006915815450591887,0.2155724212639314,0.21778906168495504,0.0,
proposed,ppo,5,10031,7,0.0,31,416.74205398023037,283.6017823470715,1.0,0.9917074143015558,0.0,0.0,0.0,0.0,0.0,761,20.143408482331402,0.10722163328826541,0.33656233290783005,0.010255260105427164,0.22150796471694767,0.22159620261850244,0.0,
