#{"t_start": 1780038098.8463912, "env_id": "None"}
r,l,t,is_success,episode_cost,episode_base_reward,episode_shaped_reward,episode_collision,episode_crash_vehicle,episode_crash_object,episode_out_of_road,episode_route_completion,episode_length,episode_mean_speed,episode_mean_lane_deviation,episode_max_lane_deviation,episode_steering_variation,episode_accel_variation,episode_jerk,episode_ttc_risk,episode_min_ttc,curriculum_stage
-95.820204,600,4.146225,0.0,0.0,6.528798854967707,-95.8202035907436,0.0,0.0,0.0,0.0,0.110461493003024,600,0.7039834721880934,0.0948212066524647,0.18748056575259223,0.7841403741886218,0.8016690187404553,0.622169521873196,0.0,nan,0.0
-101.198327,600,6.897095,0.0,0.0,5.387525430654223,-101.19832736879877,0.0,0.0,0.0,0.0,0.08364845583529308,600,0.6504377189411592,0.14204289872305997,0.24237564021491714,0.8650134898411731,0.8282407048282524,0.6165031878029307,0.0,nan,0.0
-120.010715,600,8.57757,0.0,0.0,6.107150009118479,-120.01071528979746,0.0,0.0,0.0,0.0,0.10246280941957626,600,0.7869016531243738,0.26850717558517034,0.5838946670372963,0.8497791704162956,0.8006007121130824,0.6381779947131873,0.0,nan,0.0
-98.136641,600,10.690029,0.0,0.0,7.430108338056813,-98.13664083037204,0.0,0.0,0.0,0.0,0.12450390308676088,600,0.758270234221425,0.15829011261865147,0.24407798525550048,0.7795583564043045,0.8186646558592717,0.6309601501375437,0.0,nan,0.0
-114.218407,600,12.408183,0.0,0.0,7.571172893866551,-114.21840665633438,0.0,0.0,0.0,0.0,0.12037342871820716,600,0.907046256644138,0.2382180913668534,0.5741346159534849,0.7940422018120686,0.7812903917084137,0.6090146517505248,0.0,nan,0.0
-174.782077,600,14.605426,0.0,0.0,7.991051532192158,-174.78207742894782,0.0,0.0,0.0,0.0,0.17082779819234445,600,1.2016577692462467,0.4777856021761043,0.9983254078494972,0.8458720610539119,0.7516377614438534,0.6201732803881168,0.0,nan,0.0
-139.433929,600,17.270171,0.0,0.0,10.267369353315209,-139.43392925334695,0.0,0.0,0.0,0.0,0.1906839755921789,600,1.2271187032589503,0.38838424334504473,0.9027378295072616,0.8108061501507958,0.7652815783768893,0.59346223483483,0.0,nan,0.0
-130.189637,600,19.519044,0.0,0.0,8.928611489656522,-130.1896373053652,0.0,0.0,0.0,0.0,0.19698433421727965,600,1.0078224088836696,0.34499633239430155,0.6258507300576024,0.8172241155679028,0.7739224758247535,0.5658490712940693,0.0,nan,0.0
-133.622486,600,21.820644,0.0,0.0,8.571471382929328,-133.62248598064448,0.0,0.0,0.0,0.0,0.19055512873943992,600,1.0849404807133098,0.36348277173615134,0.9817651058468785,0.8143792023696005,0.7780550129214923,0.5985931892196338,0.0,nan,0.0
-187.723959,281,22.63202,0.0,1.0,-5.19016233200381,-187.72395949190917,0.0,0.0,0.0,1.0,0.11153004833235386,281,1.3291850955741207,0.4522309037874428,1.0264156969314036,0.8256456919703832,0.7499396763344253,0.585948335636553,0.0,nan,0.0
-79.294952,600,24.913123,0.0,0.0,14.466731712143044,-79.29495241271971,0.0,0.0,0.0,0.0,0.18880178497203975,600,1.1932907285134626,0.12453705838281263,0.3063437502230622,0.8168972996498147,0.7757047373056412,0.6218195390701294,0.0,nan,0.0
-59.872798,600,27.461091,0.0,0.0,21.323060767230775,-59.87279811599761,0.0,0.0,0.0,0.0,0.24760238781764327,600,1.4519478836271722,0.048472227051490915,0.11436708156997205,0.7927545631987353,0.7217523377637068,0.5350159248709678,0.0,nan,0.0
