variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
baseline,ppo,2,11100,7,0.2,0,16,34.46363783797295,34.46363783797295,0.0,0.0933645503780511,1.0,1.0,0.0,0.0,1.0,56,30.66436257051445,0.06862810719833122,0.1586280986759946,0.03502838034182787,0.031544748161520274,0.051818283540861945,0.28865547312057976,0.49544942965096217,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10200,7,0.2,1,16,32.504038888802455,32.504038888802455,0.0,0.09290109356415698,1.0,1.0,0.0,0.0,1.0,57,29.742968914206898,0.08117645068826901,0.2199355317591481,0.048160789697839504,0.04325738026384722,0.06076051111806903,0.2958220122974868,0.4286244120667148,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,11500,7,0.2,2,16,25.152328858483692,25.152328858483692,0.0,0.0943354706522883,1.0,1.0,0.0,0.0,1.0,60,29.875375059375937,0.24363339004305226,0.433439382976188,0.06741264769807458,0.03641022841135661,0.04814558128515879,0.31456297677112804,0.6252068400448905,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,11000,7,0.2,3,16,36.62166641698967,36.62166641698967,0.0,0.14659939820278395,0.0,0.0,0.0,1.0,1.0,61,32.94200225539176,0.10917925239894989,1.1266213466990447,0.04914719728966717,0.03156217492994715,0.04035042250742678,0.18480232601017524,1.1547048394496928,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,11300,7,0.2,4,16,40.57844893866503,40.57844893866503,0.0,0.09442487696884719,1.0,1.0,0.0,0.0,1.0,64,32.575785847966586,0.10020960723846462,0.37853079032834425,0.04452716033847537,0.04001199878985062,0.053261505148839206,0.27788608784147767,0.5931766450898068,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10100,7,0.2,5,16,44.043062487493124,44.043062487493124,0.0,0.10008481476693804,0.0,0.0,0.0,1.0,1.0,68,34.74078965115831,0.1525852669752516,1.7120345759982065,0.0929578970432939,0.05913894820739241,0.06599525033551104,0.0019978779693548545,4.656392743497478,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,11400,7,0.2,6,16,36.56378587279873,36.56378587279873,0.0,0.10657493685833021,0.0,0.0,0.0,1.0,1.0,70,34.988650089841066,0.28749172849517796,2.0,0.07055865276072706,0.05239577064556735,0.0633309183376176,0.0,5.40384079025229,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10400,7,0.2,7,16,44.955778241362495,44.955778241362495,0.0,0.11908447294371269,0.0,0.0,0.0,1.0,1.0,71,33.8902280956962,0.15630944476731373,1.5977239859925239,0.07817411751971698,0.05960713326931,0.07482596938039215,5.1835289055753895e-05,4.981598472385207,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10300,7,0.2,8,16,42.3210012268749,42.3210012268749,0.0,0.12751040292167157,0.0,0.0,0.0,1.0,1.0,73,35.79505509822702,0.2097184702496573,1.3032908705297352,0.07950564621858401,0.032260762093818354,0.0420434201416904,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10500,7,0.2,9,16,42.208745274725786,42.208745274725786,0.0,0.1406966741612251,0.0,0.0,0.0,1.0,1.0,74,35.79381945021485,0.21942200226946057,1.4300321553719997,0.10857169053240402,0.04700706858892698,0.0591388477666958,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10900,7,0.2,10,16,45.832324411572934,45.832324411572934,0.0,0.0880999490353645,1.0,1.0,0.0,0.0,1.0,74,34.43617337265219,0.17685337139859486,0.9678505698183683,0.08787859089018123,0.041821331591219514,0.055670343138076166,0.14880298172398476,0.2579539666013814,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,11200,7,0.2,11,16,39.48652784653008,39.48652784653008,0.0,0.12343881385085431,1.0,1.0,0.0,0.0,1.0,76,34.20484220233687,0.25361489170532503,1.571855174947459,0.11121507488975399,0.045852347522189744,0.061461850020446275,0.10499628363621138,0.21022681835504972,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10000,7,0.2,12,16,44.121274044243705,44.121274044243705,0.0,0.16344013492958887,0.0,0.0,0.0,1.0,1.0,82,36.537899580671414,0.2732066956272271,1.2756314002200448,0.1342303459418983,0.0544594613517203,0.0670347817060424,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10700,7,0.2,13,16,106.13123957734807,106.13123957734807,0.0,0.2721420545325819,1.0,1.0,0.0,0.0,1.0,98,46.04966299899644,0.08548514807967808,0.25576370932183556,0.06261659574181754,0.03071854947781076,0.0371992290019989,0.1840226041524012,0.37817021962746705,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10800,7,0.2,14,16,45.82870889001327,45.82870889001327,0.0,0.16609929340937157,0.0,0.0,0.0,1.0,1.0,112,29.465544492259088,0.6549732840565651,2.0,0.08744227699935436,0.06193464638532272,0.06424284879384297,0.0,8.199004147779423,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,10600,7,0.2,15,16,45.83069076307746,45.83069076307746,0.0,0.16161505586451544,0.0,0.0,0.0,1.0,1.0,113,29.58251696958391,0.6331639822891251,2.0,0.07874517353762568,0.06703229922702354,0.06670572031783846,0.0,7.978360426843453,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,11001,7,0.2,16,16,62.214253351652076,62.214253351652076,0.0,0.17990256618187023,1.0,1.0,0.0,0.0,1.0,73,37.73856412629072,0.06491301518721738,0.23467329742247833,0.07563345416206611,0.04168686617727149,0.05470839265274675,0.2581683907756443,0.6388368684359651,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
baseline,ppo,2,11101,7,0.2,17,16,43.69197746590121,43.69197746590121,0.0,0.18444539790354,0.0,0.0,0.0,1.0,1.0,81,33.224858979053685,0.22696364600553756,1.1278335521245446,0.0952908909868127,0.052193760136027396,0.06438681593647709,0.20584663739085515,0.05116775319846575,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/config.json,outputs/tuned_compare_baseline_nenv16_seed2_1m/runs/baseline_ppo_s2/model/final_model.zip
