variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,0,10000,7,0.2,0,16,291.55402746254913,-60.418424959146904,0.0,0.5236890279605098,1.0,1.0,0.0,0.0,1.0,732,16.1143001616518,0.1255923295999383,0.4089054723359583,0.03101561432119072,0.32486339019295946,0.3344262317230141,0.008146774101950839,1.0131093161044173,520,35,3,482,0.7103825136612022,0.04781420765027322,0.004098360655737705,0.6584699453551912,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11300,7,0.2,1,16,384.4792003879613,-218.70171332161578,1.0,0.9880915010628608,0.0,0.0,0.0,0.0,0.0,921,15.092363856069316,0.09427392919608323,0.2744314310994961,0.045753906846266894,0.23676733952521242,0.26752151081279874,0.08558979353192435,0.9786488549702423,684,25,96,563,0.742671009771987,0.02714440825190011,0.10423452768729642,0.6112920738327905,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10300,7,0.2,2,16,399.4797512566009,171.3293453640395,1.0,0.9918848699533114,0.0,0.0,0.0,0.0,0.0,922,17.49443496556991,0.19767109560077237,0.5686324937907877,0.039713408656311254,0.24208242981139078,0.2507592193992433,0.01211347378978801,2.57105069442951,747,6,17,724,0.8101952277657267,0.006507592190889371,0.01843817787418655,0.7852494577006508,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11100,7,0.2,3,16,205.10528673437727,-359.927286976519,0.0,0.45302099707029087,1.0,1.0,0.0,0.0,1.0,972,8.50139942986368,0.16238449366969465,0.5753390429705681,0.04572416428038697,0.6281893079172928,0.5843621467857204,0.034384791973775045,5.9164845893752505,416,153,13,250,0.4279835390946502,0.1574074074074074,0.013374485596707819,0.257201646090535,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11200,7,0.2,4,16,335.0818507753951,-181.603731317022,0.0,0.5397128425984832,1.0,1.0,0.0,0.0,1.0,1025,13.827145996196977,0.2104832473940562,0.8609440142563748,0.04430753538816622,0.4950243958031259,0.4866341517611248,0.0184630090725043,3.5993343909033375,527,120,3,404,0.5141463414634146,0.11707317073170732,0.002926829268292683,0.39414634146341465,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11500,7,0.2,5,16,331.8689255599351,-219.32517741905724,0.0,0.5219082016345148,1.0,1.0,0.0,0.0,1.0,1056,13.065957191525799,0.18243036733144882,0.4916147101133848,0.04629401300939428,0.4975378842967929,0.5011363692130103,0.026881404159360914,2.9777739617495325,551,124,18,409,0.521780303030303,0.11742424242424243,0.017045454545454544,0.3873106060606061,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10700,7,0.2,6,16,495.3993630149347,-273.9475731663248,1.0,0.9905801209878061,0.0,0.0,0.0,0.0,0.0,1194,15.062501469946943,0.08906373123177377,0.42472708130680564,0.040541928644499535,0.22526477539359624,0.2576314717081923,0.07948996501186288,0.013887250302192313,933,18,137,778,0.7814070351758794,0.01507537688442211,0.11474036850921274,0.6515912897822446,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10400,7,0.2,7,16,350.5263251718025,-302.7796352344385,0.0,0.6988696254135155,1.0,1.0,0.0,0.0,1.0,1279,11.781225934816318,0.216011614252346,0.43461653200997485,0.05017772966273496,0.4905494566165068,0.4919568060710152,0.03072193525840789,1.5750022776587433,577,151,26,400,0.4511336982017201,0.11806098514464425,0.020328381548084442,0.3127443315089914,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10800,7,0.2,8,16,243.82168601011713,-477.6636220870953,0.0,0.3792662618602455,1.0,1.0,0.0,0.0,1.0,1358,7.514556588670317,0.16288382158564468,0.49188027345052865,0.042330431985080415,0.5957945649771347,0.6026222001821548,0.04270723328941918,0.5266357417654776,365,200,42,123,0.26877761413843887,0.14727540500736377,0.030927835051546393,0.09057437407952872,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10200,7,0.2,9,16,448.43533065605476,73.53604513061258,1.0,0.9916029936668469,0.0,0.0,0.0,0.0,0.0,1414,12.505474594951004,0.1576950079240085,0.4378348489934915,0.04269021206633866,0.41980198451450895,0.4277227766274394,0.021182463110295462,2.776069277448209,756,134,26,596,0.5346534653465347,0.09476661951909476,0.018387553041018388,0.4214992927864215,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/config.json,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/runs/proposed_ppo_s0/model/final_model.zip
