variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed,ppo,0,10400,7,0.2,0,16,36.18281928335536,-108.54740702863222,0.0,0.08791091074357997,1.0,1.0,0.0,0.0,1.0,108,16.732985323698504,0.1098650257364996,0.28035883718594184,0.05954777299754183,0.25,0.25925925925925924,0.03929944503341422,0.7960195423828024,79,0,4,75,0.7314814814814815,0.0,0.037037037037037035,0.6944444444444444,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10600,7,0.2,1,16,41.16645923265599,-101.51892853064747,0.0,0.08770436608988394,1.0,1.0,0.0,0.0,1.0,130,15.340039337201578,0.09237035280981357,0.1912731833364369,0.059559367625759196,0.2153846153846154,0.28615384652064396,0.025489066879695578,1.714888050541291,75,2,4,69,0.5769230769230769,0.015384615384615385,0.03076923076923077,0.5307692307692308,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11200,7,0.2,2,16,331.27012616132487,60.124377940655805,0.0,0.7940347359986545,1.0,1.0,0.0,0.0,1.0,718,17.947331105319517,0.08784452282353052,0.3190056582465853,0.041943801018282316,0.2565459614012567,0.25933147672159096,0.0045601936106044565,0.570354220446779,587,7,2,578,0.8175487465181058,0.009749303621169917,0.002785515320334262,0.8050139275766016,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11300,7,0.2,3,16,397.5898866600507,149.6819314366585,1.0,0.9879678760355401,0.0,0.0,0.0,0.0,0.0,840,16.930262834093575,0.09037751056629856,0.3007604816782976,0.04284258670772293,0.23380952392305646,0.2490476191043854,0.03631692388180441,1.071177289995992,683,2,40,641,0.8130952380952381,0.002380952380952381,0.047619047619047616,0.763095238095238,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10900,7,0.2,4,16,418.27620036673807,267.77122963590205,1.0,0.9890037740018518,0.0,0.0,0.0,0.0,0.0,866,17.8603674878582,0.11388751402301277,0.38225957627095924,0.06720754339770516,0.2609699771806219,0.26189376465442826,0.003526405633123216,1.2185591728966219,697,5,3,689,0.8048498845265589,0.005773672055427252,0.003464203233256351,0.7956120092378753,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10500,7,0.2,5,16,420.2652558384107,266.14387892582585,1.0,0.9881554113304513,0.0,0.0,0.0,0.0,0.0,895,16.921574456022167,0.0916765775275286,0.28504047893753215,0.04435713026859907,0.33596266235053207,0.3387564909524758,0.005961108020587751,4.775113513118424,589,49,3,537,0.6581005586592179,0.054748603351955305,0.0033519553072625698,0.6,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,10600,7,0.2,6,16,410.5993918304454,245.23599835256442,1.0,0.9882158532397912,0.0,0.0,0.0,0.0,0.0,843,17.350004323012737,0.07996356784810033,0.3404168863576503,0.04032271467193448,0.27425860114227696,0.2837485181055035,0.010987669569170968,2.593017136866006,650,16,12,622,0.7710557532621589,0.018979833926453145,0.014234875444839857,0.7378410438908659,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11500,7,0.2,7,16,300.6057640150736,-145.6349440924928,0.0,0.5203634949915878,1.0,1.0,0.0,0.0,1.0,1066,12.223877169990917,0.18946768408606912,0.6846070736812594,0.07048844617414052,0.5363977545868837,0.5523452219775201,0.03467246809353702,2.642169631292885,451,144,20,287,0.4230769230769231,0.1350844277673546,0.01876172607879925,0.2692307692307692,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11000,7,0.2,8,16,516.8831767368924,237.78385090427088,1.0,0.9908442998995552,0.0,0.0,0.0,0.0,0.0,1111,17.20656566126051,0.10547911263318632,0.4832732314130887,0.05701718203770374,0.24609910336622345,0.2594379359381785,0.019080334024413968,1.8787273928799082,860,5,29,826,0.774077407740774,0.004500450045004501,0.026102610261026102,0.7434743474347435,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
proposed,ppo,0,11400,7,0.2,9,16,268.0349593689042,-196.91549597167403,0.0,0.5305684801534964,1.0,1.0,0.0,0.0,1.0,1157,10.054987795319226,0.24903234862294388,0.5808886452766432,0.040867672596439114,0.4829711190255016,0.48526512237077346,0.024699028283997972,2.300782511304524,501,140,11,350,0.43301642178046673,0.12100259291270528,0.00950734658599827,0.3025064822817632,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/config.json,outputs/retune_proposed_ttc4_cost10_lane1_nenv16_seed0_1m/runs/proposed_ppo_s0/model/final_model.zip
