variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
risk,ppo,0,10000,7,0.2,0,16,-0.004947093723217653,-224.7317894692396,0.0,0.008857095525158686,0.0,0.0,0.0,0.0,0.0,1500,0.013856372247597348,0.011635392801800759,0.011693616138516012,0.0006666666666666666,0.0006666666666666666,0.0009631206194559733,0.0,543.5783952929967,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10100,7,0.2,1,16,0.016860058771020647,-224.54208506343505,0.0,0.008588243040279251,0.0,0.0,0.0,0.0,0.0,1500,0.01311236592322986,0.00305612950431413,0.003082064641108469,0.0006666666666666666,0.0006666666666666666,0.0009194656213124593,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10200,7,0.2,2,16,0.0017266872313571853,-224.60570901167563,0.0,0.00936065917629356,0.0,0.0,0.0,0.0,0.0,1500,0.01365772509948964,0.008195316382024165,0.008238894264722496,0.0006666666666666666,0.0006666666666666666,0.0009306249618530274,0.0,804.7485929837961,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10300,7,0.2,3,16,-0.007837981712130003,-224.52804849616604,0.0,0.011877539440508554,0.0,0.0,0.0,0.0,0.0,1500,0.013930644576819287,0.008904107196692575,0.008946026863775032,0.0006666666666666666,0.0006666666666666666,0.0009550916353861491,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10400,7,0.2,4,16,0.014838582280900937,-224.49752349269943,0.0,0.009840142877480413,0.0,0.0,0.0,0.0,0.0,1500,0.013200852036974502,0.0035121783802273365,0.0035395496037024968,0.0006666666666666666,0.0006666666666666666,0.0008974659442901611,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10500,7,0.2,5,16,0.0038197228910376944,-224.66465732971443,0.0,0.007076551224988172,0.0,0.0,0.0,0.0,0.0,1500,0.013590994070367571,0.006804717295482659,0.006864047080041604,0.0006666666666666666,0.0006666666666666666,0.0011176068782806396,0.0,1575.452456352024,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10600,7,0.2,6,16,-0.0017341900513953006,-224.73500664824132,0.0,0.007224823433272344,0.0,0.0,0.0,0.0,0.0,1500,0.01376549848235474,0.009755934495525522,0.00983301361496871,0.0006666666666666666,0.0006666666666666666,0.0010819948514302572,0.0,659.9274214531417,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10700,7,0.2,7,16,-0.0046579884056067436,-224.70367590706772,0.0,0.008638611311317506,0.0,0.0,0.0,0.0,0.0,1500,0.013848249210414925,0.010534397915518143,0.010587359018013309,0.0006666666666666666,0.0006666666666666666,0.0009464218616485596,0.0,659.9360032321612,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10800,7,0.2,8,16,-0.008336497786624776,-224.8070913689335,0.0,0.006967003601982187,0.0,0.0,0.0,0.0,0.0,1500,0.013948229271546292,0.011578305891959441,0.011632425397440705,0.0006666666666666666,0.0006666666666666666,0.0008471918900807699,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
risk,ppo,0,10900,7,0.2,9,16,-0.005055314859027898,-224.68282502244412,0.0,0.008686710116969672,0.0,0.0,0.0,0.0,0.0,1500,0.013856513537155142,0.009912415397492212,0.00996093313863744,0.0006666666666666666,0.0006666666666666666,0.0008033432960510254,0.0,806.6104274270481,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/config.json,outputs/tuned_compare_risk_nenv16_seed0_1m/runs/risk_ppo_s0/model/final_model.zip
