variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
proposed_wo_ttc,ppo,0,10100,7,0.0,0,16,391.20882975174635,270.9077360759269,1.0,0.988466282629071,0.0,0.0,0.0,0.0,0.0,805,18.233348598917107,0.13107037272087685,0.2846124824497514,0.012275919377491434,0.23354037267080746,0.23354037267080746,0.0,,694,0,0,694,0.8621118012422361,0.0,0.0,0.8621118012422361,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,11200,7,0.0,1,16,406.44624820767996,283.4795684975572,1.0,0.9883689427856309,0.0,0.0,0.0,0.0,0.0,810,18.26902525742013,0.10051399332270353,0.23889552075605586,0.014908995112565196,0.22962962962962963,0.2234567901234568,0.0,,701,0,0,701,0.8654320987654321,0.0,0.0,0.8654320987654321,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,10200,7,0.0,2,16,421.6984508723519,276.658150344806,1.0,0.9893863150948703,0.0,0.0,0.0,0.0,0.0,892,18.283370471813924,0.15482201965230685,0.3043903330005706,0.012327040171077382,0.226457399103139,0.22869955156950672,0.0,,774,0,0,774,0.8677130044843049,0.0,0.0,0.8677130044843049,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,11300,7,0.0,3,16,438.6174758613946,276.5161665081207,1.0,0.9905842632679085,0.0,0.0,0.0,0.0,0.0,950,18.25028340892897,0.17198636106702517,0.37264802268572833,0.013149591557142374,0.23789473684210527,0.24,0.0,,819,0,0,819,0.8621052631578947,0.0,0.0,0.8621052631578947,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,11000,7,0.0,4,16,499.3064647837163,300.3786366323237,1.0,0.9925850522937659,0.0,0.0,0.0,0.0,0.0,1096,18.34185867855499,0.17180708917604334,0.4671182116687016,0.014325064898002893,0.2198905109489051,0.22171532846715328,0.0,,957,0,0,957,0.8731751824817519,0.0,0.0,0.8731751824817519,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,10900,7,0.0,5,16,508.37343732923927,302.14592790616564,1.0,0.9914527114956542,0.0,0.0,0.0,0.0,0.0,1105,18.328600234552326,0.1730493975679737,0.40623834322359575,0.016199128321325616,0.22624434389140272,0.22624434389140272,0.0,,964,0,0,964,0.8723981900452489,0.0,0.0,0.8723981900452489,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,10300,7,0.0,6,16,491.97084042503,274.2192941476583,1.0,0.9913775603768742,0.0,0.0,0.0,0.0,0.0,1122,18.345826361203535,0.2178041175449178,0.4379771091112675,0.012050735638867034,0.21657754010695188,0.21836007130124777,0.0,,984,0,0,984,0.8770053475935828,0.0,0.0,0.8770053475935828,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,10500,7,0.0,7,16,505.7307542028479,292.216030460704,1.0,0.9915605936752415,0.0,0.0,0.0,0.0,0.0,1122,18.34199644875816,0.19343693528514638,0.40226567018828024,0.012177072279902305,0.21746880570409982,0.2192513368983957,0.0,,984,0,0,984,0.8770053475935828,0.0,0.0,0.8770053475935828,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,11400,7,0.0,8,16,533.5200309235853,317.8685809548533,1.0,0.9919904977053491,0.0,0.0,0.0,0.0,0.0,1141,18.343709970481306,0.15518368946868127,0.576303253440283,0.01645260629440861,0.22348816827344434,0.22348816827344434,0.0,,990,0,0,990,0.8676599474145487,0.0,0.0,0.8676599474145487,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,10800,7,0.0,9,16,525.0783470454827,305.9648778979636,1.0,0.991749723607947,0.0,0.0,0.0,0.0,0.0,1148,18.342099401254323,0.17402008167062966,0.4160724611041192,0.014647949378059704,0.22473867595818817,0.22822299651567945,0.0,,1001,0,0,1001,0.8719512195121951,0.0,0.0,0.8719512195121951,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,10400,7,0.0,10,16,557.5242666813551,337.9849132972982,1.0,0.990821403542344,0.0,0.0,0.0,0.0,0.0,1166,18.283476157876162,0.13573127696147744,0.3893810069126095,0.011446032650955661,0.23499142367066894,0.2367066895368782,0.0,,1011,0,0,1011,0.8670668953687821,0.0,0.0,0.8670668953687821,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,10700,7,0.0,11,16,535.2032959995195,288.6139719824142,1.0,0.992936658119975,0.0,0.0,0.0,0.0,0.0,1215,18.313716500944565,0.21046489225541062,0.4881891626815962,0.011088605924727924,0.2271604938271605,0.2288065843621399,0.0,,1060,0,0,1060,0.8724279835390947,0.0,0.0,0.8724279835390947,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
proposed_wo_ttc,ppo,0,11500,7,0.0,12,16,567.7868066094652,310.6167667214965,1.0,0.9930667027435969,0.0,0.0,0.0,0.0,0.0,1267,18.372164311567694,0.19687461805711046,0.47658327831659103,0.010646846068945096,0.21152328334648776,0.21310181531176006,0.0,,1117,0,0,1117,0.8816101026045777,0.0,0.0,0.8816101026045777,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/config.json,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/runs/proposed_wo_ttc_ppo_s0/model/final_model.zip
