variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
baseline,ppo,1,10900,7,0.0,0,16,39.563669520639976,39.563669520639976,0.0,0.11896654984916978,0.0,0.0,0.0,1.0,1.0,63,34.37117121958741,0.09999688051073444,1.222314335960581,0.020442020946315358,0.015873015873015872,0.031746031746031744,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,11300,7,0.0,1,16,38.873667566186235,38.873667566186235,0.0,0.14418140035965857,0.0,0.0,0.0,1.0,1.0,64,33.69556969235282,0.15071067369090183,2.0,0.027230300358496606,0.015625,0.03125,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,10100,7,0.0,2,16,40.556634383034364,40.556634383034364,0.0,0.08268570996714027,0.0,0.0,0.0,1.0,1.0,65,33.71945663480135,0.0942138903768785,1.1419487302205777,0.019502641891057673,0.015384615384615385,0.03076923076923077,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,11200,7,0.0,3,16,41.94860935350859,41.94860935350859,0.0,0.13781171591964447,0.0,0.0,0.0,1.0,1.0,69,36.11013592451846,0.16348862679926393,1.077663093941535,0.022382370371749435,0.014492753623188406,0.028985507246376812,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,10400,7,0.0,4,16,44.42377694725084,44.42377694725084,0.0,0.11886238097906476,0.0,0.0,0.0,1.0,1.0,75,35.290105641479094,0.2801350164327584,2.0,0.027699989701310792,0.015291721820831298,0.028745919863382974,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,11100,7,0.0,5,16,37.36779379549371,37.36779379549371,0.0,0.13428432720196323,0.0,0.0,0.0,1.0,1.0,80,35.019458507855674,0.3257607142737857,2.0,0.02290362655185163,0.013855472207069397,0.0271002396941185,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,10300,7,0.0,6,16,71.27700634340445,71.27700634340445,0.0,0.265245594454846,0.0,0.0,0.0,1.0,1.0,126,53.321571452591485,0.540778310511054,2.0,0.06470060933913503,0.007936507936507936,0.015873015873015872,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,11500,7,0.0,7,16,133.64521557800836,133.64521557800836,0.0,0.28451440176103676,0.0,0.0,0.0,1.0,1.0,127,53.543759202149054,0.25654637909626476,2.0,0.067549905131065,0.008613527290464386,0.016487543038495884,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,10900,7,0.0,8,16,44.01774042389983,44.01774042389983,0.0,0.1588254243757062,0.0,0.0,0.0,1.0,1.0,67,35.10587122651999,0.13566857638572502,1.6095233971715748,0.04276570294107964,0.014925373134328358,0.029850746268656716,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
baseline,ppo,1,11300,7,0.0,9,16,39.368992148253476,39.368992148253476,0.0,0.11852204383949035,0.0,0.0,0.0,1.0,1.0,67,33.68951845789244,0.1824829358796607,2.0,0.025536439284237464,0.014925373134328358,0.029850746268656716,0.0,,0,0,0,0,0.0,0.0,0.0,0.0,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/config.json,outputs/tuned_compare_baseline_nenv16_seed1_1m/runs/baseline_ppo_s1/model/final_model.zip
