variant,algo,seed,density,episode,reward,shaped_reward,success,collision,out_of_road,cost,mean_speed_kmh,steering_variation,ttc_risk
proposed,ppo,0,0.0,0,156.3627427344569,147.6994777509094,0.0,1.0,0.0,1.0,47.77180393280819,0.04372691100773712,0.07612063727928212
proposed,ppo,0,0.0,1,69.63714551946802,66.63239799572929,0.0,0.0,1.0,1.0,36.72806579448219,0.026838336560128843,0.0
proposed,ppo,0,0.0,2,309.6326822490017,305.4777989374518,0.0,0.0,1.0,1.0,63.0123772472485,0.03806720761183117,0.0
proposed,ppo,0,0.0,3,169.90461678465454,166.96560443038726,0.0,0.0,1.0,1.0,54.652907291557916,0.026624601550680478,0.0
proposed,ppo,0,0.0,4,394.3275589732304,389.4923782562182,0.0,0.0,1.0,1.0,66.00171665946506,0.044736800904019394,0.0
proposed,ppo,0,0.0,5,175.6004366532517,171.97192325411947,0.0,0.0,1.0,1.0,55.309199306568104,0.03374160373173023,0.0
proposed,ppo,0,0.0,6,175.42833095650155,172.73533724762115,0.0,0.0,1.0,1.0,53.54994752772964,0.03390870381116382,0.0
proposed,ppo,0,0.0,7,564.8227108123892,558.9903123504438,0.0,0.0,1.0,1.0,68.70254411115633,0.032998893073050165,0.0
proposed,ppo,0,0.0,8,67.99934751723865,66.12542182422085,0.0,0.0,1.0,1.0,36.398064657041225,0.023552273869022936,0.0
proposed,ppo,0,0.0,9,69.19157477481689,66.0478845283245,0.0,0.0,1.0,1.0,36.199970111638244,0.05817380399959212,0.0
proposed,ppo,0,0.0,10,68.76688989109218,65.39607099434133,0.0,1.0,0.0,1.0,35.6717302485614,0.037826543522847665,0.0
proposed,ppo,0,0.0,11,629.1108583653245,624.4989694020628,1.0,0.0,0.0,0.0,70.67276272011128,0.032471473050751036,0.0
proposed,ppo,0,0.0,12,66.9377805272229,64.59671747920194,0.0,0.0,1.0,1.0,36.3711197476318,0.02692335012368858,0.0
proposed,ppo,0,0.0,13,70.51433304652387,67.51655523894806,0.0,0.0,1.0,1.0,35.90342869384518,0.02430814687521702,0.0
proposed,ppo,0,0.0,14,55.97955908809558,53.9450550972531,0.0,0.0,1.0,1.0,34.23173900978064,0.0304612746856247,0.0
proposed,ppo,0,0.0,15,399.58709053406784,393.09966704804117,0.0,0.0,1.0,1.0,65.50444461884307,0.031809259756186675,0.0
proposed,ppo,0,0.0,16,148.17327586358115,144.85505067874655,0.0,0.0,1.0,1.0,50.08802788222223,0.03532001538921825,0.0
proposed,ppo,0,0.0,17,219.27224843765876,215.81676155336606,0.0,0.0,1.0,1.0,53.811466634895126,0.050838240867379265,0.0
proposed,ppo,0,0.0,18,273.125210198594,269.5173371545486,0.0,0.0,1.0,1.0,61.839695639443214,0.028801056917791078,0.0
proposed,ppo,0,0.0,19,78.11489557639105,75.13516608433164,0.0,0.0,1.0,1.0,37.95551060535097,0.0567691952171849,0.0
proposed,ppo,0,0.1,0,80.34012105167498,67.8293040067844,0.0,1.0,0.0,1.0,38.90103513063436,0.04652271172196805,0.21623163523863276
proposed,ppo,0,0.1,1,49.61405654414769,44.86869931910496,0.0,0.0,1.0,1.0,32.71664179872717,0.02185747138850513,0.06359105623250604
proposed,ppo,0,0.1,2,137.0330243598911,124.73224584981702,0.0,1.0,0.0,1.0,49.871289985548536,0.05143557097716718,0.15471986289308007
proposed,ppo,0,0.1,3,179.0143514454429,170.60643167424664,0.0,0.0,1.0,1.0,55.50921558179951,0.03071475993945367,0.07735838586437997
proposed,ppo,0,0.1,4,81.43918737616886,71.96080276164739,0.0,1.0,0.0,1.0,40.46304706552914,0.06051291404715316,0.1595059457610442
proposed,ppo,0,0.1,5,132.49450701716367,121.67271586159899,0.0,1.0,0.0,1.0,49.93109336887407,0.05361138457166297,0.1352418683520292
proposed,ppo,0,0.1,6,159.53158303651662,147.6459127128119,0.0,1.0,0.0,1.0,51.22234547893651,0.03298469381489321,0.1363888766935282
proposed,ppo,0,0.1,7,179.12294010433328,159.77787608510224,0.0,1.0,0.0,1.0,50.586293511331796,0.06547821898648674,0.20598162514752227
proposed,ppo,0,0.1,8,67.99602402107566,66.11648353875214,0.0,0.0,1.0,1.0,36.4021341245491,0.02427921610069461,0.0
proposed,ppo,0,0.1,9,45.260017484885545,34.51891404022805,0.0,1.0,0.0,1.0,30.901789214500575,0.049733610669845496,0.21408407894039713
proposed,ppo,0,0.1,10,68.70717763795108,65.34252953272454,0.0,1.0,0.0,1.0,35.65512986632728,0.03737110537602692,0.0
