method,variant,algo,seed,density,success,route_completion,collision,out_of_road,cost,reward,shaped_reward,episode_length,speed,lane_deviation,steering_variation,accel_variation,ttc_risk,min_ttc,source_summary
full_proposed,proposed,ppo,0,0.0,0.96,0.9884170352859311,0.0,0.0,0.0,561.9968902446925,350.94146943191083,1124.42,18.30377574485401,0.0933995548798737,0.024873151722198204,0.2304968081042756,0.0,,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/evaluations/summary.csv
full_proposed,proposed,ppo,0,0.08,0.88,0.965185526459413,0.1,0.0,0.1,527.2374387137534,258.3485890133858,1109.56,18.0226065387752,0.12825662932307483,0.029131329534865687,0.23954793475939912,0.0062569150478555356,7.945477486170871,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/evaluations/summary.csv
full_proposed,proposed,ppo,0,0.15,0.7,0.8715899657899834,0.22,0.02,0.24,447.8529455856775,96.05845081344938,1083.32,16.089938576924677,0.13764216847798405,0.03749256910736707,0.31009000339184145,0.01850101710296553,3.361978512650264,outputs/tuning_proposed_defensive_h1500_lane1_out150_cost50_nenv16_1m/evaluations/summary.csv
wo_ttc,proposed_wo_ttc,ppo,0,0.0,1.0,0.9917108320182259,0.0,0.0,0.0,511.43360080152524,302.6486209103785,1111.64,18.313029130547264,0.1710701807036592,0.012738472135545915,0.22543228850225824,0.0,,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/evaluations/summary.csv
wo_ttc,proposed_wo_ttc,ppo,0,0.08,0.92,0.9752199577270193,0.04,0.0,0.04,490.48010692408104,274.26434804173164,1096.82,18.083943114699938,0.18286145461657988,0.018435071654428703,0.2327031969710082,0.002406970266768451,7.255097232187448,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/evaluations/summary.csv
wo_ttc,proposed_wo_ttc,ppo,0,0.15,0.44,0.7433404849954889,0.54,0.0,0.54,361.67397463214,91.25726116968656,908.66,16.684101720926254,0.18130495878485106,0.030661198308959234,0.29057576491231984,0.005976739181122278,3.5533274188132427,outputs/tuned_ablation_wo_ttc_nenv16_seed0_1m/evaluations/summary.csv
wo_lane,proposed_wo_lane,ppo,0,0.0,1.0,0.9918204768585587,0.0,0.0,0.0,383.17669362322425,280.1268771615259,1039.74,18.278631646712046,0.34804022190502265,0.02875981614040065,0.23497243827385422,0.0,,outputs/tuned_ablation_wo_lane_nenv16_seed0_1m/evaluations/summary.csv
wo_lane,proposed_wo_lane,ppo,0,0.08,0.9,0.9570477550803586,0.06,0.0,0.06,383.11089395007525,248.22921387799113,1101.54,17.91241995931477,0.35954494669085685,0.031572216423762595,0.24878108676616628,0.002343504231436157,8.25512450312234,outputs/tuned_ablation_wo_lane_nenv16_seed0_1m/evaluations/summary.csv
wo_lane,proposed_wo_lane,ppo,0,0.15,0.6,0.8619445937397815,0.28,0.0,0.28,340.1821724497957,80.34044456364863,1084.18,16.280001955794745,0.3475138015372186,0.0382080131588914,0.315367961163058,0.015603105811795255,4.006970879946048,outputs/tuned_ablation_wo_lane_nenv16_seed0_1m/evaluations/summary.csv
wo_smooth,proposed_wo_smooth,ppo,0,0.0,0.98,0.9893880184764705,0.0,0.0,0.0,528.9214967086255,336.53527349835844,1060.34,18.294269822667957,0.09520341697819962,0.01897759617115369,0.2307160427453659,0.0,,outputs/tuned_ablation_wo_smooth_nenv16_seed0_1m/evaluations/summary.csv
wo_smooth,proposed_wo_smooth,ppo,0,0.08,0.84,0.940013790143729,0.14,0.0,0.14,507.0568793844309,261.42016716020856,1048.4,17.97324626267886,0.10211584836796424,0.02450799504952217,0.23908730277337778,0.005524366949541281,9.519364988127268,outputs/tuned_ablation_wo_smooth_nenv16_seed0_1m/evaluations/summary.csv
wo_smooth,proposed_wo_smooth,ppo,0,0.15,0.58,0.8490854337310175,0.24,0.0,0.24,436.95558397623813,53.63249374500031,1127.68,15.872468346301801,0.1539140943133014,0.036469081628710535,0.32413853422881206,0.01898289860783026,3.595628538728582,outputs/tuned_ablation_wo_smooth_nenv16_seed0_1m/evaluations/summary.csv
guard_only,guard_only,ppo,0,0.0,1.0,0.991653825384311,0.0,0.0,0.0,582.8756530663081,582.8756530663081,1134.24,18.31373378809899,0.06903008542423683,0.004628928488304586,0.22482374589823576,0.0,,outputs/tuned_ablation_guard_only_nenv16_seed0_1m/evaluations/summary.csv
guard_only,guard_only,ppo,0,0.08,0.86,0.9541970551700336,0.08,0.0,0.08,531.6131118748281,531.6131118748281,1070.94,18.09298878374103,0.08836094157469457,0.006692246632251094,0.23157897559218366,0.0022350821869193183,7.72625064620826,outputs/tuned_ablation_guard_only_nenv16_seed0_1m/evaluations/summary.csv
guard_only,guard_only,ppo,0,0.15,0.62,0.8613726099344109,0.2,0.02,0.22,433.3295023542245,433.3295023542245,1058.34,16.231916993294323,0.15064716007801718,0.009866343479087724,0.29776238094053387,0.016669246483737257,3.177144940317764,outputs/tuned_ablation_guard_only_nenv16_seed0_1m/evaluations/summary.csv
