variant,algo,seed,map_seed,map_config,density,episode,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc
proposed,ppo,0,10000,7,0.0,0,432.3012685148448,239.22689209740452,1.0,0.9913229347429594,0.0,0.0,0.0,0.0,0.0,900,20.174164692540717,0.2141985144779279,0.9973171842874087,0.05297026699253669,0.24444444444444444,0.2511111111111111,0.0,
proposed,ppo,0,10001,7,0.0,1,451.5028525667565,257.5407719242286,1.0,0.9912401935674241,0.0,0.0,0.0,0.0,0.0,905,20.20104906104526,0.19364506812519697,0.9437467106971513,0.04598349606391886,0.24751381215469614,0.24419889502762432,0.0,
proposed,ppo,0,10002,7,0.0,2,411.1429290835683,213.8031580844368,1.0,0.9917596231732411,0.0,0.0,0.0,0.0,0.0,980,20.22518803104882,0.3325364506813214,0.7976395999339622,0.04359356580867565,0.23673469387755103,0.24285714285714285,0.0,
proposed,ppo,0,10003,7,0.0,3,450.1099013448047,284.04932459836743,1.0,0.9905900589471172,0.0,0.0,0.0,0.0,0.0,829,20.23744829750365,0.11948411138897844,0.33204561167797575,0.036009891753211905,0.2243667068757539,0.22677925211097708,0.0,
proposed,ppo,0,10004,7,0.0,4,359.038432471928,117.49156214173546,0.0,0.9904954201729728,0.0,0.0,0.0,0.0,0.0,1000,20.279984388814345,0.40474435262820396,0.8727029427876046,0.036478636974701655,0.224,0.226,0.0,
proposed,ppo,0,10005,7,0.0,5,347.45204192526444,165.940875533784,1.0,0.9910127882995977,0.0,0.0,0.0,0.0,0.0,868,20.246766749363374,0.3703228763783803,0.9894136936238292,0.03853534051798679,0.2269585253456221,0.2269585253456221,0.0,
proposed,ppo,0,10006,7,0.0,6,424.7824709589919,173.02415706820005,0.0,0.9069486794412808,0.0,0.0,0.0,0.0,0.0,1000,20.23981484045417,0.28293084432330473,1.154363497597056,0.044373440958093854,0.23,0.236,0.0,
proposed,ppo,0,10007,7,0.0,7,520.9391313930391,250.41823798694728,0.0,0.6862752900870389,0.0,0.0,0.0,0.0,0.0,1000,20.2146559294823,0.11657026867046676,0.789204572945963,0.038447134134359656,0.246,0.248,0.0,
proposed,ppo,0,10008,7,0.0,8,479.67133119125583,295.9130962708666,1.0,0.9905600858087861,0.0,0.0,0.0,0.0,0.0,886,20.216484697219155,0.11992756890299042,0.5784500249541928,0.04243979797016358,0.24379232505643342,0.24153498871331827,0.0,
proposed,ppo,0,10009,7,0.0,9,373.4852949781912,214.0267922016971,1.0,0.988508592602187,0.0,0.0,0.0,0.0,0.0,821,20.215747875100835,0.26797592217793675,0.7407132181170689,0.039999672554855335,0.23629719853836784,0.24116930572472595,0.0,
