variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
risk,ppo,2,10600,7,0.0,0,10,469.29793336930663,299.79801614294524,1.0,0.9892379936554158,0.0,0.0,0.0,0.0,0.0,793,20.24625177341535,0.035588082134951585,0.2507175714490095,0.0059857758432673705,0.21689785624211855,0.21941992433795712,0.0,,689,0,0,689,0.8688524590163934,0.0,0.0,0.8688524590163934,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10800,7,0.0,1,10,472.6467941641701,301.57318732362177,1.0,0.98833249062271,0.0,0.0,0.0,0.0,0.0,800,20.201367940552046,0.03471510374314975,0.16503447318221576,0.0052256216871319336,0.2275,0.23,0.0,,690,0,0,690,0.8625,0.0,0.0,0.8625,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10300,7,0.0,2,10,530.371574024784,330.64320537055664,1.0,0.9900156325319125,0.0,0.0,0.0,0.0,0.0,886,20.295567436274883,0.02102371565148631,0.17292676598945345,0.003393752606844206,0.21218961625282168,0.21218961625282168,0.0,,775,0,0,775,0.8747178329571106,0.0,0.0,0.8747178329571106,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10200,7,0.0,3,10,533.2778334954879,331.3863205373835,1.0,0.9908205940120911,0.0,0.0,0.0,0.0,0.0,904,20.230556591472997,0.03340934084556896,0.21864662748495975,0.005304204208098467,0.22566371681415928,0.22787610619469026,0.0,,783,0,0,783,0.8661504424778761,0.0,0.0,0.8661504424778761,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10700,7,0.0,4,10,523.797504937095,323.6295593348354,1.0,0.9905147601496181,0.0,0.0,0.0,0.0,0.0,912,20.282417868342787,0.06295712198374755,0.33831500667370107,0.004930248357643569,0.21271929824561403,0.2149122807017544,0.0,,797,0,0,797,0.8739035087719298,0.0,0.0,0.8739035087719298,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10900,7,0.0,5,10,553.3577236856322,340.6925215371973,1.0,0.9917247610621764,0.0,0.0,0.0,0.0,0.0,949,20.25531265537795,0.043880828303867324,0.25919242001445597,0.0039861447018845,0.22339304531085352,0.22550052687038988,0.0,,824,0,0,824,0.8682824025289779,0.0,0.0,0.8682824025289779,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10000,7,0.0,6,10,551.2661660949501,338.74699207736273,1.0,0.9923993892605111,0.0,0.0,0.0,0.0,0.0,955,20.27376095244774,0.05594347143117565,0.23471908117398918,0.006369790545035719,0.2198952879581152,0.22198952879581152,0.0,,832,0,0,832,0.8712041884816754,0.0,0.0,0.8712041884816754,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10500,7,0.0,7,10,638.7465579543631,381.11350466061765,1.0,0.9928179647105547,0.0,0.0,0.0,0.0,0.0,1115,20.296792355832764,0.059262238093449465,0.20563146243101404,0.008081113876181868,0.2242152466367713,0.22600896860986547,0.0,,971,0,0,971,0.8708520179372198,0.0,0.0,0.8708520179372198,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10400,7,0.0,8,10,675.2971250996472,400.4189022606767,1.0,0.9929554198015659,0.0,0.0,0.0,0.0,0.0,1159,20.267234756300603,0.0392845009989788,0.216075791569691,0.0035591337038726385,0.22950819672131148,0.22950819672131148,0.0,,1007,0,0,1007,0.8688524590163934,0.0,0.0,0.8688524590163934,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10100,7,0.0,9,10,659.786459899667,349.0806527979878,0.0,0.9683851865886931,0.0,0.0,0.0,0.0,0.0,1200,20.247001714768498,0.06538255453810549,0.3507895743666137,0.012853734332408445,0.24833333333333332,0.245,0.0,,1027,0,0,1027,0.8558333333333333,0.0,0.0,0.8558333333333333,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1m_to_1p5m/runs/risk_ppo_s2/model/final_model.zip
