variant,algo,seed,map_seed,map_config,density,episode,eval_n_envs,reward,shaped_reward,success,route_completion,collision,crash_vehicle,crash_object,out_of_road,cost,episode_length,mean_speed_kmh,mean_lane_deviation,max_lane_deviation,steering_variation,accel_variation,jerk,ttc_risk,min_ttc,shield_intervention,shield_soft,shield_hard,overspeed_guard,shield_intervention_rate,shield_soft_rate,shield_hard_rate,overspeed_guard_rate,source_config_json,source_model_path
risk,ppo,2,10500,7,0.0,0,10,406.91355019862016,267.74895330993564,1.0,0.988796960493336,0.0,0.0,0.0,0.0,0.0,709,20.15231243997629,0.0657254507830581,0.3910040663159641,0.007164608260251487,0.23695345557122707,0.24259520451339917,0.0,,605,0,0,605,0.8533145275035261,0.0,0.0,0.8533145275035261,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10800,7,0.0,1,10,448.7496798572692,289.3022211923515,1.0,0.9899098347207603,0.0,0.0,0.0,0.0,0.0,780,20.173384633312498,0.06098627344856248,0.0892036673674285,0.0021145682740144624,0.22948717948717948,0.23205128205128206,0.0,,670,0,0,670,0.8589743589743589,0.0,0.0,0.8589743589743589,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10400,7,0.0,2,10,534.7245575419123,330.05753593070807,1.0,0.99135570082354,0.0,0.0,0.0,0.0,0.0,929,20.281240428764313,0.06125029233140233,0.21873962975655056,0.005458157498036602,0.21528525296017223,0.21743810548977396,0.0,,811,0,0,811,0.8729817007534983,0.0,0.0,0.8729817007534983,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10600,7,0.0,3,10,514.0027181912917,314.6130907912358,1.0,0.9929621544402434,0.0,0.0,0.0,0.0,0.0,942,20.265737558709837,0.11121285803138192,0.3404264634496591,0.006631006760079801,0.22717622080679406,0.22505307855626328,0.0,,817,0,0,817,0.8673036093418259,0.0,0.0,0.8673036093418259,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10100,7,0.0,4,10,606.7574019045068,365.33933630726426,1.0,0.9919769846892654,0.0,0.0,0.0,0.0,0.0,1063,20.276598014079195,0.06282386493885644,0.22629994907658948,0.007454029047863448,0.22765757290686736,0.23142050799623706,0.0,,922,0,0,922,0.8673565380997178,0.0,0.0,0.8673565380997178,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10000,7,0.0,5,10,577.9076156728609,341.1162787477577,1.0,0.9932921981625583,0.0,0.0,0.0,0.0,0.0,1065,20.296515879732667,0.11275564131723076,0.9757520273760688,0.007255865482202438,0.22535211267605634,0.2272300469483568,0.0,,925,0,0,925,0.8685446009389671,0.0,0.0,0.8685446009389671,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10700,7,0.0,6,10,641.8729898018848,382.1388823468254,1.0,0.9923614241147429,0.0,0.0,0.0,0.0,0.0,1122,20.318957410606384,0.06256224644214282,0.22049992133978824,0.008272727345881747,0.2192513368983957,0.22103386809269163,0.0,,981,0,0,981,0.8743315508021391,0.0,0.0,0.8743315508021391,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10200,7,0.0,7,10,643.7925110881466,383.7410554175471,1.0,0.9924245389131026,0.0,0.0,0.0,0.0,0.0,1124,20.26235065608971,0.05706171506339707,0.33227589099328436,0.005560256521510842,0.2313167259786477,0.23309608540925267,0.0,,975,0,0,975,0.8674377224199288,0.0,0.0,0.8674377224199288,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10900,7,0.0,8,10,666.9459177762807,393.29806633880133,1.0,0.9929570775694666,0.0,0.0,0.0,0.0,0.0,1184,20.302703839609276,0.07468506343995568,0.3223870956396446,0.005775062041278501,0.22466216216216217,0.22550675675675674,0.0,,1033,0,0,1033,0.8724662162162162,0.0,0.0,0.8724662162162162,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
risk,ppo,2,10300,7,0.0,9,10,662.0354083351912,352.5232312253569,0.0,0.9795362265583922,0.0,0.0,0.0,0.0,0.0,1200,20.27081798506075,0.06471829794717532,0.177482266870732,0.003906284276551256,0.22166666666666668,0.22333333333333333,0.0,,1048,0,0,1048,0.8733333333333333,0.0,0.0,0.8733333333333333,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/config.json,outputs/tuning_extend_risk_s2_nenv10_ent001_1p5m_to_2m/runs/risk_ppo_s2/model/final_model.zip
